Date,Symbol,SignalType,EnterCause,EntryTime,ExitTime,LeaveCause,PnL,Return%,HoldingDuration,GroupName,GroupRank,MemberRank,RawMemberRank,0050_PrevClose,0050_Open,0050_At915,0050_OpenChg%,0050_At915Chg%
20260102,4989,SignalA,StrongGroup,09:21:19,09:29:56,stopLoss,-142349,-1.42%,0h08m37s,PCB上游,4,2,2,656000,660000,659500,0.61,0.534
20260102,6531,SignalA,StrongGroup,09:23:10,09:31:13,stopLoss,-141304,-1.41%,0h08m03s,設計IP,3,2,3,656000,660000,659500,0.61,0.534
20260102,3551,SignalA,StrongGroup,09:36:23,09:46:32,stopLoss,-143541,-1.44%,0h10m09s,電子化工材料,1,2,3,656000,660000,659500,0.61,0.534
20260102,1727,SignalA,StrongGroup,10:42:12,11:07:49,stopLoss,-140693,-1.41%,0h25m37s,電子化工材料,1,2,3,656000,660000,659500,0.61,0.534
20260102,3551,SignalA,StrongGroup,10:17:05,12:36:49,stopLoss,-143541,-1.44%,2h19m44s,電子化工材料,1,2,3,656000,660000,659500,0.61,0.534
20260102,2449,SignalA,StrongGroup,11:08:19,13:20:00,timeExit,0,0.00%,2h11m41s,IC封測,3,1,3,656000,660000,659500,0.61,0.534
20260105,8028,SignalA,StrongGroup,09:38:22,09:46:23,takeProfit,103093,1.03%,0h08m01s,再生晶圓,1,2,2,669500,681000,688000,1.718,2.763
20260105,2345,SignalA,StrongGroup,09:51:06,10:04:54,stopLoss,-133891,-1.34%,0h13m48s,網路通訊,9,1,2,669500,681000,688000,1.718,2.763
20260105,3236,SignalA,StrongGroup,10:20:11,10:37:00,stopLoss,-154799,-1.55%,0h16m49s,被動元件,3,1,5,669500,681000,688000,1.718,2.763
20260105,8028,SignalA,StrongGroup,10:46:36,10:53:36,takeProfit,304569,3.05%,0h07m00s,再生晶圓,1,2,2,669500,681000,688000,1.718,2.763
20260105,6139,SignalA,StrongGroup,10:14:12,13:20:01,timeExit,-66667,-0.67%,3h05m49s,廠務,5,1,1,669500,681000,688000,1.718,2.763
20260106,3376,SignalA,StrongGroup,09:51:40,10:05:19,stopLoss,-139211,-1.39%,0h13m39s,軸承,2,1,1,695000,694500,693000,-0.072,-0.288
20260106,8103,SignalA,StrongGroup,10:15:12,10:31:36,takeProfit,129450,1.29%,0h16m24s,連接線材,3,1,2,695000,694500,693000,-0.072,-0.288
20260106,8103,SignalA,StrongGroup,11:59:47,12:42:26,stopLoss,-139335,-1.39%,0h42m39s,連接線材,2,1,1,695000,694500,693000,-0.072,-0.288
20260106,1303,SignalA,StrongGroup,11:44:00,13:20:00,timeExit,68493,0.68%,1h36m00s,塑膠,2,1,1,695000,694500,693000,-0.072,-0.288
20260106,2360,SignalA,StrongGroup,09:22:06,13:20:07,timeExit,-11655,-0.12%,3h58m01s,設備儀器商,3,1,1,695000,694500,693000,-0.072,-0.288
20260106,3529,SignalA,StrongGroup,11:39:06,13:20:08,timeExit,-115607,-1.16%,1h41m02s,設計IP,2,2,2,695000,694500,693000,-0.072,-0.288
20260107,2495,SignalA,StrongGroup,09:22:40,09:27:05,takeProfit,92593,0.93%,0h04m25s,記憶體,7,1,3,704000,704000,702000,0.0,-0.284
20260107,2455,SignalA,StrongGroup,09:23:48,09:35:12,takeProfit,97403,0.97%,0h11m24s,砷化鎵,8,1,1,704000,704000,702000,0.0,-0.284
20260107,2406,SignalA,StrongGroup,09:34:00,09:39:16,takeProfit,159046,1.59%,0h05m16s,太陽能,2,1,3,704000,704000,702000,0.0,-0.284
20260107,2303,SignalA,StrongGroup,09:32:50,10:01:44,takeProfit,170455,1.70%,0h28m54s,專業IC代工,1,1,1,704000,704000,702000,0.0,-0.284
20260107,2485,SignalA,StrongGroup,09:42:09,10:05:52,stopLoss,-135135,-1.35%,0h23m43s,低軌衛星,14,1,2,704000,704000,702000,0.0,-0.284
20260107,6104,SignalA,StrongGroup,09:47:29,10:14:48,takeProfit,73762,0.74%,0h27m19s,IC設計,16,1,1,704000,704000,702000,0.0,-0.284
20260107,1605,SignalA,StrongGroup,09:25:18,10:33:57,takeProfit,104439,1.04%,1h08m39s,電線電纜,2,1,1,704000,704000,702000,0.0,-0.284
20260107,1608,SignalA,StrongGroup,09:52:35,11:22:16,takeProfit,25381,0.25%,1h29m41s,電線電纜,2,2,2,704000,704000,702000,0.0,-0.284
20260107,2495,SignalA,StrongGroup,10:32:43,12:04:07,takeProfit,91603,0.92%,1h31m24s,記憶體,5,1,1,704000,704000,702000,0.0,-0.284
20260107,2455,SignalA,StrongGroup,10:32:34,12:27:58,stopLoss,-158730,-1.59%,1h55m24s,砷化鎵,2,1,1,704000,704000,702000,0.0,-0.284
20260107,5483,SignalA,StrongGroup,11:12:18,13:20:10,timeExit,-24291,-0.24%,2h07m52s,太陽能,1,2,3,704000,704000,702000,0.0,-0.284
20260108,3491,SignalA,StrongGroup,09:25:41,09:31:08,stopLoss,-140485,-1.40%,0h05m27s,低軌衛星,7,1,2,698500,696500,695000,-0.286,-0.501
20260108,6223,SignalA,StrongGroup,09:31:08,09:34:58,stopLoss,-103139,-1.03%,0h03m50s,探針卡,8,1,1,698500,696500,695000,-0.286,-0.501
20260108,1326,SignalA,StrongGroup,09:20:20,09:37:34,stopLoss,-147059,-1.47%,0h17m14s,塑膠,1,1,2,698500,696500,695000,-0.286,-0.501
20260108,1802,SignalA,StrongGroup,09:47:52,09:52:34,stopLoss,-147849,-1.48%,0h04m42s,玻纖布,3,2,3,698500,696500,695000,-0.286,-0.501
20260108,5274,SignalA,StrongGroup,09:51:27,10:47:49,stopLoss,-206186,-2.06%,0h56m22s,IC設計,4,2,5,698500,696500,695000,-0.286,-0.501
20260108,2404,SignalA,StrongGroup,11:04:30,11:49:23,stopLoss,-144928,-1.45%,0h44m53s,廠務,3,2,2,698500,696500,695000,-0.286,-0.501
20260112,3037,SignalA,StrongGroup,09:21:32,09:35:16,stopLoss,-112266,-1.12%,0h13m44s,ABF,1,1,1,698500,705000,703000,0.931,0.644
20260112,2495,SignalA,StrongGroup,09:31:08,09:35:30,takeProfit,90498,0.90%,0h04m22s,網路通訊,9,1,2,698500,705000,703000,0.931,0.644
20260112,3693,SignalA,StrongGroup,09:33:18,09:35:40,stopLoss,-134048,-1.34%,0h02m22s,機殼,16,1,1,698500,705000,703000,0.931,0.644
20260112,3037,SignalA,StrongGroup,09:37:27,09:41:27,takeProfit,62370,0.62%,0h04m00s,ABF,1,1,1,698500,705000,703000,0.931,0.644
20260112,3167,SignalA,StrongGroup,09:39:12,10:05:33,takeProfit,152838,1.53%,0h26m21s,鑽孔,7,1,2,698500,705000,703000,0.931,0.644
20260112,5483,SignalA,StrongGroup,09:35:57,10:24:45,stopLoss,-41841,-0.42%,0h48m48s,太陽能,1,2,2,698500,705000,703000,0.931,0.644
20260112,3491,SignalA,StrongGroup,09:49:56,10:25:09,stopLoss,-146520,-1.47%,0h35m13s,低軌衛星,1,2,3,698500,705000,703000,0.931,0.644
20260112,6285,SignalA,StrongGroup,10:02:47,11:08:18,takeProfit,138889,1.39%,1h05m31s,低軌衛星,1,2,4,698500,705000,703000,0.931,0.644
20260112,3491,SignalA,StrongGroup,10:42:34,11:36:46,stopLoss,-134474,-1.34%,0h54m12s,低軌衛星,1,2,3,698500,705000,703000,0.931,0.644
20260112,5347,SignalA,StrongGroup,09:27:45,13:20:02,timeExit,206897,2.07%,3h52m17s,專業IC代工,1,1,1,698500,705000,703000,0.931,0.644
20260113,3167,SignalA,StrongGroup,09:29:16,09:30:08,takeProfit,62241,0.62%,0h00m52s,鑽孔,5,1,1,703500,711000,711000,1.066,1.066
20260113,8150,SignalA,StrongGroup,09:29:46,09:35:38,stopLoss,-145161,-1.45%,0h05m52s,記憶體,4,2,5,703500,711000,711000,1.066,1.066
20260113,6739,SignalA,StrongGroup,09:30:02,09:36:49,takeProfit,80107,0.80%,0h06m47s,設備儀器商,5,2,3,703500,711000,711000,1.066,1.066
20260113,6282,SignalA,StrongGroup,09:30:56,09:39:18,stopLoss,-157171,-1.57%,0h08m22s,電供,11,1,1,703500,711000,711000,1.066,1.066
20260113,6196,SignalA,StrongGroup,09:36:27,09:42:33,stopLoss,-154374,-1.54%,0h06m06s,半導體設備,5,1,2,703500,711000,711000,1.066,1.066
20260113,4973,SignalA,StrongGroup,09:41:51,09:42:35,stopLoss,-153551,-1.54%,0h00m44s,記憶體,4,1,5,703500,711000,711000,1.066,1.066
20260113,3037,SignalA,StrongGroup,09:34:57,10:07:39,stopLoss,-3937,-0.04%,0h32m42s,ABF,4,1,1,703500,711000,711000,1.066,1.066
20260113,8210,SignalA,StrongGroup,09:43:58,10:07:57,stopLoss,-156576,-1.57%,0h23m59s,機殼,9,1,1,703500,711000,711000,1.066,1.066
20260113,3167,SignalA,StrongGroup,09:46:35,10:37:01,takeProfit,103520,1.04%,0h50m26s,鑽孔,5,1,1,703500,711000,711000,1.066,1.066
20260113,6683,SignalA,StrongGroup,10:19:06,11:58:00,stopLoss,-134639,-1.35%,1h38m54s,探針卡,9,1,1,703500,711000,711000,1.066,1.066
20260113,3167,SignalA,StrongGroup,11:07:18,13:20:00,timeExit,-8230,-0.08%,2h12m42s,鑽孔,5,1,1,703500,711000,711000,1.066,1.066
20260113,8046,SignalA,StrongGroup,10:25:13,13:20:00,timeExit,18657,0.19%,2h54m47s,ABF,2,1,1,703500,711000,711000,1.066,1.066
20260114,1519,SignalA,StrongGroup,09:29:06,09:33:06,takeProfit,70175,0.70%,0h04m00s,重電,1,1,1,707000,709500,708500,0.354,0.212
20260114,3402,SignalA,StrongGroup,10:13:37,10:25:36,takeProfit,102389,1.02%,0h11m59s,廠務,9,1,3,707000,709500,708500,0.354,0.212
20260114,6127,SignalA,StrongGroup,10:04:51,10:34:25,stopLoss,-132053,-1.32%,0h29m34s,被動元件,1,2,5,707000,709500,708500,0.354,0.212
20260114,3624,SignalA,StrongGroup,09:41:55,10:37:00,stopLoss,-145138,-1.45%,0h55m05s,被動元件,1,2,2,707000,709500,708500,0.354,0.212
20260114,2345,SignalA,StrongGroup,09:32:30,10:40:12,stopLoss,-131148,-1.31%,1h07m42s,網路通訊,2,2,2,707000,709500,708500,0.354,0.212
20260114,1504,SignalA,StrongGroup,10:03:25,11:46:12,takeProfit,262857,2.63%,1h42m47s,重電,1,1,2,707000,709500,708500,0.354,0.212
20260114,2308,SignalA,StrongGroup,09:44:27,13:20:00,timeExit,-37559,-0.38%,3h35m33s,電供,8,1,2,707000,709500,708500,0.354,0.212
20260114,3707,SignalA,StrongGroup,11:12:53,13:20:02,timeExit,-120275,-1.20%,2h07m09s,矽晶圓指標,2,2,4,707000,709500,708500,0.354,0.212
20260115,3443,SignalA,StrongGroup,09:20:35,09:22:02,takeProfit,39920,0.40%,0h01m27s,設計IP,6,1,1,707500,707000,704500,-0.071,-0.424
20260115,3189,SignalA,StrongGroup,09:21:44,09:27:19,takeProfit,113960,1.14%,0h05m35s,ABF,9,1,1,707500,707000,704500,-0.071,-0.424
