Date,0050_OpenChg%,0050_At915Chg%,Trades,Wins,WinRate%,PnL,M1_Trades,M1_Wins,M1_WinRate%,M1_PnL
20260102,0.610,0.534,6,0,0.0,-711428,1,0,0.0,0
20260105,1.718,2.763,5,2,40.0,52305,3,0,0.0,-355357
20260106,-0.072,-0.288,6,2,33.3,-207865,5,2,40.0,-92258
20260107,0.000,-0.284,11,8,72.7,496526,9,7,77.8,495436
20260108,-0.286,-0.501,6,0,0.0,-889646,3,0,0.0,-390683
20260109,-0.428,-0.785,0,0,,0,0,0,,0
20260112,0.931,0.644,10,5,50.0,82343,6,4,66.7,266289
20260113,1.066,1.066,12,4,33.3,-649114,10,3,30.0,-584060
20260114,0.354,0.212,8,3,37.5,-130752,4,3,75.0,397862
20260115,-0.071,-0.424,9,6,66.7,247941,7,4,57.1,126937
20260116,1.557,1.062,8,4,50.0,173240,6,3,50.0,186894
20260119,-0.417,-0.625,7,2,28.6,-563180,6,2,33.3,-383324
20260120,-0.964,-0.689,7,5,71.4,617238,5,3,60.0,416175
20260121,-1.102,-0.826,6,2,33.3,-245625,1,0,0.0,-148402
20260122,1.482,1.482,6,2,33.3,-300424,2,1,50.0,-121456
20260123,0.418,0.627,3,2,66.7,23440,2,2,100.0,179082
20260126,0.000,0.484,4,2,50.0,-607,3,1,33.3,-192709
20260127,0.208,0.277,4,2,50.0,63769,3,2,66.7,63769
20260128,0.684,1.027,6,3,50.0,-98603,6,3,50.0,-98603
20260129,0.270,0.135,7,2,28.6,-711541,6,2,33.3,-509112
20260130,-0.814,-1.356,6,2,33.3,-391369,4,1,25.0,-359455
20260202,-1.446,-1.860,7,4,57.1,-119263,4,2,50.0,-104808
20260203,2.098,2.028,10,5,50.0,-120552,7,4,57.1,-115433
20260204,-0.754,-0.548,12,9,75.0,809593,8,8,100.0,1167932
20260205,-1.166,-1.097,7,3,42.9,-111691,6,3,50.0,36677
20260206,-0.833,-1.389,1,0,0.0,-139276,1,0,0.0,-139276
20260209,2.990,2.643,1,0,0.0,-157480,1,0,0.0,-157480
20260210,0.947,2.096,4,0,0.0,-543164,4,0,0.0,-543164
20260211,0.530,1.060,6,2,33.3,-500228,2,1,50.0,-60146
20260223,1.619,0.972,6,3,50.0,-147674,4,3,75.0,40033
20260224,0.711,0.775,13,8,61.5,336890,8,4,50.0,-115695
20260225,1.196,1.385,8,6,75.0,260305,5,4,80.0,325239
20260226,0.185,-0.123,8,6,75.0,411665,3,3,100.0,352194
20260302,-2.033,-0.863,3,2,66.7,434590,3,2,66.7,434590
20260303,-0.373,-0.187,5,3,60.0,-2104,2,2,100.0,116185
