Date,M2_Symbol,SignalType,EnterCause,EntryTime,ExitTime,LeaveCause,PnL,Return%,HoldingDuration,GroupName,GroupRank,M1_Symbol,M1_Also_Traded,0050_OpenChg%,0050_At915Chg%
20260102,4989,SignalA,StrongGroup,09:21:19,09:29:56,stopLoss,-142349,-1.42%,0h08m37s,PCB上游,4,8074,N,0.61,0.534
20260102,6531,SignalA,StrongGroup,09:23:10,09:31:13,stopLoss,-141304,-1.41%,0h08m03s,設計IP,3,3443,N,0.61,0.534
20260102,3551,SignalA,StrongGroup,09:36:23,09:46:32,stopLoss,-143541,-1.44%,0h10m09s,電子化工材料,1,5234,N,0.61,0.534
20260102,1727,SignalA,StrongGroup,10:42:12,11:07:49,stopLoss,-140693,-1.41%,0h25m37s,電子化工材料,1,5234,N,0.61,0.534
20260102,3551,SignalA,StrongGroup,10:17:05,12:36:49,stopLoss,-143541,-1.44%,2h19m44s,電子化工材料,1,5234,N,0.61,0.534
20260105,8028,SignalA,StrongGroup,09:38:22,09:46:23,takeProfit,103093,1.03%,0h08m01s,再生晶圓,1,1560,N,1.718,2.763
20260105,8028,SignalA,StrongGroup,10:46:36,10:53:36,takeProfit,304569,3.05%,0h07m00s,再生晶圓,1,1560,N,1.718,2.763
20260106,3529,SignalA,StrongGroup,11:39:06,13:20:08,timeExit,-115607,-1.16%,1h41m02s,設計IP,2,3443,N,-0.072,-0.288
20260107,1608,SignalA,StrongGroup,09:52:35,11:22:16,takeProfit,25381,0.25%,1h29m41s,電線電纜,2,,,0.0,-0.284
20260107,5483,SignalA,StrongGroup,11:12:18,13:20:10,timeExit,-24291,-0.24%,2h07m52s,太陽能,1,,,0.0,-0.284
20260108,1802,SignalA,StrongGroup,09:47:52,09:52:34,stopLoss,-147849,-1.48%,0h04m42s,玻纖布,3,5340,N,-0.286,-0.501
20260108,5274,SignalA,StrongGroup,09:51:27,10:47:49,stopLoss,-206186,-2.06%,0h56m22s,IC設計,4,6291,N,-0.286,-0.501
20260108,2404,SignalA,StrongGroup,11:04:30,11:49:23,stopLoss,-144928,-1.45%,0h44m53s,廠務,3,6691,N,-0.286,-0.501
20260112,5483,SignalA,StrongGroup,09:35:57,10:24:45,stopLoss,-41841,-0.42%,0h48m48s,太陽能,1,6443,N,0.931,0.644
20260112,3491,SignalA,StrongGroup,09:49:56,10:25:09,stopLoss,-146520,-1.47%,0h35m13s,低軌衛星,1,6443,N,0.931,0.644
20260112,6285,SignalA,StrongGroup,10:02:47,11:08:18,takeProfit,138889,1.39%,1h05m31s,低軌衛星,1,3491,N,0.931,0.644
20260112,3491,SignalA,StrongGroup,10:42:34,11:36:46,stopLoss,-134474,-1.34%,0h54m12s,低軌衛星,1,6443,N,0.931,0.644
