Date,Symbol,Signal,Cause,EntryTime,ExitTime,LeaveCause,PnL,Return%,Duration,EntryPrice,Group,GRank,MRank,RRank,M1Symbol
20251201,4939,SignalA,StrongGroup,09:49:59,10:09:09,takeProfit,206795,2.07,0h19m10s,33.9,印刷電路板,9,1,1,
20251201,4939,SignalA,StrongGroup,10:35:32,12:21:20,takeProfit,279823,2.80,1h45m48s,34.0,印刷電路板,8,1,1,
20251202,8150,SignalA,StrongGroup,09:36:56,09:44:36,takeProfit,68182,0.68,0h07m40s,44.0,記憶體,9,1,2,
20251202,3189,SignalA,StrongGroup,09:26:43,09:59:13,stopLoss,-171821,-1.72,0h32m30s,145.5,ABF,9,1,1,
20251203,3529,SignalA,StrongGroup,10:09:59,10:33:08,stopLoss,-139211,-1.39,0h23m09s,2155.0,設計IP,9,1,1,
20251203,1303,SignalA,StrongGroup,11:11:19,12:03:41,takeProfit,134328,1.34,0h52m22s,67.0,塑膠,2,1,1,
20251204,3529,SignalA,StrongGroup,09:22:45,09:26:05,stopLoss,-164319,-1.64,0h03m20s,2130.0,設計IP,5,1,2,
20251204,4989,SignalA,StrongGroup,09:20:38,09:28:40,stopLoss,-133172,-1.33,0h08m02s,41.3,PCB上游,7,1,1,
20251204,2374,SignalA,StrongGroup,09:29:24,09:29:52,takeProfit,60168,0.60,0h00m28s,83.1,光電,1,1,1,
20251204,3189,SignalA,StrongGroup,09:25:17,09:31:19,stopLoss,-162866,-1.63,0h06m02s,153.5,ABF,2,1,1,
20251205,3653,SignalA,StrongGroup,09:54:28,10:14:20,takeProfit,101010,1.01,0h19m52s,2970.0,散熱,1,1,1,
20251205,5274,SignalA,StrongGroup,09:24:27,10:27:05,takeProfit,29940,0.30,1h02m38s,6675.0,IC設計,4,1,1,
20251205,3443,SignalA,StrongGroup,10:07:08,10:48:47,stopLoss,-136364,-1.36,0h41m39s,2200.0,設計IP,4,1,1,
20251205,3443,SignalA,StrongGroup,11:06:06,13:20:10,timeExit,68027,0.68,2h14m04s,2205.0,設計IP,4,1,1,
20251205,6669,SignalA,StrongGroup,10:28:22,13:20:45,timeExit,-116525,-1.17,2h52m23s,4715.0,ODM,4,1,1,
20251208,1802,SignalA,StrongGroup,09:25:28,09:28:10,takeProfit,120321,1.20,0h02m42s,37.4,玻纖布,5,1,1,
20251208,2485,SignalA,StrongGroup,09:20:49,09:29:38,takeProfit,85837,0.86,0h08m49s,23.3,網路通訊,5,1,1,
20251208,1802,SignalA,StrongGroup,09:48:14,13:20:03,timeExit,-13038,-0.13,3h31m49s,38.4,玻纖布,2,1,1,
20251209,2316,SignalA,StrongGroup,09:23:23,09:26:53,takeProfit,44643,0.45,0h03m30s,111.5,印刷電路板,8,1,1,
20251209,2345,SignalA,StrongGroup,09:34:55,09:42:34,takeProfit,146341,1.46,0h07m39s,1025.0,網路通訊,1,1,1,
20251209,6515,SignalA,StrongGroup,09:43:57,09:47:22,takeProfit,112782,1.13,0h03m25s,2660.0,探針卡,1,1,1,
20251209,2345,SignalA,StrongGroup,10:06:22,10:14:26,stopLoss,-144928,-1.45,0h08m04s,1035.0,網路通訊,1,1,1,
20251209,2345,SignalA,StrongGroup,10:17:32,10:22:49,stopLoss,-144928,-1.45,0h05m17s,1035.0,網路通訊,1,1,1,
20251209,2316,SignalA,StrongGroup,09:51:29,11:02:15,stopLoss,-133333,-1.33,1h10m46s,112.5,印刷電路板,8,1,1,
20251209,3037,SignalA,StrongGroup,09:43:19,11:24:41,stopLoss,-34707,-0.35,1h41m22s,230.5,ABF,2,1,1,
20251210,6739,SignalA,StrongGroup,09:23:56,09:29:10,stopLoss,-150188,-1.50,0h05m14s,799.0,設備儀器商,1,1,1,
20251210,6706,SignalA,StrongGroup,09:26:05,09:36:09,stopLoss,-163934,-1.64,0h10m04s,122.0,CPO,4,1,2,
20251210,6706,SignalA,StrongGroup,09:37:36,09:45:13,stopLoss,-163934,-1.64,0h07m37s,122.0,CPO,4,1,2,
20251210,1519,SignalA,StrongGroup,10:44:40,13:20:00,timeExit,51746,0.52,2h35m20s,773.0,重電,2,1,1,
20251211,5498,SignalA,StrongGroup,09:31:14,09:39:13,takeProfit,87108,0.87,0h07m59s,28.7,PCB上游,2,1,1,
20251211,3211,SignalA,StrongGroup,09:39:20,09:40:18,takeProfit,71301,0.71,0h00m58s,280.5,BBU,5,1,2,
20251211,6139,SignalA,StrongGroup,09:28:20,09:40:53,stopLoss,-147330,-1.47,0h12m33s,543.0,廠務,1,1,1,
20251211,5475,SignalA,StrongGroup,09:32:53,09:50:23,stopLoss,-142012,-1.42,0h17m30s,84.5,玻纖布,13,1,1,
20251211,4989,SignalA,StrongGroup,09:32:37,09:52:27,stopLoss,-143965,-1.44,0h19m50s,45.1,CCL,6,1,2,
20251211,6291,SignalA,StrongGroup,09:33:22,09:52:31,takeProfit,139665,1.40,0h19m09s,179.0,IC設計,10,1,1,
20251211,1815,SignalA,StrongGroup,09:54:38,09:58:04,takeProfit,114155,1.14,0h03m26s,87.6,PCB上游,3,1,4,
20251211,4989,SignalA,StrongGroup,10:05:13,10:32:14,stopLoss,-143965,-1.44,0h27m01s,45.1,CCL,6,1,2,
20251211,3376,SignalA,StrongGroup,10:08:48,11:06:06,stopLoss,-160183,-1.60,0h57m18s,218.5,軸承,1,1,1,
20251211,2371,SignalA,StrongGroup,09:40:52,12:26:10,takeProfit,73529,0.74,2h45m18s,34.0,重電,2,1,1,
20251211,5498,SignalA,StrongGroup,10:23:37,13:20:00,timeExit,-68729,-0.69,2h56m23s,29.1,PCB上游,2,1,1,
20251211,2612,SignalA,StrongGroup,10:52:44,13:20:17,timeExit,-94044,-0.94,2h27m33s,63.8,海運,9,1,1,
20251212,3563,SignalA,StrongGroup,09:26:28,09:26:33,takeProfit,38168,0.38,0h00m05s,524.0,PCB 設備,4,1,1,
20251212,6584,SignalA,StrongGroup,09:20:27,09:28:11,stopLoss,-107193,-1.07,0h07m44s,354.5,滑軌,2,1,1,
20251212,5289,SignalA,StrongGroup,09:37:46,09:50:52,takeProfit,70850,0.71,0h13m06s,493.5,記憶體,5,1,1,
20251212,8039,SignalA,StrongGroup,09:34:17,10:02:44,stopLoss,-34000,-0.34,0h28m27s,100.0,CCL,8,1,1,
20251212,6139,SignalA,StrongGroup,10:11:27,10:27:17,stopLoss,-141343,-1.41,0h15m50s,566.0,廠務,1,1,2,
20251215,2606,SignalA,StrongGroup,09:43:57,10:03:20,stopLoss,-145867,-1.46,0h19m23s,61.7,海運,1,1,1,
20251215,3030,SignalA,StrongGroup,12:32:21,13:20:00,timeExit,-29240,-0.29,0h47m39s,171.0,PCB 設備,12,1,1,
20251216,6291,SignalA,StrongGroup,09:25:54,09:28:35,stopLoss,-155440,-1.55,0h02m41s,193.0,IC設計,2,1,1,
20251216,2371,SignalA,StrongGroup,09:26:10,09:30:21,stopLoss,-136364,-1.36,0h04m11s,33.0,重電,2,1,1,
20251216,3035,SignalA,StrongGroup,09:24:03,09:49:46,stopLoss,-108571,-1.09,0h25m43s,175.0,設計IP,17,1,1,
20251217,8027,SignalA,StrongGroup,09:20:49,09:38:22,stopLoss,35088,0.35,0h17m33s,114.0,半導體設備,7,1,1,
20251217,4967,SignalA,StrongGroup,09:42:59,09:50:43,takeProfit,72202,0.72,0h07m44s,138.5,記憶體,8,1,1,
20251217,2367,SignalA,StrongGroup,09:50:06,10:25:57,stopLoss,-159858,-1.60,0h35m51s,28.1,印刷電路板,9,1,3,
20251217,2887,SignalA,StrongGroup,10:00:40,11:09:04,takeProfit,167064,1.67,1h08m24s,20.9,金控,2,1,1,
20251218,5328,SignalA,StrongGroup,09:33:52,09:42:20,takeProfit,117096,1.17,0h08m28s,21.4,被動元件,3,1,1,
20251218,6903,SignalA,StrongGroup,09:33:20,09:45:48,takeProfit,240175,2.40,0h12m28s,228.5,廠務,2,1,1,
20251218,2495,SignalA,StrongGroup,12:16:15,13:20:01,timeExit,0,0.00,1h03m46s,30.4,記憶體,1,1,2,
20251219,8039,SignalA,StrongGroup,09:37:58,09:41:37,stopLoss,-147679,-1.48,0h03m39s,94.8,CCL,3,1,1,
20251219,2485,SignalA,StrongGroup,09:41:01,10:01:30,stopLoss,-148270,-1.48,0h20m29s,30.4,低軌衛星,3,1,3,
20251219,1303,SignalA,StrongGroup,09:49:09,10:43:56,stopLoss,-148270,-1.48,0h54m47s,60.7,塑膠,2,1,1,
20251219,3037,SignalA,StrongGroup,09:41:10,10:50:08,stopLoss,-64965,-0.65,1h08m58s,215.5,ABF,4,1,1,
20251222,2413,SignalA,StrongGroup,09:24:13,13:04:14,takeProfit,119581,1.20,3h40m01s,33.4,電供,8,1,1,
20251222,6257,SignalA,StrongGroup,09:47:54,13:20:07,timeExit,-19704,-0.20,3h32m13s,101.5,IC封測,11,1,1,
20251223,1785,SignalA,StrongGroup,09:27:02,09:36:50,stopLoss,-147275,-1.47,0h09m48s,67.9,電子化工材料,2,1,1,
20251223,6903,SignalA,StrongGroup,09:23:12,09:41:40,stopLoss,-167015,-1.67,0h18m28s,239.5,廠務,3,1,1,
20251223,8033,SignalA,StrongGroup,09:46:50,09:47:28,stopLoss,-161290,-1.61,0h00m38s,155.0,軍工,1,1,2,
20251223,3167,SignalA,StrongGroup,09:46:02,10:13:32,stopLoss,-61002,-0.61,0h27m30s,229.5,PCB 設備,16,1,1,
20251223,2495,SignalA,StrongGroup,09:43:27,10:35:15,stopLoss,-143312,-1.43,0h51m48s,31.4,網路通訊,9,1,2,
20251223,4989,SignalA,StrongGroup,12:14:15,13:08:32,stopLoss,-150463,-1.50,0h54m17s,43.1,PCB上游,4,1,2,
20251223,2467,SignalA,StrongGroup,12:03:27,13:20:43,timeExit,-42553,-0.43,1h17m16s,235.0,PCB 設備,14,1,1,
20251224,1815,SignalA,StrongGroup,09:24:52,09:37:24,stopLoss,-132597,-1.33,0h12m32s,90.5,玻纖布,4,1,1,
20251224,4916,SignalA,StrongGroup,09:26:05,09:46:39,stopLoss,-145396,-1.45,0h20m34s,61.9,軍工,5,1,1,
20251224,6274,SignalA,StrongGroup,09:44:42,09:53:12,stopLoss,-154162,-1.54,0h08m30s,486.0,PCB上游,1,1,1,
20251224,6442,SignalA,StrongGroup,10:03:25,10:13:55,takeProfit,121457,1.21,0h10m30s,1235.0,CPO,15,1,2,
20251224,6274,SignalA,StrongGroup,10:02:00,11:03:49,takeProfit,92593,0.93,1h01m49s,486.0,PCB上游,1,1,1,
20251224,6176,SignalA,StrongGroup,10:38:11,13:20:01,timeExit,-113636,-1.14,2h41m50s,132.0,光電,8,1,1,
20251226,3167,SignalA,StrongGroup,09:23:35,09:24:32,takeProfit,105708,1.06,0h00m57s,236.5,鑽孔,1,1,1,
20251226,3105,SignalA,StrongGroup,09:20:20,09:28:41,takeProfit,51948,0.52,0h08m21s,192.5,砷化鎵,12,1,1,
20251226,6510,SignalA,StrongGroup,09:32:21,09:33:44,takeProfit,105932,1.06,0h01m23s,2360.0,探針卡,1,1,3,
20251226,1815,SignalA,StrongGroup,09:23:27,09:34:06,stopLoss,-135699,-1.36,0h10m39s,95.8,玻纖布,2,1,1,
20251226,8103,SignalA,StrongGroup,09:36:12,11:53:44,takeProfit,91743,0.92,2h17m32s,87.2,連接線材,11,1,1,
20251226,3167,SignalA,StrongGroup,10:03:55,13:20:00,timeExit,8386,0.08,3h16m05s,238.5,鑽孔,1,1,1,
20251226,5536,SignalA,StrongGroup,10:26:39,13:20:05,timeExit,20151,0.20,2h53m26s,793.0,廠務,12,1,1,
20251229,1303,SignalA,StrongGroup,09:48:05,09:59:15,takeProfit,50590,0.51,0h11m10s,59.3,塑膠,9,1,1,
20251229,2493,SignalA,StrongGroup,10:32:17,10:38:33,stopLoss,-168776,-1.69,0h06m16s,118.5,PCB 設備,9,1,1,
20251229,3680,SignalA,StrongGroup,09:52:26,12:57:46,stopLoss,-158960,-1.59,3h05m20s,345.5,半導體設備,3,1,2,
20251229,6789,SignalA,StrongGroup,11:48:45,13:20:30,timeExit,-86655,-0.87,1h31m45s,288.5,IC設計,7,1,2,
20251230,2451,SignalA,StrongGroup,09:20:55,09:23:57,stopLoss,-154242,-1.54,0h03m02s,194.5,記憶體,1,1,2,
20251230,3624,SignalA,StrongGroup,09:20:12,09:31:33,stopLoss,-146789,-1.47,0h11m21s,54.5,被動元件,3,1,1,
20251230,6282,SignalA,StrongGroup,09:38:44,09:46:50,takeProfit,116414,1.16,0h08m06s,43.0,電供,1,1,2,
20251230,6442,SignalA,StrongGroup,09:36:14,09:50:22,takeProfit,75758,0.76,0h14m08s,1320.0,CPO,7,1,1,
20251230,6257,SignalA,StrongGroup,09:23:24,10:12:31,stopLoss,-173160,-1.73,0h49m07s,115.5,IC封測,2,1,1,
20251230,6282,SignalA,StrongGroup,10:32:22,10:43:14,takeProfit,115875,1.16,0h10m52s,43.1,電供,1,1,2,
20251231,3189,SignalA,StrongGroup,09:20:43,09:27:48,takeProfit,64725,0.65,0h07m05s,154.5,ABF,4,1,1,
20251231,4772,SignalA,StrongGroup,09:33:59,09:55:22,stopLoss,-141287,-1.41,0h21m23s,318.5,特化,2,1,1,
20251231,2467,SignalA,StrongGroup,10:20:34,10:31:41,takeProfit,98039,0.98,0h11m07s,254.5,半導體設備,7,1,1,
20251231,3090,SignalA,StrongGroup,10:08:54,11:16:39,takeProfit,83333,0.83,1h07m45s,96.0,被動元件,16,1,1,
20260102,4989,SignalA,StrongGroup,09:21:19,09:29:56,stopLoss,-142349,-1.42,0h08m37s,56.2,PCB上游,4,2,2,
20260102,6531,SignalA,StrongGroup,09:23:10,09:31:13,stopLoss,-141304,-1.41,0h08m03s,460.0,設計IP,3,2,3,
20260102,3551,SignalA,StrongGroup,09:36:23,09:46:32,stopLoss,-143541,-1.44,0h10m09s,209.0,電子化工材料,1,2,3,
20260102,1727,SignalA,StrongGroup,10:42:12,11:07:49,stopLoss,-140693,-1.41,0h25m37s,46.2,電子化工材料,1,2,3,
20260102,3551,SignalA,StrongGroup,10:17:05,12:36:49,stopLoss,-143541,-1.44,2h19m44s,209.0,電子化工材料,1,2,3,
20260102,2449,SignalA,StrongGroup,11:08:19,13:20:00,timeExit,0,0.00,2h11m41s,267.5,IC封測,3,1,3,
20260105,8028,SignalA,StrongGroup,09:38:22,09:46:23,takeProfit,103093,1.03,0h08m01s,194.0,再生晶圓,1,2,2,
20260105,2345,SignalA,StrongGroup,09:51:06,10:04:54,stopLoss,-133891,-1.34,0h13m48s,1195.0,網路通訊,9,1,2,
20260105,3236,SignalA,StrongGroup,10:20:11,10:37:00,stopLoss,-154799,-1.55,0h16m49s,32.3,被動元件,3,1,5,
20260105,8028,SignalA,StrongGroup,10:46:36,10:53:36,takeProfit,304569,3.05,0h07m00s,197.0,再生晶圓,1,2,2,
20260105,6139,SignalA,StrongGroup,10:14:12,13:20:01,timeExit,-66667,-0.67,3h05m49s,600.0,廠務,5,1,1,
20260106,3376,SignalA,StrongGroup,09:51:40,10:05:19,stopLoss,-139211,-1.39,0h13m39s,215.5,軸承,2,1,1,
20260106,8103,SignalA,StrongGroup,10:15:12,10:31:36,takeProfit,129450,1.29,0h16m24s,92.6,連接線材,3,1,2,
20260106,8103,SignalA,StrongGroup,11:59:47,12:42:26,stopLoss,-139335,-1.39,0h42m39s,93.3,連接線材,2,1,1,
20260106,1303,SignalA,StrongGroup,11:44:00,13:20:00,timeExit,68493,0.68,1h36m00s,58.4,塑膠,2,1,1,
20260106,2360,SignalA,StrongGroup,09:22:06,13:20:07,timeExit,-11655,-0.12,3h58m01s,858.0,設備儀器商,3,1,1,
20260106,3529,SignalA,StrongGroup,11:39:06,13:20:08,timeExit,-115607,-1.16,1h41m02s,1730.0,設計IP,2,2,2,
20260107,2495,SignalA,StrongGroup,09:22:40,09:27:05,takeProfit,92593,0.93,0h04m25s,32.4,記憶體,7,1,3,
20260107,2455,SignalA,StrongGroup,09:23:48,09:35:12,takeProfit,97403,0.97,0h11m24s,154.0,砷化鎵,8,1,1,
20260107,2406,SignalA,StrongGroup,09:34:00,09:39:16,takeProfit,159046,1.59,0h05m16s,25.1,太陽能,2,1,3,
