Symbol,SignalType,EnterCause,EntryTime,ExitTime,LeaveCause,PnL,Return%,HoldingDuration,GroupName,GroupRank,MemberRank,RawMemberRank,M1Symbol,EntryPrice,EntryVWAP,DayHigh,PrevClose,0050OpenChg%,VolRatio,MonthTradingVal,IsPrevDayLU,IsDisposition,HadCircuitBreaker,GroupLimitUpCount,0050EntryChg%
6209,SignalA,StrongGroup,09:04:06,09:09:46,stopLoss,-192308,-1.92%,0h05m40s,機器人,3,1,1,,67.60,66.72,67.90,63.70,0.418,4.97,540487565,0,0,0,0,0.487
8155,SignalA,StrongGroup,09:10:42,09:15:57,stopLoss,-185185,-1.85%,0h05m15s,印刷電路板,18,1,1,,189.00,186.63,191.00,176.00,0.418,6.75,245888100,0,0,0,0,0.557
1326,SignalA,StrongGroup,09:06:52,09:16:13,stopLoss,-166205,-1.66%,0h09m21s,塑膠,8,1,1,,36.10,35.72,36.10,35.00,0.418,2.02,625921397,0,0,0,0,0.487
3189,SignalA,StrongGroup,09:17:57,09:27:15,stopLoss,-165094,-1.65%,0h09m18s,ABF,7,1,1,,212.00,210.01,214.00,205.50,0.418,1.10,6836536600,0,0,0,0,0.627
3443,SignalA,StrongGroup,09:04:02,09:27:31,stopLoss,-198556,-1.99%,0h23m29s,設計IP,2,1,1,,2770.00,2729.38,2770.00,2575.00,0.418,3.31,6707083250,0,0,0,0,0.487
6215,SignalA,StrongGroup,09:11:28,09:33:16,stopLoss,-233463,-2.33%,0h21m48s,設備儀器商,9,1,1,,128.50,126.14,128.50,120.50,0.418,9.82,296979000,0,0,0,0,0.627
3211,SignalA,StrongGroup,09:05:25,09:39:00,stopLoss,-183486,-1.83%,0h33m35s,BBU,1,1,1,,327.00,323.04,328.00,306.00,0.418,7.60,1690004800,1,0,0,0,0.487
3037,SignalA,StrongGroup,09:09:08,09:39:16,stopLoss,-164425,-1.64%,0h30m08s,ABF,9,1,1,,334.50,331.05,334.50,327.00,0.418,0.94,11037394600,0,0,0,0,0.627
6274,SignalA,StrongGroup,09:07:20,09:40:00,stopLoss,-178571,-1.79%,0h32m40s,CCL,11,1,1,,504.00,497.59,504.00,486.00,0.418,2.42,4403573325,0,0,0,0,0.557
8039,SignalA,StrongGroup,09:12:54,13:20:00,timeExit,270270,2.70%,4h07m06s,CCL,10,1,1,,92.50,91.74,93.70,88.20,0.418,2.45,1240165080,0,0,0,0,0.696
2313,SignalA,StrongGroup,09:06:13,13:20:09,lockedLimitUp,456790,4.57%,4h13m56s,低軌衛星,2,1,1,,162.00,159.59,163.00,155.50,0.418,1.58,9614117950,0,0,0,0,0.487
