Symbol,SignalType,EnterCause,EntryTime,ExitTime,LeaveCause,PnL,Return%,HoldingDuration,GroupName,GroupRank,MemberRank,RawMemberRank,M1Symbol,EntryPrice,EntryVWAP,DayHigh,PrevClose,0050OpenChg%,VolRatio,MonthTradingVal,IsPrevDayLU,IsDisposition,HadCircuitBreaker,GroupLimitUpCount,0050EntryChg%
6584,SignalA,StrongGroup,09:35:58,09:46:16,stopLoss,-126904,-1.27%,0h10m18s,滑軌,9,1,1,,394.00,391.78,403.50,377.00,0.947,3.95,502481650,1,0,1,0,2.096
5234,SignalA,StrongGroup,09:33:01,10:05:45,stopLoss,-92715,-0.93%,0h32m44s,電子化工材料,13,1,1,,377.50,376.27,384.00,358.50,0.947,6.72,357693925,0,0,1,0,2.096
3023,SignalA,StrongGroup,09:57:54,11:17:43,stopLoss,-147368,-1.47%,1h19m49s,連接線材,5,2,2,8103,237.50,235.46,237.50,235.00,0.947,0.29,655065750,0,0,1,1,2.096
8103,SignalA,StrongGroup,09:45:15,11:28:19,stopLoss,-178218,-1.78%,1h43m04s,連接線材,5,1,1,,101.00,99.74,103.00,96.40,0.947,1.79,308982050,0,0,1,1,2.096
2449,SignalA,StrongGroup,10:45:57,12:03:18,stopLoss,-114754,-1.15%,1h17m21s,IC封測,5,2,2,3711,305.00,303.11,308.00,291.50,0.947,1.54,5961783475,0,0,1,0,2.096
3037,SignalA,StrongGroup,11:17:54,12:38:21,stopLoss,-120805,-1.21%,1h20m27s,ABF,5,1,1,,372.50,370.04,381.50,347.50,0.947,1.01,22087251225,0,0,1,0,2.096
2301,SignalA,StrongGroup,10:26:55,12:41:09,stopLoss,-139665,-1.40%,2h14m14s,電供,12,2,2,2413,179.00,177.56,180.50,173.50,0.947,2.10,4120191625,0,0,1,0,2.096
4768,SignalA,StrongGroup,11:37:11,13:06:33,stopLoss,-145631,-1.46%,1h29m22s,特化,18,2,2,5234,412.00,408.54,413.50,402.00,0.947,0.37,623215425,0,0,1,0,2.096
2455,SignalA,StrongGroup,09:32:08,13:20:00,lockedLimitUp,418343,4.18%,3h47m52s,砷化鎵,3,1,1,,181.00,179.50,183.00,173.00,0.947,1.18,2816725375,0,0,1,0,2.096
3264,SignalA,StrongGroup,09:32:23,13:20:00,timeExit,63291,0.63%,3h47m37s,IC封測,4,2,2,3711,158.00,156.90,160.50,151.00,0.947,1.99,2465233450,0,0,1,0,2.096
2357,SignalA,StrongGroup,09:48:18,13:20:01,timeExit,296125,2.96%,3h31m43s,筆記型電腦,10,2,2,2353,511.00,509.44,512.00,503.00,0.947,0.62,2127998525,0,0,1,0,2.096
3234,SignalA,StrongGroup,12:12:49,13:20:04,timeExit,-104575,-1.05%,1h07m15s,CPO,8,2,2,3163,76.50,75.58,78.20,71.10,0.947,1.89,321128110,1,0,1,0,2.096
6291,SignalA,StrongGroup,09:31:31,922337203:68:54,lockedLimitUp,182186,1.82%,112272h27m15s,IC設計,9,1,1,,247.00,244.61,251.00,229.00,0.947,2.43,224317700,0,0,1,1,2.096
