細產業別,代碼,商品
3C通路,2430,燦坤
3C通路,2450,神腦
3C通路,6154,順發
二極體,2481,強茂
二極體,3317,尼克森
二極體,3675,德微
二極體,5425,台半
二極體,6411,晶焱
二極體,6435,大中
二極體,6651,全宇昕
二極體,8255,朋程
二極體,8261,富鼎
人力資源,3130,一零四
大宗物資,1219,福壽
大宗物資,1220,台榮
大宗物資,1225,福懋油
大宗物資,1229,聯華
大宗物資,1232,大統益
大宗物資,1235,興泰
大宗物資,1240,茂生農經
大宗物資,1702,南僑
大宗物資,1737,臺鹽
大宗物資,4207,環泰
大宗物資,6952,大武山
工具機,1530,亞崴
工具機,1540,喬福
工具機,1583,程泰
工具機,1590,亞德客-KY
工具機,2049,上銀
工具機,4510,高鋒
工具機,4513,福裕
工具機,4526,東台
工具機,4533,協易機
工具機,4562,穎漢
工具機,4563,百德
工具機,6606,建德工業
工具機,6609,瀧澤科
工具機,7709,榮田
工具機,3484,崧騰
工業電腦,2395,研華
工業電腦,2397,友通
工業電腦,3022,威強電
工業電腦,3046,建碁
工業電腦,3088,艾訊
工業電腦,3416,融程電
工業電腦,3479,安勤
工業電腦,3521,鴻翊
工業電腦,3577,泓格
工業電腦,3594,磐儀
工業電腦,3652,精聯
工業電腦,4916,事欣科
工業電腦,5258,虹堡
工業電腦,5353,台林
工業電腦,5490,同亨
工業電腦,6160,欣技
工業電腦,6161,捷波
工業電腦,6166,凌華
工業電腦,6206,飛捷
工業電腦,6414,樺漢
工業電腦,6569,醫揚
工業電腦,6570,維田
工業電腦,6577,勁豐
工業電腦,6579,研揚
工業電腦,6680,鑫創電子
工業電腦,6922,宸曜
工業電腦,6928,攸泰科技
工業電腦,8050,廣積
工業電腦,8076,伍豐
工業電腦,8114,振樺電
工業電腦,8234,新漢
工業電腦,2405,輔信
不織布,1325,恆大
不織布,6504,南六
不織布,8929,富堡
不織布,9919,康那香
不織布,9944,新麗
不鏽鋼,1584,精剛
不鏽鋼,1605,華新
不鏽鋼,2007,燁興
不鏽鋼,2025,千興
不鏽鋼,2027,大成鋼
不鏽鋼,2030,彰源
不鏽鋼,2032,新鋼
不鏽鋼,2034,允強
不鏽鋼,2035,唐榮
不鏽鋼,2063,世鎧
不鏽鋼,2069,運錩
不鏽鋼,2221,大甲
不鏽鋼,5009,榮剛
不鏽鋼,5014,建錩
不鏽鋼,5015,華祺
不鏽鋼,5538,東明-KY
不鏽鋼,9962,有益
分離式元件,2302,麗正
分離式元件,2434,統懋
分離式元件,4923,力士
分離式元件,5299,杰力
分離式元件,6573,虹揚-KY
分離式元件,6693,廣閎科
分離式元件,7712,博盛半導體
化學工業,1713,國化
化學工業,1714,和桐
化學工業,1718,中纖
化學工業,1721,三晃
化學工業,1723,中碳
化學工業,1725,元禎
化學工業,1726,永記
化學工業,3430,奇鈦科
太陽能,2406,國碩
太陽能,3073,天方能源
太陽能,3576,聯合再生
太陽能,3686,達能
太陽能,3691,碩禾
太陽能,3713,新晶投控
太陽能,4529,淳紳
太陽能,4934,太極
太陽能,4949,有成精密
太陽能,5432,新門
太陽能,5483,中美晶
太陽能,6244,茂迪
太陽能,6409,旭隼
太陽能,6443,元晶
太陽能,6477,安集
太陽能,6538,倉和
太陽能,6692,進能服
太陽能,6869,雲豹能源
太陽能,6873,泓德能源
太陽能,8087,麗升能源
太陽能概念股,1742,台蠟
太陽能概念股,3027,盛達
太陽能概念股,3050,鈺德
太陽能概念股,1343,旭東環保
太陽能概念股,4582,聚恆
太陽能概念股,6682,華旭先進
太陽能概念股,6750,泰創工程
太陽能概念股,6839,開陽能源
太陽能概念股,6883,微電能源
太陽能概念股,6946,三地能源
太陽能概念股,6987,寶晶能源*
太陽能概念股,7590,怡和國際
太陽能概念股,7833,綠岩能源
太陽能概念股,7877,海利普
手工具機業,1527,鑽全
手工具機業,1538,正峰
手工具機業,1539,巨庭
手工具機業,1541,錩泰
手工具機業,1570,力肯
手工具機業,6855,數泓科
手工具機業,6904,伯鑫
文創產業,2926,誠品生活
文創產業,3086,華義
文創產業,4806,桂田文創
文創產業,6101,寬魚國際
文創產業,6144,得利影
文創產業,6596,寬宏藝術
文創產業,6625,必應
文創產業,8446,華研
文創產業,8450,霹靂
文創產業,8923,時報
文創產業,9949,琉園
水泥,1101,台泥
水泥,1102,亞泥
水泥,1103,嘉泥
水泥,1104,環泥
水泥,1108,幸福水泥
水泥,1109,信大
水泥,1110,東泥
水泥,2504,國產
水泥,5520,力泰
水泥,5546,永固-KY
水泥,8463,潤泰材
水泥,8936,國統
水泥,9930,中聯資源
水泥,9945,潤泰新
加工絲,1402,遠東新
加工絲,1444,力麗
加工絲,1445,大宇
加工絲,1452,宏益
加工絲,1455,集盛
加工絲,1457,宜進
加工絲,1459,聯發
加工絲,4406,新昕纖
加工絲,4420,光明
加工絲,4440,宜新實業
半導體封測材料,2351,順德
半導體封測材料,2483,百容
半導體封測材料,2486,一詮
半導體封測材料,3305,昇貿
半導體封測材料,3631,晟楠
半導體封測材料,5285,界霖
半導體封測材料,6548,長科*
半導體設備,2467,志聖
半導體設備,3055,蔚華科
半導體設備,3131,弘塑
半導體設備,3178,公準
半導體設備,3413,京鼎
半導體設備,3467,台灣精材
半導體設備,3581,博磊
半導體設備,3583,辛耘
半導體設備,3680,家登
半導體設備,5443,均豪
半導體設備,6187,萬潤
半導體設備,6196,帆宣
半導體設備,6532,瑞耘
半導體設備,6613,朋億*
半導體設備,6640,均華
半導體設備,6735,美達科技
半導體設備,6788,華景電
半導體設備,6829,千附精密
半導體設備,6877,鏵友益
半導體設備,6895,宏碩系統
半導體設備,6909,創控
半導體設備,6937,天虹
半導體設備,6953,家碩
半導體設備,7556,意德士
半導體設備,7704,明遠精密
半導體設備,7734,印能科技
半導體設備,7751,竑騰
半導體設備,8027,鈦昇
半導體設備,8091,翔名
半導體設備,2338,光罩
尼龍,1314,中石化
尼龍,1434,福懋
尼龍,1447,力鵬
尼龍,1455,集盛
尼龍,1466,聚隆
尼龍,4401,東隆興
尼龍,4402,郡都開發
尼龍,4430,耀億
生技醫療,1565,精華
生技醫療,1777,生泰
生技醫療,1781,合世
生技醫療,1784,訊聯
生技醫療,1788,杏昌
生技醫療,1799,易威
生技醫療,1813,寶利徠
生技醫療,3118,進階
生技醫療,3176,基亞
生技醫療,3205,佰研
生技醫療,3218,大學光
生技醫療,4102,永日
生技醫療,4105,東洋
生技醫療,4107,邦特
生技醫療,4109,加捷生醫
生技醫療,4111,濟生
生技醫療,4114,健喬
生技醫療,4116,明基醫
生技醫療,4120,友華
生技醫療,4121,優盛
生技醫療,4123,晟德
生技醫療,4126,太醫
生技醫療,4127,天良
生技醫療,4128,中天
生技醫療,4129,聯合
生技醫療,4130,健亞
生技醫療,4131,浩泰
生技醫療,4138,曜亞
生技醫療,4139,馬光-KY
生技醫療,4147,中裕
生技醫療,4153,鈺緯
生技醫療,4157,太景*-KY
生技醫療,4160,訊聯基因
生技醫療,4161,聿新科
生技醫療,4162,智擎
生技醫療,4163,鐿鈦
生技醫療,4166,友霖
生技醫療,4167,松瑞藥
生技醫療,4168,醣聯
生技醫療,4173,久裕
生技醫療,4174,浩鼎
生技醫療,4175,杏一
生技醫療,4183,福永生技
生技醫療,4188,安克
生技醫療,4192,杏國
生技醫療,4198,欣大健康
生技醫療,4726,永昕
生技醫療,4728,雙美
生技醫療,4735,豪展
生技醫療,4743,合一
生技醫療,4744,皇將
生技醫療,4745,合富-KY
生技醫療,4747,強生
生技醫療,4911,德英
生技醫療,5312,寶島科
生技醫療,6130,上亞科技
生技醫療,6242,立康
生技醫療,6461,益得
生技醫療,6469,大樹
生技醫療,6492,生華科
生技醫療,6496,科懋
生技醫療,6499,益安
生技醫療,6523,達爾膚
生技醫療,6527,明達醫
生技醫療,6535,順藥
生技醫療,6547,高端疫苗
生技醫療,6569,醫揚
生技醫療,6574,霈方
生技醫療,6576,逸達
生技醫療,6612,奈米醫材
生技醫療,6615,慧智
生技醫療,6617,共信-KY
生技醫療,6637,醫影
生技醫療,6649,台生材
生技醫療,6661,威健生技
生技醫療,6662,樂斯科
生技醫療,6703,軒郁
生技醫療,6712,長聖
生技醫療,6733,博晟生醫
生技醫療,6762,達亞
生技醫療,6767,台微醫
生技醫療,6785,昱展新藥
生技醫療,6841,長佳智能
生技醫療,6844,諾貝兒
生技醫療,6872,浩宇生醫
生技醫療,6875,國邑*
生技醫療,6929,佑全
生技醫療,7713,威力德生醫
生技醫療,8279,生展
生技醫療,8403,盛弘
生技醫療,8409,商之器
生技醫療,8432,東生華
生技醫療,8436,大江
生技醫療,1733,五鼎
生技醫療,1752,南光
生技醫療,1760,寶齡富錦
生技醫療,1762,中化生
生技醫療,1773,勝一
生技醫療,1783,和康生
生技醫療,1786,科妍
生技醫療,1789,神隆
生技醫療,1795,美時
生技醫療,3373,熱映
生物製劑,3176,基亞
生物製劑,4133,亞諾法
生物製劑,4142,國光生
生物製劑,4147,中裕
生物製劑,4168,醣聯
生物製劑,4174,浩鼎
生物製劑,6446,藥華藥
生物製劑,6541,泰福-KY
生物製劑,6547,高端疫苗
生物製劑,6550,北極星藥業-KY
生物製劑,6576,逸達
生物製劑,6712,長聖
生物製劑,6794,向榮生技
生物製劑,6949,沛爾生醫-創
石英元件,2484,希華
石英元件,3042,晶技
石英元件,3221,台嘉碩
石英元件,6174,安碁
石英元件,8182,加高
光電,2323,中環
光電,2349,錸德
光電,2374,佳能
光電,2393,億光
光電,2406,國碩
光電,2409,友達
光電,2426,鼎元
光電,2429,銘旺科
光電,2438,翔耀
光電,2466,冠西電
光電,2486,一詮
光電,2489,瑞軒
光電,2491,吉祥全
光電,3008,大立光
光電,3019,亞光
光電,3024,憶聲
光電,3031,佰鴻
光電,3038,全台
光電,3049,精金
光電,3050,鈺德
光電,3051,力特
光電,3059,華晶科
光電,3149,正達
光電,3168,眾福科
光電,3356,奇偶
光電,3406,玉晶光
光電,3437,榮創
光電,3454,晶睿
光電,3481,群創
光電,3504,揚明光
