Action    ,Symbol    ,Time                ,Cash           ,SymbolCash     ,SignalType     ,EnterCause     ,LeaveCause     ,RemainingQty   
enter     ,4722      ,92245182256         ,-1e+07         ,-1e+07         ,SignalA        ,Both           ,-              ,57803.5        
leave     ,4722      ,92503500836         ,-115607        ,-115607        ,-              ,-              ,stopLoss       ,0              
enter     ,2409      ,92532887704         ,-1.01156e+07   ,-1e+07         ,SignalA        ,Both           ,-              ,647249         
enter     ,3481      ,92533782572         ,-2.01156e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,457666         
enter     ,00955     ,92604825745         ,-3.01156e+07   ,-1e+07         ,SignalA        ,StrongSingle   ,-              ,598086         
enter     ,5452      ,92605949787         ,-4.01156e+07   ,-1e+07         ,SignalA        ,StrongSingle   ,-              ,337268         
enter     ,3062      ,92636728523         ,-5.01156e+07   ,-1e+07         ,SignalA        ,StrongSingle   ,-              ,390625         
enter     ,3529      ,93011398029         ,-6.01156e+07   ,-1e+07         ,SignalA        ,StrongSingle   ,-              ,5305.04        
enter     ,2337      ,93020321427         ,-7.01156e+07   ,-1e+07         ,SignalB        ,Both           ,-              ,103199         
leave     ,3529      ,93208274517         ,-6.80997e+07   ,-7.98408e+06   ,-              ,-              ,takeProfit     ,4244.03        
leave     ,3529      ,93253686382         ,-6.60785e+07   ,-5.96286e+06   ,-              ,-              ,takeProfit     ,3183.02        
leave     ,2409      ,93527647201         ,-6.40591e+07   ,-7.98058e+06   ,-              ,-              ,takeProfit     ,517799         
leave     ,2409      ,93549236420         ,-6.20332e+07   ,-5.95469e+06   ,-              ,-              ,takeProfit     ,388350         
leave     ,3529      ,93554353453         ,-5.60332e+07   ,37135.3        ,-              ,-              ,bailout        ,0              
leave     ,2337      ,93600428217         ,-4.61157e+07   ,-82559.3       ,-              ,-              ,stopLoss       ,0              
leave     ,2409      ,93625317259         ,-4.00963e+07   ,64724.9        ,-              ,-              ,bailout        ,0              
leave     ,5452      ,93736337314         ,-3.02143e+07   ,-118044        ,-              ,-              ,stopLoss       ,0              
enter     ,2344      ,94037116792         ,-4.02143e+07   ,-1e+07         ,SignalA        ,StrongSingle   ,-              ,93457.9        
leave     ,3062      ,94244417958         ,-3.03315e+07   ,-117188        ,-              ,-              ,stopLoss       ,0              
leave     ,3481      ,94333937708         ,-2.0446e+07    ,-114416        ,-              ,-              ,stopLoss       ,0              
enter     ,5439      ,94444762315         ,-3.0446e+07    ,-1e+07         ,SignalA        ,StrongSingle   ,-              ,30627.9        
leave     ,2344      ,94822069430         ,-2.05861e+07   ,-140187        ,-              ,-              ,stopLoss       ,0              
leave     ,5439      ,95039245229         ,-1.06933e+07   ,-107198        ,-              ,-              ,stopLoss       ,0              
enter     ,1504      ,95046483903         ,-2.06933e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,125786         
enter     ,8033      ,95446019902         ,-3.06933e+07   ,-1e+07         ,SignalA        ,StrongSingle   ,-              ,68965.5        
enter     ,2409      ,95556658601         ,-4.06933e+07   ,-9.93528e+06   ,SignalA        ,StrongGroup    ,-              ,645161         
enter     ,3374      ,95611744175         ,-5.06933e+07   ,-1e+07         ,SignalA        ,StrongSingle   ,-              ,57306.6        
enter     ,1326      ,95632238706         ,-6.06933e+07   ,-1e+07         ,SignalA        ,StrongSingle   ,-              ,105820         
leave     ,2409      ,95918557670         ,-5.86804e+07   ,-7.92237e+06   ,-              ,-              ,takeProfit     ,516129         
enter     ,6831      ,95924815993         ,-6.86804e+07   ,-1e+07         ,SignalA        ,StrongSingle   ,-              ,35650.6        
leave     ,2409      ,95947149071         ,-6.66611e+07   ,-5.90302e+06   ,-              ,-              ,takeProfit     ,387097         
leave     ,2409      ,100013381772        ,-6.06029e+07   ,155125         ,-              ,-              ,takeProfit     ,0              
enter     ,6290      ,100027134944        ,-7.06029e+07   ,-1e+07         ,SignalA        ,Both           ,-              ,53191.5        
enter     ,2489      ,100148051068        ,-8.06029e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,383142         
leave     ,8033      ,100148472699        ,-7.85891e+07   ,-7.98621e+06   ,-              ,-              ,takeProfit     ,55172.4        
leave     ,8033      ,100205308947        ,-7.65685e+07   ,-5.96552e+06   ,-              ,-              ,takeProfit     ,41379.3        
leave     ,8033      ,100236918964        ,-7.05064e+07   ,96560          ,-              ,-              ,takeProfit     ,0              
enter     ,2515      ,100248546864        ,-8.05064e+07   ,-1e+07         ,SignalA        ,StrongSingle   ,-              ,645161         
enter     ,2337      ,100258406596        ,-9.05064e+07   ,-1.00826e+07   ,SignalA        ,Both           ,-              ,104932         
enter     ,8081      ,100513153883        ,-1.00506e+08   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,42283.3        
enter     ,3663      ,100647646653        ,-1.10506e+08   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,143885         
leave     ,3374      ,100704259435        ,-1.08495e+08   ,-7.98854e+06   ,-              ,-              ,takeProfit     ,45845.3        
enter     ,8046      ,100728990177        ,-1.18495e+08   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,23809.5        
enter     ,8110      ,101046026863        ,-1.28495e+08   ,-1e+07         ,SignalA        ,StrongSingle   ,-              ,167504         
enter     ,8033      ,101051327197        ,-1.38495e+08   ,-9.90344e+06   ,SignalA        ,Both           ,-              ,68728.5        
leave     ,8033      ,101100134679        ,-1.28529e+08   ,62195.7        ,-              ,-              ,bailout        ,0              
enter     ,2344      ,101141075692        ,-1.38529e+08   ,-1.01402e+07   ,SignalA        ,StrongSingle   ,-              ,93457.9        
leave     ,00955     ,101227311490        ,-1.36507e+08   ,-7.97727e+06   ,-              ,-              ,takeProfit     ,478469         
enter     ,3481      ,101422868682        ,-1.46507e+08   ,-1.01144e+07   ,SignalA        ,StrongGroup    ,-              ,457666         
enter     ,6415      ,101429834703        ,-1.56507e+08   ,-1e+07         ,SignalA        ,StrongSingle   ,-              ,35026.3        
leave     ,3374      ,101502161382        ,-1.48507e+08   ,11461.3        ,-              ,-              ,bailout        ,0              
leave     ,00955     ,101526208676        ,-1.46483e+08   ,-5.95335e+06   ,-              ,-              ,takeProfit     ,358852         
enter     ,8033      ,101533785319        ,-1.56483e+08   ,-9.9378e+06    ,SignalA        ,Both           ,-              ,68728.5        
leave     ,2344      ,101844531769        ,-1.46623e+08   ,-280374        ,-              ,-              ,stopLoss       ,0              
leave     ,2515      ,101943702750        ,-1.36752e+08   ,-129032        ,-              ,-              ,stopLoss       ,0              
leave     ,6290      ,102057385958        ,-1.26858e+08   ,-106383        ,-              ,-              ,stopLoss       ,0              
leave     ,3481      ,102208898438        ,-1.16973e+08   ,-228833        ,-              ,-              ,stopLoss       ,0              
leave     ,00955     ,102228021503        ,-1.10901e+08   ,118493         ,-              ,-              ,takeProfit     ,0              
enter     ,4927      ,102838992424        ,-1.20901e+08   ,-1e+07         ,SignalB        ,StrongSingle   ,-              ,299850         
leave     ,8033      ,102858177945        ,-1.11004e+08   ,-40897         ,-              ,-              ,stopLoss       ,0              
enter     ,2409      ,102916261858        ,-1.21004e+08   ,-9.84488e+06   ,SignalA        ,StrongGroup    ,-              ,638978         
leave     ,2409      ,102916337340        ,-1.11068e+08   ,91227.2        ,-              ,-              ,bailout        ,0              
enter     ,2409      ,102929013710        ,-1.21068e+08   ,-9.90877e+06   ,SignalA        ,StrongGroup    ,-              ,641026         
leave     ,4927      ,103003156841        ,-1.19056e+08   ,-7.98801e+06   ,-              ,-              ,takeProfit     ,239880         
leave     ,4927      ,103105219314        ,-1.17041e+08   ,-5.97301e+06   ,-              ,-              ,takeProfit     ,179910         
leave     ,4927      ,103106343006        ,-1.10996e+08   ,72000          ,-              ,-              ,takeProfit     ,0              
enter     ,4927      ,103106343006        ,-1.20996e+08   ,-9.928e+06     ,SignalB        ,StrongSingle   ,-              ,296736         
leave     ,4927      ,103111248602        ,-1.11014e+08   ,54231.5        ,-              ,-              ,takeProfit     ,0              
enter     ,4927      ,103111248602        ,-1.21014e+08   ,-9.94577e+06   ,SignalB        ,StrongSingle   ,-              ,296296         
leave     ,4927      ,103115006605        ,-1.19019e+08   ,-7.95169e+06   ,-              ,-              ,takeProfit     ,237037         
enter     ,6290      ,103131178227        ,-1.29019e+08   ,-1.01064e+07   ,SignalA        ,Both           ,-              ,53191.5        
leave     ,4927      ,103146985549        ,-1.27022e+08   ,-5.95466e+06   ,-              ,-              ,takeProfit     ,177778         
leave     ,4927      ,103209533761        ,-1.21031e+08   ,36489.2        ,-              ,-              ,takeProfit     ,0              
enter     ,4927      ,103209533761        ,-1.31031e+08   ,-9.96351e+06   ,SignalB        ,StrongSingle   ,-              ,296296         
leave     ,4927      ,103210493314        ,-1.29034e+08   ,-7.96647e+06   ,-              ,-              ,takeProfit     ,237037         
leave     ,4927      ,103233304589        ,-1.27034e+08   ,-5.96647e+06   ,-              ,-              ,takeProfit     ,177778         
leave     ,4927      ,103547618482        ,-1.21034e+08   ,33561.8        ,-              ,-              ,takeProfit     ,0              
enter     ,4927      ,103547618482        ,-1.31034e+08   ,-9.96644e+06   ,SignalB        ,StrongSingle   ,-              ,295858         
leave     ,4927      ,103550600207        ,-1.27037e+08   ,-5.9694e+06    ,-              ,-              ,takeProfit     ,177515         
enter     ,2515      ,104226809164        ,-1.37037e+08   ,-1.0129e+07    ,SignalA        ,StrongSingle   ,-              ,645161         
leave     ,2409      ,104242955126        ,-1.35005e+08   ,-7.87672e+06   ,-              ,-              ,takeProfit     ,512821         
leave     ,2409      ,104331143282        ,-1.26928e+08   ,200202         ,-              ,-              ,bailout        ,0              
leave     ,4927      ,105102450945        ,-1.20928e+08   ,30638.7        ,-              ,-              ,takeProfit     ,0              
leave     ,1326      ,105213941164        ,-1.20015e+08   ,-9.08677e+06   ,-              ,-              ,takeProfit     ,84656.1        
leave     ,2515      ,105218132057        ,-1.17996e+08   ,-8.10968e+06   ,-              ,-              ,takeProfit     ,516129         
leave     ,2515      ,105257639687        ,-1.1597e+08    ,-6.08387e+06   ,-              ,-              ,takeProfit     ,387097         
leave     ,2515      ,105424202784        ,-1.0995e+08    ,-64516.1       ,-              ,-              ,bailout        ,0              
leave     ,2337      ,105504593830        ,-1.07896e+08   ,-8.02799e+06   ,-              ,-              ,takeProfit     ,83945.4        
leave     ,2337      ,105516538573        ,-1.05839e+08   ,-5.97133e+06   ,-              ,-              ,takeProfit     ,62959.1        
leave     ,3663      ,105628633376        ,-9.59543e+07   ,-115108        ,-              ,-              ,stopLoss       ,0              
leave     ,1326      ,105712218634        ,-9.504e+07     ,-8.17249e+06   ,-              ,-              ,takeProfit     ,63492.1        
enter     ,2345      ,105909823229        ,-1.0504e+08    ,-1e+07         ,SignalB        ,StrongSingle   ,-              ,6920.42        
leave     ,2345      ,105909986630        ,-1.0304e+08    ,-8e+06         ,-              ,-              ,takeProfit     ,5536.33        
leave     ,2337      ,105924744525        ,-9.687e+07     ,198670         ,-              ,-              ,takeProfit     ,0              
leave     ,1326      ,110151589301        ,-9.41494e+07   ,-5.45185e+06   ,-              ,-              ,bailout        ,0              
leave     ,8110      ,110304995101        ,-9.21125e+07   ,-7.96315e+06   ,-              ,-              ,takeProfit     ,134003         
leave     ,8110      ,110306046900        ,-9.00723e+07   ,-5.92295e+06   ,-              ,-              ,takeProfit     ,100503         
leave     ,8110      ,110306298671        ,-8.39517e+07   ,197675         ,-              ,-              ,takeProfit     ,0              
enter     ,4927      ,110407810363        ,-9.39517e+07   ,-9.96936e+06   ,SignalB        ,StrongSingle   ,-              ,293686         
leave     ,4927      ,110644717064        ,-8.39958e+07   ,-13414.1       ,-              ,-              ,bailout        ,0              
enter     ,8069      ,110749484039        ,-9.39958e+07   ,-1e+07         ,SignalA        ,StrongSingle   ,-              ,52493.4        
leave     ,2345      ,111115490715        ,-8.60511e+07   ,-55363.3       ,-              ,-              ,bailout        ,0              
enter     ,2345      ,111318833645        ,-9.60511e+07   ,-1.00554e+07   ,SignalB        ,StrongSingle   ,-              ,6944.44        
