Action    ,Symbol    ,Time                ,Price          ,Cash           ,SymbolCash     ,SignalType     ,EnterCause     ,LeaveCause     ,RemainingQty   ,GroupInfo
enter     ,4939      ,94959182679         ,338500         ,-1e+07         ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,295421         ,印刷電路板(G9/M1/R1)
leave     ,4939      ,100425243389        ,344500         ,-7.96455e+06   ,-7.96455e+06   ,-              ,-              ,takeProfit     ,236337         
leave     ,4939      ,100909309557        ,345000         ,-5.92614e+06   ,-5.92614e+06   ,-              ,-              ,takeProfit     ,177253         
leave     ,4939      ,100909330044        ,345500         ,-3.88479e+06   ,-3.88479e+06   ,-              ,-              ,takeProfit     ,118168         
leave     ,4939      ,100909331237        ,346000         ,-1.84047e+06   ,-1.84047e+06   ,-              ,-              ,takeProfit     ,59084.2        
leave     ,4939      ,100909352118        ,346500         ,206795         ,206795         ,-              ,-              ,takeProfit     ,0              
enter     ,4939      ,103532883558        ,339500         ,-9.79321e+06   ,-9.79321e+06   ,SignalA        ,StrongGroup    ,-              ,294551         ,印刷電路板(G8/M1/R1)
leave     ,4939      ,122058707556        ,348000         ,-7.74313e+06   ,-7.74313e+06   ,-              ,-              ,takeProfit     ,235641         
leave     ,4939      ,122105268705        ,348500         ,-5.69011e+06   ,-5.69011e+06   ,-              ,-              ,takeProfit     ,176730         
leave     ,4939      ,122107398655        ,349000         ,-3.63415e+06   ,-3.63415e+06   ,-              ,-              ,takeProfit     ,117820         
leave     ,4939      ,122120381237        ,349500         ,-1.57524e+06   ,-1.57524e+06   ,-              ,-              ,takeProfit     ,58910.2        
leave     ,4939      ,122120580043        ,350000         ,486618         ,486618         ,-              ,-              ,takeProfit     ,0              
