Action    ,Symbol    ,Time                ,Price          ,Cash           ,SymbolCash     ,SignalType     ,EnterCause     ,LeaveCause     ,RemainingQty   ,GroupInfo
enter     ,5274      ,92427673966         ,66750000       ,-1e+07         ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,1497.01        ,IC設計(G4/M1/R1)
enter     ,3653      ,95428524288         ,29700000       ,-2e+07         ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,3367           ,散熱(G1/M1/R1)
enter     ,3443      ,100708810397        ,22000000       ,-3e+07         ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,4545.45        ,設計IP(G4/M1/R1)
leave     ,3653      ,101346318628        ,29900000       ,-2.79865e+07   ,-7.98653e+06   ,-              ,-              ,takeProfit     ,2693.6         
leave     ,3653      ,101348830047        ,29950000       ,-2.59697e+07   ,-5.9697e+06    ,-              ,-              ,takeProfit     ,2020.2         
leave     ,3653      ,101354283590        ,30000000       ,-2.39495e+07   ,-3.94949e+06   ,-              ,-              ,takeProfit     ,1346.8         
leave     ,3653      ,101419405264        ,30050000       ,-2.19259e+07   ,-1.92593e+06   ,-              ,-              ,takeProfit     ,673.401        
leave     ,3653      ,101420257712        ,30100000       ,-1.9899e+07    ,101010         ,-              ,-              ,takeProfit     ,0              
leave     ,5274      ,102704187365        ,66900000       ,-1.7896e+07    ,-7.99701e+06   ,-              ,-              ,takeProfit     ,1197.6         
leave     ,5274      ,102704311656        ,66950000       ,-1.58915e+07   ,-5.99251e+06   ,-              ,-              ,takeProfit     ,898.204        
leave     ,5274      ,102705256282        ,67000000       ,-1.38855e+07   ,-3.98653e+06   ,-              ,-              ,takeProfit     ,598.802        
leave     ,5274      ,102705287174        ,67050000       ,-1.1878e+07    ,-1.97904e+06   ,-              ,-              ,takeProfit     ,299.401        
leave     ,5274      ,102705320468        ,67100000       ,-9.86905e+06   ,29940.1        ,-              ,-              ,takeProfit     ,0              
enter     ,6669      ,102822124831        ,47150000       ,-1.9869e+07    ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,2118.64        ,ODM(G4/M1/R1)
leave     ,3443      ,104847573176        ,21700000       ,-1.00054e+07   ,-136364        ,-              ,-              ,stopLoss       ,0              
enter     ,3443      ,110606506773        ,22050000       ,-2.00054e+07   ,-1.01364e+07   ,SignalA        ,StrongGroup    ,-              ,4535.15        ,設計IP(G4/M1/R1)
leave     ,3443      ,110759475725        ,22150000       ,-1.79963e+07   ,-8.12729e+06   ,-              ,-              ,takeProfit     ,3628.12        
leave     ,3443      ,122350033275        ,22200000       ,-1.59827e+07   ,-6.11369e+06   ,-              ,-              ,takeProfit     ,2721.09        
leave     ,3443      ,130311298961        ,22250000       ,-1.39646e+07   ,-4.09555e+06   ,-              ,-              ,takeProfit     ,1814.06        
leave     ,3443      ,130607547321        ,22300000       ,-1.19419e+07   ,-2.07287e+06   ,-              ,-              ,takeProfit     ,907.029        
leave     ,3443      ,132010189133        ,22100000       ,-9.93739e+06   ,-68336.4       ,-              ,-              ,timeExit       ,0              
leave     ,6669      ,132045111421        ,46650000       ,-53911.6       ,-116525        ,-              ,-              ,timeExit       ,0              
