Action    ,Symbol    ,Time                ,Price          ,Cash           ,SymbolCash     ,SignalType     ,EnterCause     ,LeaveCause     ,RemainingQty   ,GroupInfo
enter     ,2485      ,92049001356         ,233000         ,-1e+07         ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,429185         ,網路通訊(G5/M1/R1)
enter     ,1802      ,92528046125         ,374000         ,-2e+07         ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,267380         ,玻纖布(G5/M1/R1)
leave     ,2485      ,92551805558         ,234000         ,-1.79914e+07   ,-7.99142e+06   ,-              ,-              ,takeProfit     ,343348         
leave     ,2485      ,92631751619         ,234500         ,-1.59785e+07   ,-5.97854e+06   ,-              ,-              ,takeProfit     ,257511         
leave     ,2485      ,92641486723         ,235000         ,-1.39614e+07   ,-3.96137e+06   ,-              ,-              ,takeProfit     ,171674         
leave     ,1802      ,92700453028         ,377500         ,-1.19427e+07   ,-7.98128e+06   ,-              ,-              ,takeProfit     ,213904         
leave     ,1802      ,92702046699         ,378000         ,-9.92127e+06   ,-5.95989e+06   ,-              ,-              ,takeProfit     ,160428         
leave     ,1802      ,92702365520         ,378500         ,-7.8972e+06    ,-3.93583e+06   ,-              ,-              ,takeProfit     ,106952         
leave     ,1802      ,92703698364         ,379000         ,-5.87046e+06   ,-1.90909e+06   ,-              ,-              ,takeProfit     ,53475.9        
leave     ,1802      ,92810347189         ,379500         ,-3.84105e+06   ,120321         ,-              ,-              ,takeProfit     ,0              
leave     ,2485      ,92924968887         ,235500         ,-1.81959e+06   ,-1.93991e+06   ,-              ,-              ,takeProfit     ,85836.9        
leave     ,2485      ,92938794825         ,236000         ,206158         ,85836.9        ,-              ,-              ,takeProfit     ,0              
enter     ,1802      ,94814724508         ,383500         ,-9.79384e+06   ,-9.87968e+06   ,SignalA        ,StrongGroup    ,-              ,260756         ,玻纖布(G2/M1/R1)
leave     ,1802      ,132003184008        ,383500         ,193120         ,107283         ,-              ,-              ,timeExit       ,0              
