Action    ,Symbol    ,Time                ,Price          ,Cash           ,SymbolCash     ,SignalType     ,EnterCause     ,LeaveCause     ,RemainingQty   ,GroupInfo
enter     ,2316      ,92323239160         ,1115000        ,-1e+07         ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,89285.7        ,印刷電路板(G8/M1/R1)
leave     ,2316      ,92330296727         ,1115000        ,-8.00893e+06   ,-8.00893e+06   ,-              ,-              ,takeProfit     ,71428.6        
leave     ,2316      ,92330604048         ,1120000        ,-6.00893e+06   ,-6.00893e+06   ,-              ,-              ,takeProfit     ,53571.4        
leave     ,2316      ,92344263567         ,1125000        ,-4e+06         ,-4e+06         ,-              ,-              ,takeProfit     ,35714.3        
leave     ,2316      ,92415898211         ,1130000        ,-1.98214e+06   ,-1.98214e+06   ,-              ,-              ,takeProfit     ,17857.1        
leave     ,2316      ,92653491182         ,1135000        ,44642.9        ,44642.9        ,-              ,-              ,takeProfit     ,0              
enter     ,2345      ,93455769221         ,10250000       ,-9.95536e+06   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,9756.1         ,網路通訊(G1/M1/R1)
leave     ,2345      ,93523326643         ,10300000       ,-7.9456e+06    ,-7.99024e+06   ,-              ,-              ,takeProfit     ,7804.88        
leave     ,2345      ,93601099552         ,10350000       ,-5.92609e+06   ,-5.97073e+06   ,-              ,-              ,takeProfit     ,5853.66        
leave     ,2345      ,93622373224         ,10400000       ,-3.89682e+06   ,-3.94146e+06   ,-              ,-              ,takeProfit     ,3902.44        
leave     ,2345      ,93624609817         ,10450000       ,-1.8578e+06    ,-1.90244e+06   ,-              ,-              ,takeProfit     ,1951.22        
leave     ,2345      ,94234844281         ,10500000       ,190984         ,146341         ,-              ,-              ,takeProfit     ,0              
enter     ,3037      ,94319600422         ,2305000        ,-9.80902e+06   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,43383.9        ,ABF(G2/M1/R1)
enter     ,6515      ,94357408800         ,26600000       ,-1.9809e+07    ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,3759.4         ,探針卡(G1/M1/R1)
leave     ,6515      ,94527656230         ,26800000       ,-1.7794e+07    ,-7.98496e+06   ,-              ,-              ,takeProfit     ,3007.52        
leave     ,6515      ,94652231998         ,26850000       ,-1.57752e+07   ,-5.96617e+06   ,-              ,-              ,takeProfit     ,2255.64        
leave     ,6515      ,94652267598         ,26900000       ,-1.37526e+07   ,-3.94361e+06   ,-              ,-              ,takeProfit     ,1503.76        
leave     ,6515      ,94716244025         ,26950000       ,-1.17263e+07   ,-1.91729e+06   ,-              ,-              ,takeProfit     ,751.88         
leave     ,6515      ,94722792923         ,27000000       ,-9.69623e+06   ,112782         ,-              ,-              ,takeProfit     ,0              
enter     ,2316      ,95129147514         ,1125000        ,-1.96962e+07   ,-9.95536e+06   ,SignalA        ,StrongGroup    ,-              ,88888.9        ,印刷電路板(G8/M1/R1)
enter     ,2345      ,100622920092        ,10350000       ,-2.96962e+07   ,-9.85366e+06   ,SignalA        ,StrongGroup    ,-              ,9661.84        ,網路通訊(G1/M1/R1)
leave     ,2345      ,101426997223        ,10200000       ,-1.98412e+07   ,1413.93        ,-              ,-              ,stopLoss       ,0              
enter     ,2345      ,101732338329        ,10350000       ,-2.98412e+07   ,-9.99859e+06   ,SignalA        ,StrongGroup    ,-              ,9661.84        ,網路通訊(G1/M1/R1)
leave     ,2345      ,102249638852        ,10200000       ,-1.99861e+07   ,-143514        ,-              ,-              ,stopLoss       ,0              
leave     ,3037      ,103643823246        ,2335000        ,-1.79601e+07   ,-7.97397e+06   ,-              ,-              ,takeProfit     ,34707.2        
leave     ,3037      ,103728569406        ,2340000        ,-1.59297e+07   ,-5.9436e+06    ,-              ,-              ,takeProfit     ,26030.4        
leave     ,2316      ,110215969769        ,1110000        ,-6.06302e+06   ,-88690.5       ,-              ,-              ,stopLoss       ,0              
leave     ,3037      ,112441026376        ,2270000        ,-154129        ,-34707.2       ,-              ,-              ,stopLoss       ,0              
