Action    ,Symbol    ,Time                ,Price          ,Cash           ,SymbolCash     ,SignalType     ,EnterCause     ,LeaveCause     ,RemainingQty   ,GroupInfo
enter     ,6139      ,92820237247         ,5430000        ,-1e+07         ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,18416.2        ,廠務(G1/M1/R1)
enter     ,5498      ,93114370026         ,287000         ,-2e+07         ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,348432         ,PCB上游(G2/M1/R1)
leave     ,5498      ,93114951509         ,288500         ,-1.79895e+07   ,-7.98955e+06   ,-              ,-              ,takeProfit     ,278746         
leave     ,5498      ,93115012034         ,289000         ,-1.59756e+07   ,-5.97561e+06   ,-              ,-              ,takeProfit     ,209059         
leave     ,5498      ,93150042098         ,289500         ,-1.39582e+07   ,-3.95819e+06   ,-              ,-              ,takeProfit     ,139373         
leave     ,5498      ,93152518063         ,290000         ,-1.19373e+07   ,-1.93728e+06   ,-              ,-              ,takeProfit     ,69686.4        
enter     ,4989      ,93237875762         ,451500         ,-2.19373e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,221484         ,CCL(G6/M1/R2)
enter     ,5475      ,93253651199         ,845000         ,-3.19373e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,118343         ,玻纖布(G13/M1/R1)
enter     ,6291      ,93322561467         ,1790000        ,-4.19373e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,55865.9        ,IC設計(G10/M1/R1)
leave     ,6291      ,93349890181         ,1805000        ,-3.99205e+07   ,-7.98324e+06   ,-              ,-              ,takeProfit     ,44692.7        
leave     ,5498      ,93913912279         ,290500         ,-3.78961e+07   ,87108          ,-              ,-              ,takeProfit     ,0              
enter     ,3211      ,93920622496         ,2805000        ,-4.78961e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,35650.6        ,BBU(G5/M1/R2)
leave     ,3211      ,93946589037         ,2815000        ,-4.5889e+07    ,-7.99287e+06   ,-              ,-              ,takeProfit     ,28520.5        
leave     ,3211      ,93947483850         ,2820000        ,-4.38783e+07   ,-5.98217e+06   ,-              ,-              ,takeProfit     ,21390.4        
leave     ,3211      ,94011823367         ,2825000        ,-4.1864e+07    ,-3.96791e+06   ,-              ,-              ,takeProfit     ,14260.2        
leave     ,3211      ,94011878011         ,2830000        ,-3.98462e+07   ,-1.95009e+06   ,-              ,-              ,takeProfit     ,7130.12        
leave     ,3211      ,94018675973         ,2835000        ,-3.78248e+07   ,71301.2        ,-              ,-              ,takeProfit     ,0              
enter     ,2371      ,94052516740         ,340000         ,-4.78248e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,294118         ,重電(G2/M1/R1)
leave     ,6139      ,94053774425         ,5350000        ,-3.79722e+07   ,-147330        ,-              ,-              ,stopLoss       ,0              
leave     ,5475      ,95023548139         ,833000         ,-2.81142e+07   ,-142012        ,-              ,-              ,stopLoss       ,0              
leave     ,6291      ,95136158756         ,1810000        ,-2.60918e+07   ,-5.96089e+06   ,-              ,-              ,takeProfit     ,33519.6        
leave     ,6291      ,95220355100         ,1815000        ,-2.40639e+07   ,-3.93296e+06   ,-              ,-              ,takeProfit     ,22346.4        
leave     ,4989      ,95227010961         ,445000         ,-1.42079e+07   ,-143965        ,-              ,-              ,stopLoss       ,0              
leave     ,6291      ,95231685082         ,1820000        ,-1.21743e+07   ,-1.89944e+06   ,-              ,-              ,takeProfit     ,11173.2        
leave     ,6291      ,95231685082         ,1825000        ,-1.01352e+07   ,139665         ,-              ,-              ,takeProfit     ,0              
enter     ,1815      ,95438263087         ,876000         ,-2.01352e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,114155         ,PCB上游(G3/M1/R4)
leave     ,1815      ,95759360404         ,884000         ,-1.8117e+07    ,-7.98174e+06   ,-              ,-              ,takeProfit     ,91324.2        
leave     ,1815      ,95759395265         ,885000         ,-1.60964e+07   ,-5.96119e+06   ,-              ,-              ,takeProfit     ,68493.2        
leave     ,1815      ,95801024220         ,886000         ,-1.40736e+07   ,-3.93836e+06   ,-              ,-              ,takeProfit     ,45662.1        
leave     ,1815      ,95802531621         ,887000         ,-1.20485e+07   ,-1.91324e+06   ,-              ,-              ,takeProfit     ,22831.1        
leave     ,1815      ,95804353853         ,888000         ,-1.00211e+07   ,114155         ,-              ,-              ,takeProfit     ,0              
enter     ,4989      ,100513403686        ,451500         ,-2.00211e+07   ,-1.0144e+07    ,SignalA        ,StrongGroup    ,-              ,221484         ,CCL(G6/M1/R2)
enter     ,3376      ,100848666601        ,2185000        ,-3.00211e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,45766.6        ,軸承(G1/M1/R1)
leave     ,2371      ,101826770109        ,341500         ,-2.80123e+07   ,-7.99118e+06   ,-              ,-              ,takeProfit     ,235294         
enter     ,5498      ,102337312346        ,291000         ,-3.80123e+07   ,-9.91289e+06   ,SignalA        ,StrongGroup    ,-              ,343643         ,PCB上游(G2/M1/R1)
leave     ,4989      ,103214714650        ,445000         ,-2.81562e+07   ,-287929        ,-              ,-              ,stopLoss       ,0              
enter     ,2612      ,105244948051        ,638000         ,-3.81562e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,156740         ,海運(G9/M1/R1)
leave     ,3376      ,110606620816        ,2150000        ,-2.83164e+07   ,-160183        ,-              ,-              ,stopLoss       ,0              
leave     ,2371      ,122519227914        ,342000         ,-2.63046e+07   ,-5.97941e+06   ,-              ,-              ,takeProfit     ,176471         
leave     ,2371      ,122605237455        ,342500         ,-2.42899e+07   ,-3.96471e+06   ,-              ,-              ,takeProfit     ,117647         
leave     ,2371      ,122610814168        ,343000         ,-2.22723e+07   ,-1.94706e+06   ,-              ,-              ,takeProfit     ,58823.5        
leave     ,2371      ,122610836345        ,343500         ,-2.02517e+07   ,73529.4        ,-              ,-              ,takeProfit     ,0              
leave     ,5498      ,132000301346        ,289500         ,-1.03204e+07   ,18379.5        ,-              ,-              ,timeExit       ,0              
leave     ,2612      ,132017134630        ,633000         ,-414467        ,-94043.9       ,-              ,-              ,timeExit       ,0              
