Action    ,Symbol    ,Time                ,Price          ,Cash           ,SymbolCash     ,SignalType     ,EnterCause     ,LeaveCause     ,RemainingQty   ,GroupInfo
enter     ,6584      ,92027710099         ,3545000        ,-1e+07         ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,28208.7        ,滑軌(G2/M1/R1)
leave     ,6584      ,92051176957         ,3555000        ,-7.99436e+06   ,-7.99436e+06   ,-              ,-              ,takeProfit     ,22567          
enter     ,3563      ,92628206803         ,5240000        ,-1.79944e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,19084          ,PCB 設備(G4/M1/R1)
leave     ,3563      ,92628224667         ,5240000        ,-1.59944e+07   ,-8e+06         ,-              ,-              ,takeProfit     ,15267.2        
leave     ,3563      ,92628744791         ,5250000        ,-1.39905e+07   ,-5.99618e+06   ,-              ,-              ,takeProfit     ,11450.4        
leave     ,3563      ,92632370863         ,5260000        ,-1.19829e+07   ,-3.98855e+06   ,-              ,-              ,takeProfit     ,7633.59        
leave     ,3563      ,92632558641         ,5270000        ,-9.97146e+06   ,-1.9771e+06    ,-              ,-              ,takeProfit     ,3816.79        
leave     ,3563      ,92633118390         ,5280000        ,-7.95619e+06   ,38167.9        ,-              ,-              ,takeProfit     ,0              
leave     ,6584      ,92811539587         ,3495000        ,-69025.3       ,-107193        ,-              ,-              ,stopLoss       ,0              
enter     ,8039      ,93417164375         ,1000000        ,-1.0069e+07    ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,100000         ,CCL(G8/M1/R1)
enter     ,5289      ,93746113821         ,4935000        ,-2.0069e+07    ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,20242.9        ,記憶體(G5/M1/R1)
leave     ,5289      ,94123363790         ,4965000        ,-1.80589e+07   ,-7.98988e+06   ,-              ,-              ,takeProfit     ,16194.3        
leave     ,5289      ,94123645468         ,4970000        ,-1.60468e+07   ,-5.97773e+06   ,-              ,-              ,takeProfit     ,12145.7        
leave     ,8039      ,94616052743         ,1010000        ,-1.40268e+07   ,-7.98e+06      ,-              ,-              ,takeProfit     ,80000          
leave     ,8039      ,94617942905         ,1015000        ,-1.19968e+07   ,-5.95e+06      ,-              ,-              ,takeProfit     ,60000          
leave     ,5289      ,94926231294         ,4975000        ,-9.98259e+06   ,-3.96356e+06   ,-              ,-              ,takeProfit     ,8097.17        
leave     ,5289      ,94926425975         ,4980000        ,-7.96639e+06   ,-1.94737e+06   ,-              ,-              ,takeProfit     ,4048.58        
leave     ,5289      ,95052249618         ,4985000        ,-5.94818e+06   ,70850.2        ,-              ,-              ,takeProfit     ,0              
leave     ,8039      ,100244302800        ,986000         ,-32175.1       ,-34000         ,-              ,-              ,stopLoss       ,0              
enter     ,6139      ,101127343183        ,5660000        ,-1.00322e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,17667.8        ,廠務(G1/M1/R2)
leave     ,6139      ,102717549446        ,5580000        ,-173518        ,-141343        ,-              ,-              ,stopLoss       ,0              
