Action    ,Symbol    ,Time                ,Price          ,Cash           ,SymbolCash     ,SignalType     ,EnterCause     ,LeaveCause     ,RemainingQty   ,GroupInfo
enter     ,8027      ,92049927690         ,1140000        ,-1e+07         ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,87719.3        ,半導體設備(G7/M1/R1)
leave     ,8027      ,93216725118         ,1155000        ,-7.97368e+06   ,-7.97368e+06   ,-              ,-              ,takeProfit     ,70175.4        
leave     ,8027      ,93443912295         ,1160000        ,-5.9386e+06    ,-5.9386e+06    ,-              ,-              ,takeProfit     ,52631.6        
leave     ,8027      ,93605409535         ,1165000        ,-3.89474e+06   ,-3.89474e+06   ,-              ,-              ,takeProfit     ,35087.7        
leave     ,8027      ,93822044195         ,1120000        ,35087.7        ,35087.7        ,-              ,-              ,stopLoss       ,0              
enter     ,4967      ,94259841614         ,1385000        ,-9.96491e+06   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,72202.2        ,記憶體(G8/M1/R1)
leave     ,4967      ,94300072058         ,1385000        ,-7.96491e+06   ,-8e+06         ,-              ,-              ,takeProfit     ,57761.7        
leave     ,4967      ,94335776828         ,1390000        ,-5.95769e+06   ,-5.99278e+06   ,-              ,-              ,takeProfit     ,43321.3        
leave     ,4967      ,94447510513         ,1395000        ,-3.94325e+06   ,-3.97834e+06   ,-              ,-              ,takeProfit     ,28880.9        
leave     ,4967      ,94449428999         ,1400000        ,-1.92159e+06   ,-1.95668e+06   ,-              ,-              ,takeProfit     ,14440.4        
enter     ,2367      ,95006889130         ,281500         ,-1.19216e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,355240         ,印刷電路板(G9/M1/R3)
leave     ,4967      ,95043519776         ,1405000        ,-9.89271e+06   ,72202.2        ,-              ,-              ,takeProfit     ,0              
enter     ,2887      ,100040270524        ,209500         ,-1.98927e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,477327         ,金控(G2/M1/R1)
leave     ,2367      ,102557263989        ,277000         ,-1.00526e+07   ,-159858        ,-              ,-              ,stopLoss       ,0              
leave     ,2887      ,102635227189        ,212000         ,-8.0287e+06    ,-7.97613e+06   ,-              ,-              ,takeProfit     ,381862         
leave     ,2887      ,103244216074        ,212500         ,-6.00006e+06   ,-5.94749e+06   ,-              ,-              ,takeProfit     ,286396         
leave     ,2887      ,105720822539        ,213000         ,-3.96665e+06   ,-3.91408e+06   ,-              ,-              ,takeProfit     ,190931         
leave     ,2887      ,110424677583        ,213500         ,-1.92846e+06   ,-1.87589e+06   ,-              ,-              ,takeProfit     ,95465.4        
leave     ,2887      ,110904281822        ,214000         ,114496         ,167064         ,-              ,-              ,takeProfit     ,0              
