Action    ,Symbol    ,Time                ,Price          ,Cash           ,SymbolCash     ,SignalType     ,EnterCause     ,LeaveCause     ,RemainingQty   ,GroupInfo
enter     ,6903      ,93320393254         ,2285000        ,-1e+07         ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,43668.1        ,廠務(G2/M1/R1)
enter     ,5328      ,93352515601         ,213500         ,-2e+07         ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,468384         ,被動元件(G3/M1/R1)
leave     ,5328      ,93822583752         ,215000         ,-1.79859e+07   ,-7.98595e+06   ,-              ,-              ,takeProfit     ,374707         
leave     ,5328      ,93822583752         ,215500         ,-1.59672e+07   ,-5.96721e+06   ,-              ,-              ,takeProfit     ,281030         
leave     ,5328      ,93837011011         ,216000         ,-1.39438e+07   ,-3.94379e+06   ,-              ,-              ,takeProfit     ,187354         
leave     ,5328      ,93944131364         ,216500         ,-1.19157e+07   ,-1.91569e+06   ,-              ,-              ,takeProfit     ,93676.8        
leave     ,5328      ,94220599061         ,217000         ,-9.8829e+06    ,117096         ,-              ,-              ,takeProfit     ,0              
leave     ,6903      ,94537395755         ,2335000        ,-7.8436e+06    ,-7.9607e+06    ,-              ,-              ,takeProfit     ,34934.5        
leave     ,6903      ,94543318281         ,2340000        ,-5.79993e+06   ,-5.91703e+06   ,-              ,-              ,takeProfit     ,26200.9        
leave     ,6903      ,94548143265         ,2345000        ,-3.7519e+06    ,-3.869e+06     ,-              ,-              ,takeProfit     ,17467.2        
leave     ,6903      ,94548185563         ,2350000        ,-1.6995e+06    ,-1.81659e+06   ,-              ,-              ,takeProfit     ,8733.62        
leave     ,6903      ,94548578485         ,2355000        ,357271         ,240175         ,-              ,-              ,takeProfit     ,0              
enter     ,2495      ,121615272729        ,303500         ,-9.64273e+06   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,329489         ,記憶體(G1/M1/R2)
leave     ,2495      ,132001619688        ,303500         ,357271         ,0              ,-              ,-              ,timeExit       ,0              
