Action    ,Symbol    ,Time                ,Price          ,Cash           ,SymbolCash     ,SignalType     ,EnterCause     ,LeaveCause     ,RemainingQty   ,GroupInfo
enter     ,1815      ,92452821864         ,905000         ,-1e+07         ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,110497         ,玻纖布(G4/M1/R1)
enter     ,4916      ,92605162148         ,619000         ,-2e+07         ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,161551         ,軍工(G5/M1/R1)
leave     ,1815      ,93724635122         ,893000         ,-1.01326e+07   ,-132597        ,-              ,-              ,stopLoss       ,0              
enter     ,6274      ,94442301402         ,4860000        ,-2.01326e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,20555          ,PCB上游(G1/M1/R1)
leave     ,4916      ,94639003136         ,610000         ,-1.0278e+07    ,-145396        ,-              ,-              ,stopLoss       ,0              
leave     ,6274      ,95312617481         ,4790000        ,-432155        ,-154162        ,-              ,-              ,stopLoss       ,0              
enter     ,6274      ,100200996111        ,4860000        ,-1.04322e+07   ,-1.01542e+07   ,SignalA        ,StrongGroup    ,-              ,20576.1        ,PCB上游(G1/M1/R1)
enter     ,6442      ,100325628787        ,12350000       ,-2.04322e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,8097.17        ,CPO(G15/M1/R2)
leave     ,6442      ,100632740993        ,12400000       ,-1.84241e+07   ,-7.9919e+06    ,-              ,-              ,takeProfit     ,6477.73        
leave     ,6274      ,101052604835        ,4895000        ,-1.64097e+07   ,-8.13976e+06   ,-              ,-              ,takeProfit     ,16460.9        
leave     ,6274      ,101052864213        ,4900000        ,-1.43932e+07   ,-6.1233e+06    ,-              ,-              ,takeProfit     ,12345.7        
leave     ,6442      ,101104131424        ,12450000       ,-1.2377e+07    ,-5.97571e+06   ,-              ,-              ,takeProfit     ,4858.3         
leave     ,6442      ,101257626152        ,12500000       ,-1.03527e+07   ,-3.95142e+06   ,-              ,-              ,takeProfit     ,3238.87        
leave     ,6442      ,101341610479        ,12550000       ,-8.32032e+06   ,-1.91903e+06   ,-              ,-              ,takeProfit     ,1619.43        
leave     ,6442      ,101355542051        ,12600000       ,-6.27983e+06   ,121457         ,-              ,-              ,takeProfit     ,0              
enter     ,6176      ,103811583918        ,1320000        ,-1.62798e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,75757.6        ,光電(G8/M1/R1)
leave     ,6274      ,110338981463        ,4905000        ,-1.42613e+07   ,-4.10478e+06   ,-              ,-              ,takeProfit     ,8230.45        
leave     ,6274      ,110339058616        ,4910000        ,-1.22407e+07   ,-2.0842e+06    ,-              ,-              ,takeProfit     ,4115.23        
leave     ,6274      ,110349348898        ,4915000        ,-1.02181e+07   ,-61569.8       ,-              ,-              ,takeProfit     ,0              
leave     ,6176      ,132001269310        ,1310000        ,-331741        ,-113636        ,-              ,-              ,timeExit       ,0              
