Action    ,Symbol    ,Time                ,Price          ,Cash           ,SymbolCash     ,SignalType     ,EnterCause     ,LeaveCause     ,RemainingQty   ,GroupInfo
enter     ,3105      ,92020161743         ,1925000        ,-1e+07         ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,51948.1        ,砷化鎵(G12/M1/R1)
leave     ,3105      ,92020191160         ,1925000        ,-8e+06         ,-8e+06         ,-              ,-              ,takeProfit     ,41558.4        
leave     ,3105      ,92020267470         ,1930000        ,-5.99481e+06   ,-5.99481e+06   ,-              ,-              ,takeProfit     ,31168.8        
enter     ,1815      ,92327052652         ,958000         ,-1.59948e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,104384         ,玻纖布(G2/M1/R1)
enter     ,3167      ,92335092392         ,2365000        ,-2.59948e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,42283.3        ,鑽孔(G1/M1/R1)
leave     ,3167      ,92429171010         ,2380000        ,-2.39821e+07   ,-7.98732e+06   ,-              ,-              ,takeProfit     ,33826.6        
leave     ,3167      ,92431226544         ,2385000        ,-2.19652e+07   ,-5.9704e+06    ,-              ,-              ,takeProfit     ,25370          
leave     ,3167      ,92431370069         ,2390000        ,-1.99441e+07   ,-3.94926e+06   ,-              ,-              ,takeProfit     ,16913.3        
leave     ,3167      ,92431820330         ,2395000        ,-1.79187e+07   ,-1.92389e+06   ,-              ,-              ,takeProfit     ,8456.66        
leave     ,3167      ,92432041922         ,2400000        ,-1.58891e+07   ,105708         ,-              ,-              ,takeProfit     ,0              
leave     ,3105      ,92602898421         ,1935000        ,-1.38787e+07   ,-3.98442e+06   ,-              ,-              ,takeProfit     ,20779.2        
leave     ,3105      ,92830002604         ,1940000        ,-1.18631e+07   ,-1.96883e+06   ,-              ,-              ,takeProfit     ,10389.6        
leave     ,3105      ,92841569305         ,1945000        ,-9.84234e+06   ,51948.1        ,-              ,-              ,takeProfit     ,0              
enter     ,6510      ,93221153861         ,23600000       ,-1.98423e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,4237.29        ,探針卡(G1/M1/R3)
leave     ,6510      ,93319795690         ,23750000       ,-1.78296e+07   ,-7.98729e+06   ,-              ,-              ,takeProfit     ,3389.83        
leave     ,6510      ,93319844275         ,23800000       ,-1.58127e+07   ,-5.97034e+06   ,-              ,-              ,takeProfit     ,2542.37        
leave     ,6510      ,93329807453         ,23850000       ,-1.37915e+07   ,-3.94915e+06   ,-              ,-              ,takeProfit     ,1694.92        
leave     ,6510      ,93339370486         ,23900000       ,-1.17661e+07   ,-1.92373e+06   ,-              ,-              ,takeProfit     ,847.458        
leave     ,6510      ,93344105654         ,23950000       ,-9.73641e+06   ,105932         ,-              ,-              ,takeProfit     ,0              
leave     ,1815      ,93406398595         ,945000         ,127889         ,-135699        ,-              ,-              ,stopLoss       ,0              
enter     ,8103      ,93612533400         ,872000         ,-9.87211e+06   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,114679         ,連接線材(G11/M1/R1)
enter     ,3167      ,100355577184        ,2385000        ,-1.98721e+07   ,-9.89429e+06   ,SignalA        ,StrongGroup    ,-              ,41928.7        ,鑽孔(G1/M1/R1)
leave     ,3167      ,101015312244        ,2415000        ,-1.7847e+07    ,-7.86913e+06   ,-              ,-              ,takeProfit     ,33543          
enter     ,5536      ,102639199295        ,7930000        ,-2.7847e+07    ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,12594.5        ,廠務(G12/M1/R1)
leave     ,5536      ,110312940320        ,8010000        ,-2.58293e+07   ,-7.98237e+06   ,-              ,-              ,takeProfit     ,10075.6        
leave     ,5536      ,110313003252        ,8020000        ,-2.38092e+07   ,-5.96222e+06   ,-              ,-              ,takeProfit     ,7556.68        
leave     ,5536      ,110313179866        ,8030000        ,-2.17865e+07   ,-3.93955e+06   ,-              ,-              ,takeProfit     ,5037.78        
leave     ,8103      ,112711110436        ,878000         ,-1.97727e+07   ,-7.98624e+06   ,-              ,-              ,takeProfit     ,91743.1        
leave     ,8103      ,112733731737        ,879000         ,-1.77567e+07   ,-5.97018e+06   ,-              ,-              ,takeProfit     ,68807.3        
leave     ,8103      ,113623377713        ,880000         ,-1.57383e+07   ,-3.95183e+06   ,-              ,-              ,takeProfit     ,45871.6        
leave     ,8103      ,115344763161        ,881000         ,-1.37177e+07   ,-1.93119e+06   ,-              ,-              ,takeProfit     ,22935.8        
leave     ,8103      ,115344790624        ,882000         ,-1.16948e+07   ,91743.1        ,-              ,-              ,takeProfit     ,0              
leave     ,3167      ,132000958715        ,2385000        ,-3.71153e+06   ,114094         ,-              ,-              ,timeExit       ,0              
leave     ,5536      ,132005657709        ,7870000        ,248169         ,20151.1        ,-              ,-              ,timeExit       ,0              
