Action    ,Symbol    ,Time                ,Price          ,Cash           ,SymbolCash     ,SignalType     ,EnterCause     ,LeaveCause     ,RemainingQty   ,GroupInfo
enter     ,1303      ,94805274176         ,593000         ,-1e+07         ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,168634         ,塑膠(G9/M1/R1)
leave     ,1303      ,94838581197         ,594000         ,-7.99663e+06   ,-7.99663e+06   ,-              ,-              ,takeProfit     ,134907         
leave     ,1303      ,95006553175         ,595000         ,-5.98988e+06   ,-5.98988e+06   ,-              ,-              ,takeProfit     ,101180         
enter     ,3680      ,95226108336         ,3455000        ,-1.59899e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,28901.7        ,半導體設備(G3/M1/R2)
leave     ,1303      ,95902089349         ,596000         ,-1.39798e+07   ,-3.97976e+06   ,-              ,-              ,takeProfit     ,67453.6        
leave     ,1303      ,95903020559         ,597000         ,-1.19663e+07   ,-1.96627e+06   ,-              ,-              ,takeProfit     ,33726.8        
leave     ,1303      ,95915316315         ,598000         ,-9.94941e+06   ,50590.2        ,-              ,-              ,takeProfit     ,0              
enter     ,2493      ,103217282566        ,1185000        ,-1.99494e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,84388.2        ,PCB 設備(G9/M1/R1)
leave     ,2493      ,103833888696        ,1165000        ,-1.01182e+07   ,-168776        ,-              ,-              ,stopLoss       ,0              
enter     ,6789      ,114845620842        ,2885000        ,-2.01182e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,34662          ,IC設計(G7/M1/R2)
leave     ,3680      ,125746718241        ,3405000        ,-1.02771e+07   ,-158960        ,-              ,-              ,stopLoss       ,0              
leave     ,6789      ,132030172761        ,2860000        ,-363801        ,-86655.1       ,-              ,-              ,timeExit       ,0              
