Action    ,Symbol    ,Time                ,Price          ,Cash           ,SymbolCash     ,SignalType     ,EnterCause     ,LeaveCause     ,RemainingQty   ,GroupInfo
enter     ,3624      ,92012889278         ,545000         ,-1e+07         ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,183486         ,被動元件(G3/M1/R1)
enter     ,2451      ,92055016776         ,1945000        ,-2e+07         ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,51413.9        ,記憶體(G1/M1/R2)
enter     ,6257      ,92324382859         ,1155000        ,-3e+07         ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,86580.1        ,IC封測(G2/M1/R1)
leave     ,2451      ,92357969607         ,1915000        ,-2.01542e+07   ,-154242        ,-              ,-              ,stopLoss       ,0              
leave     ,3624      ,93133001484         ,537000         ,-1.0301e+07    ,-146789        ,-              ,-              ,stopLoss       ,0              
enter     ,6442      ,93614093892         ,13200000       ,-2.0301e+07    ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,7575.76        ,CPO(G7/M1/R1)
leave     ,6442      ,93726233405         ,13200000       ,-1.8301e+07    ,-8e+06         ,-              ,-              ,takeProfit     ,6060.61        
enter     ,6282      ,93844875019         ,429500         ,-2.8301e+07    ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,232829         ,電供(G1/M1/R2)
leave     ,6442      ,94053225000         ,13250000       ,-2.62935e+07   ,-5.99242e+06   ,-              ,-              ,takeProfit     ,4545.45        
leave     ,6442      ,94118888639         ,13300000       ,-2.42783e+07   ,-3.97727e+06   ,-              ,-              ,takeProfit     ,3030.3         
leave     ,6442      ,94211429384         ,13350000       ,-2.22556e+07   ,-1.95455e+06   ,-              ,-              ,takeProfit     ,1515.15        
leave     ,6282      ,94530896298         ,433500         ,-2.02369e+07   ,-7.98137e+06   ,-              ,-              ,takeProfit     ,186263         
leave     ,6282      ,94631651465         ,434000         ,-1.8216e+07    ,-5.96042e+06   ,-              ,-              ,takeProfit     ,139697         
leave     ,6282      ,94637586569         ,434500         ,-1.61927e+07   ,-3.93714e+06   ,-              ,-              ,takeProfit     ,93131.5        
leave     ,6282      ,94637638101         ,435000         ,-1.41671e+07   ,-1.91153e+06   ,-              ,-              ,takeProfit     ,46565.8        
leave     ,6282      ,94650902605         ,435500         ,-1.21392e+07   ,116414         ,-              ,-              ,takeProfit     ,0              
leave     ,6442      ,95022763105         ,13400000       ,-1.01089e+07   ,75757.6        ,-              ,-              ,takeProfit     ,0              
leave     ,6257      ,101231526347        ,1135000        ,-282019        ,-173160        ,-              ,-              ,stopLoss       ,0              
enter     ,6282      ,103222778061        ,431500         ,-1.0282e+07    ,-9.88359e+06   ,SignalA        ,StrongGroup    ,-              ,231750         ,電供(G1/M1/R2)
leave     ,6282      ,104009165562        ,435500         ,-8.26348e+06   ,-7.86505e+06   ,-              ,-              ,takeProfit     ,185400         
leave     ,6282      ,104009177719        ,436000         ,-6.24262e+06   ,-5.84419e+06   ,-              ,-              ,takeProfit     ,139050         
leave     ,6282      ,104314392938        ,436500         ,-4.21945e+06   ,-3.82101e+06   ,-              ,-              ,takeProfit     ,92699.9        
leave     ,6282      ,104314432441        ,437000         ,-2.19395e+06   ,-1.79552e+06   ,-              ,-              ,takeProfit     ,46349.9        
leave     ,6282      ,104314511120        ,437500         ,-166144        ,232289         ,-              ,-              ,takeProfit     ,0              
