Action    ,Symbol    ,Time                ,Price          ,Cash           ,SymbolCash     ,SignalType     ,EnterCause     ,LeaveCause     ,RemainingQty   ,GroupInfo
enter     ,3189      ,92043413349         ,1545000        ,-1e+07         ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,64724.9        ,ABF(G4/M1/R1)
leave     ,3189      ,92043968168         ,1545000        ,-8e+06         ,-8e+06         ,-              ,-              ,takeProfit     ,51779.9        
leave     ,3189      ,92051705582         ,1550000        ,-5.99353e+06   ,-5.99353e+06   ,-              ,-              ,takeProfit     ,38835          
leave     ,3189      ,92100613378         ,1555000        ,-3.98058e+06   ,-3.98058e+06   ,-              ,-              ,takeProfit     ,25890          
leave     ,3189      ,92745271824         ,1560000        ,-1.96117e+06   ,-1.96117e+06   ,-              ,-              ,takeProfit     ,12945          
leave     ,3189      ,92748220256         ,1565000        ,64724.9        ,64724.9        ,-              ,-              ,takeProfit     ,0              
enter     ,4772      ,93359311079         ,3185000        ,-9.93528e+06   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,31397.2        ,特化(G2/M1/R1)
leave     ,4772      ,95522199667         ,3140000        ,-76562.4       ,-141287        ,-              ,-              ,stopLoss       ,0              
enter     ,3090      ,100854456782        ,960000         ,-1.00766e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,104167         ,被動元件(G16/M1/R1)
enter     ,2467      ,102034424785        ,2545000        ,-2.00766e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,39215.7        ,半導體設備(G7/M1/R1)
leave     ,2467      ,102205887314        ,2565000        ,-1.80648e+07   ,-7.98824e+06   ,-              ,-              ,takeProfit     ,31372.5        
leave     ,2467      ,102409526634        ,2570000        ,-1.60491e+07   ,-5.97255e+06   ,-              ,-              ,takeProfit     ,23529.4        
leave     ,2467      ,102409603844        ,2575000        ,-1.40295e+07   ,-3.95294e+06   ,-              ,-              ,takeProfit     ,15686.3        
leave     ,2467      ,102409636735        ,2580000        ,-1.2006e+07    ,-1.92941e+06   ,-              ,-              ,takeProfit     ,7843.14        
leave     ,2467      ,103141515595        ,2585000        ,-9.97852e+06   ,98039.2        ,-              ,-              ,takeProfit     ,0              
leave     ,3090      ,110750314518        ,966000         ,-7.96602e+06   ,-7.9875e+06    ,-              ,-              ,takeProfit     ,83333.3        
leave     ,3090      ,110757346568        ,967000         ,-5.95144e+06   ,-5.97292e+06   ,-              ,-              ,takeProfit     ,62500          
leave     ,3090      ,111556886384        ,968000         ,-3.93477e+06   ,-3.95625e+06   ,-              ,-              ,takeProfit     ,41666.7        
leave     ,3090      ,111606395863        ,969000         ,-1.91602e+06   ,-1.9375e+06    ,-              ,-              ,takeProfit     ,20833.3        
leave     ,3090      ,111639924156        ,970000         ,104810         ,83333.3        ,-              ,-              ,takeProfit     ,0              
