Action    ,Symbol    ,Time                ,Price          ,Cash           ,SymbolCash     ,SignalType     ,EnterCause     ,LeaveCause     ,RemainingQty   ,GroupInfo
enter     ,8028      ,93822817484         ,1940000        ,-1e+07         ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,51546.4        ,再生晶圓(G1/M2/R2)
leave     ,8028      ,94256795781         ,1950000        ,-7.98969e+06   ,-7.98969e+06   ,-              ,-              ,takeProfit     ,41237.1        
leave     ,8028      ,94402295163         ,1955000        ,-5.97423e+06   ,-5.97423e+06   ,-              ,-              ,takeProfit     ,30927.8        
leave     ,8028      ,94402295635         ,1960000        ,-3.95361e+06   ,-3.95361e+06   ,-              ,-              ,takeProfit     ,20618.6        
leave     ,8028      ,94434990692         ,1965000        ,-1.92784e+06   ,-1.92784e+06   ,-              ,-              ,takeProfit     ,10309.3        
leave     ,8028      ,94623674699         ,1970000        ,103093         ,103093         ,-              ,-              ,takeProfit     ,0              
enter     ,8028      ,104636099995        ,1970000        ,-2.01856e+07   ,-9.89691e+06   ,SignalA        ,StrongGroup    ,-              ,50761.4        ,再生晶圓(G1/M2/R2)
leave     ,8028      ,105257742577        ,2020000        ,-1.81348e+07   ,-7.84615e+06   ,-              ,-              ,takeProfit     ,40609.1        
leave     ,8028      ,105257765770        ,2025000        ,-1.6079e+07    ,-5.79031e+06   ,-              ,-              ,takeProfit     ,30456.9        
leave     ,8028      ,105333992808        ,2030000        ,-1.40181e+07   ,-3.72939e+06   ,-              ,-              ,takeProfit     ,20304.6        
leave     ,8028      ,105336850220        ,2035000        ,-1.19521e+07   ,-1.6634e+06    ,-              ,-              ,takeProfit     ,10152.3        
leave     ,8028      ,105336883463        ,2040000        ,-9.88103e+06   ,407661         ,-              ,-              ,takeProfit     ,0              
