Action    ,Symbol    ,Time                ,Price          ,Cash           ,SymbolCash     ,SignalType     ,EnterCause     ,LeaveCause     ,RemainingQty   ,GroupInfo
enter     ,8028      ,93822817484         ,1940000        ,-1e+07         ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,51546.4        ,再生晶圓(G1/M2/R2)
leave     ,8028      ,94256795781         ,1950000        ,-7.98969e+06   ,-7.98969e+06   ,-              ,-              ,takeProfit     ,41237.1        
leave     ,8028      ,94402295163         ,1955000        ,-5.97423e+06   ,-5.97423e+06   ,-              ,-              ,takeProfit     ,30927.8        
leave     ,8028      ,94402295635         ,1960000        ,-3.95361e+06   ,-3.95361e+06   ,-              ,-              ,takeProfit     ,20618.6        
leave     ,8028      ,94434990692         ,1965000        ,-1.92784e+06   ,-1.92784e+06   ,-              ,-              ,takeProfit     ,10309.3        
leave     ,8028      ,94623674699         ,1970000        ,103093         ,103093         ,-              ,-              ,takeProfit     ,0              
enter     ,2345      ,95106215046         ,11950000       ,-9.89691e+06   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,8368.2         ,網路通訊(G9/M1/R2)
leave     ,2345      ,95106812242         ,11950000       ,-7.89691e+06   ,-8e+06         ,-              ,-              ,takeProfit     ,6694.56        
leave     ,2345      ,100454389006        ,11750000       ,-30798.4       ,-133891        ,-              ,-              ,stopLoss       ,0              
enter     ,6139      ,101412998996        ,6000000        ,-1.00308e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,16666.7        ,廠務(G5/M1/R1)
enter     ,3236      ,102011281248        ,323000         ,-2.00308e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,309598         ,被動元件(G3/M1/R5)
leave     ,3236      ,103700365334        ,318000         ,-1.01856e+07   ,-154799        ,-              ,-              ,stopLoss       ,0              
enter     ,8028      ,104636099995        ,1970000        ,-2.01856e+07   ,-9.89691e+06   ,SignalA        ,StrongGroup    ,-              ,50761.4        ,再生晶圓(G1/M2/R2)
leave     ,8028      ,105257742577        ,2020000        ,-1.81348e+07   ,-7.84615e+06   ,-              ,-              ,takeProfit     ,40609.1        
leave     ,8028      ,105257765770        ,2025000        ,-1.6079e+07    ,-5.79031e+06   ,-              ,-              ,takeProfit     ,30456.9        
leave     ,8028      ,105333992808        ,2030000        ,-1.40181e+07   ,-3.72939e+06   ,-              ,-              ,takeProfit     ,20304.6        
leave     ,8028      ,105336850220        ,2035000        ,-1.19521e+07   ,-1.6634e+06    ,-              ,-              ,takeProfit     ,10152.3        
leave     ,8028      ,105336883463        ,2040000        ,-9.88103e+06   ,407661         ,-              ,-              ,takeProfit     ,0              
leave     ,6139      ,132001085476        ,5960000        ,52304.7        ,-66666.7       ,-              ,-              ,timeExit       ,0              
