Action    ,Symbol    ,Time                ,Price          ,Cash           ,SymbolCash     ,SignalType     ,EnterCause     ,LeaveCause     ,RemainingQty   ,GroupInfo
enter     ,2360      ,92206163486         ,8580000        ,-1e+07         ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,11655          ,設備儀器商(G3/M1/R1)
enter     ,3376      ,95140721858         ,2155000        ,-2e+07         ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,46403.7        ,軸承(G2/M1/R1)
leave     ,3376      ,100519558966        ,2125000        ,-1.01392e+07   ,-139211        ,-              ,-              ,stopLoss       ,0              
enter     ,8103      ,101512113940        ,926000         ,-2.01392e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,107875         ,連接線材(G3/M1/R2)
leave     ,8103      ,102132988544        ,937000         ,-1.81176e+07   ,-7.97843e+06   ,-              ,-              ,takeProfit     ,86299.9        
leave     ,8103      ,102300931294        ,938000         ,-1.60939e+07   ,-5.95469e+06   ,-              ,-              ,takeProfit     ,64724.9        
leave     ,8103      ,102307986544        ,939000         ,-1.4068e+07    ,-3.9288e+06    ,-              ,-              ,takeProfit     ,43149.9        
leave     ,8103      ,103136223890        ,940000         ,-1.204e+07     ,-1.90076e+06   ,-              ,-              ,takeProfit     ,21575          
leave     ,8103      ,103136299418        ,941000         ,-1.00098e+07   ,129450         ,-              ,-              ,takeProfit     ,0              
enter     ,1303      ,114400354087        ,584000         ,-2.00098e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,171233         ,塑膠(G2/M1/R1)
enter     ,8103      ,115947563594        ,933000         ,-3.00098e+07   ,-9.87055e+06   ,SignalA        ,StrongGroup    ,-              ,107181         ,連接線材(G3/M1/R2)
leave     ,8103      ,124226416671        ,920000         ,-2.01491e+07   ,-9885.64       ,-              ,-              ,stopLoss       ,0              
leave     ,1303      ,132000404999        ,588000         ,-1.00806e+07   ,68493.2        ,-              ,-              ,timeExit       ,0              
leave     ,2360      ,132007958940        ,8580000        ,-92258.6       ,-11655         ,-              ,-              ,timeExit       ,0              
