Action    ,Symbol    ,Time                ,Price          ,Cash           ,SymbolCash     ,SignalType     ,EnterCause     ,LeaveCause     ,RemainingQty   ,GroupInfo
enter     ,2495      ,92240212493         ,324000         ,-1e+07         ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,308642         ,記憶體(G7/M1/R3)
leave     ,2495      ,92253757878         ,326000         ,-7.98765e+06   ,-7.98765e+06   ,-              ,-              ,takeProfit     ,246914         
leave     ,2495      ,92301751499         ,326500         ,-5.97222e+06   ,-5.97222e+06   ,-              ,-              ,takeProfit     ,185185         
enter     ,2455      ,92348572057         ,1540000        ,-1.59722e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,64935.1        ,砷化鎵(G8/M1/R1)
leave     ,2455      ,92454082655         ,1545000        ,-1.39657e+07   ,-7.99351e+06   ,-              ,-              ,takeProfit     ,51948.1        
leave     ,2455      ,92455936956         ,1550000        ,-1.19527e+07   ,-5.98052e+06   ,-              ,-              ,takeProfit     ,38961          
leave     ,2455      ,92456635587         ,1555000        ,-9.93326e+06   ,-3.96104e+06   ,-              ,-              ,takeProfit     ,25974          
enter     ,1605      ,92518264437         ,383000         ,-1.99333e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,261097         ,電線電纜(G2/M1/R1)
leave     ,2495      ,92614246157         ,327000         ,-1.79147e+07   ,-3.9537e+06    ,-              ,-              ,takeProfit     ,123457         
leave     ,2495      ,92705798690         ,327500         ,-1.58931e+07   ,-1.9321e+06    ,-              ,-              ,takeProfit     ,61728.4        
leave     ,2495      ,92705798690         ,328000         ,-1.38684e+07   ,92592.6        ,-              ,-              ,takeProfit     ,0              
leave     ,2455      ,92848591641         ,1560000        ,-1.18425e+07   ,-1.93506e+06   ,-              ,-              ,takeProfit     ,12987          
enter     ,2303      ,93250993031         ,528000         ,-2.18425e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,189394         ,專業IC代工(G1/M1/R1)
leave     ,2455      ,93512714929         ,1565000        ,-1.981e+07     ,97402.6        ,-              ,-              ,takeProfit     ,0              
enter     ,2485      ,94209633732         ,259000         ,-2.981e+07     ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,386100         ,低軌衛星(G14/M1/R2)
enter     ,6104      ,94729858370         ,948000         ,-3.981e+07     ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,105374         ,IC設計(G16/M1/R1)
leave     ,2303      ,95419106798         ,535000         ,-3.77835e+07   ,-7.97348e+06   ,-              ,-              ,takeProfit     ,151515         
leave     ,2303      ,95847098925         ,536000         ,-3.57532e+07   ,-5.94318e+06   ,-              ,-              ,takeProfit     ,113636         
leave     ,2303      ,100120971506        ,537000         ,-3.37191e+07   ,-3.90909e+06   ,-              ,-              ,takeProfit     ,75757.6        
leave     ,2303      ,100127588635        ,538000         ,-3.16812e+07   ,-1.87121e+06   ,-              ,-              ,takeProfit     ,37878.8        
leave     ,2303      ,100144951485        ,539000         ,-2.96396e+07   ,170455         ,-              ,-              ,takeProfit     ,0              
leave     ,2485      ,100552328428        ,255500         ,-1.97747e+07   ,-135135        ,-              ,-              ,stopLoss       ,0              
leave     ,1605      ,100600085519        ,386000         ,-1.7759e+07    ,-7.98433e+06   ,-              ,-              ,takeProfit     ,208877         
leave     ,1605      ,100614834417        ,386500         ,-1.57407e+07   ,-5.96606e+06   ,-              ,-              ,takeProfit     ,156658         
leave     ,1605      ,100617447799        ,387000         ,-1.37199e+07   ,-3.94517e+06   ,-              ,-              ,takeProfit     ,104439         
leave     ,1605      ,100622060323        ,387500         ,-1.16964e+07   ,-1.92167e+06   ,-              ,-              ,takeProfit     ,52219.3        
leave     ,6104      ,101435076831        ,954000         ,-9.68582e+06   ,-7.98946e+06   ,-              ,-              ,takeProfit     ,84299.3        
leave     ,6104      ,101439557151        ,955000         ,-7.67317e+06   ,-5.97682e+06   ,-              ,-              ,takeProfit     ,63224.4        
leave     ,6104      ,101443961927        ,956000         ,-5.65842e+06   ,-3.96207e+06   ,-              ,-              ,takeProfit     ,42149.6        
leave     ,6104      ,101446815491        ,957000         ,-3.64156e+06   ,-1.94521e+06   ,-              ,-              ,takeProfit     ,21074.8        
leave     ,6104      ,101448925620        ,958000         ,-1.62259e+06   ,73761.9        ,-              ,-              ,takeProfit     ,0              
enter     ,2455      ,103234291891        ,1575000        ,-1.16226e+07   ,-9.9026e+06    ,SignalA        ,StrongGroup    ,-              ,63492.1        ,砷化鎵(G2/M1/R1)
enter     ,2495      ,103243077362        ,327500         ,-2.16226e+07   ,-9.90741e+06   ,SignalA        ,StrongGroup    ,-              ,305344         ,記憶體(G5/M1/R1)
leave     ,1605      ,103357573343        ,388000         ,-1.95965e+07   ,104439         ,-              ,-              ,takeProfit     ,0              
leave     ,2495      ,103438253676        ,329500         ,-1.75843e+07   ,-7.89519e+06   ,-              ,-              ,takeProfit     ,244275         
leave     ,2495      ,103439723355        ,330000         ,-1.5569e+07    ,-5.87993e+06   ,-              ,-              ,takeProfit     ,183206         
leave     ,2495      ,120037956229        ,330500         ,-1.35507e+07   ,-3.86161e+06   ,-              ,-              ,takeProfit     ,122137         
leave     ,2495      ,120037983721        ,331000         ,-1.15293e+07   ,-1.84023e+06   ,-              ,-              ,takeProfit     ,61068.7        
leave     ,2495      ,120407305410        ,331500         ,-9.50488e+06   ,184196         ,-              ,-              ,takeProfit     ,0              
leave     ,2455      ,122758132409        ,1550000        ,336388         ,-61327.6       ,-              ,-              ,stopLoss       ,0              
