Action    ,Symbol    ,Time                ,Price          ,Cash           ,SymbolCash     ,SignalType     ,EnterCause     ,LeaveCause     ,RemainingQty   ,GroupInfo
enter     ,2495      ,92240212493         ,324000         ,-1e+07         ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,308642         ,記憶體(G7/M1/R3)
leave     ,2495      ,92253757878         ,326000         ,-7.98765e+06   ,-7.98765e+06   ,-              ,-              ,takeProfit     ,246914         
leave     ,2495      ,92301751499         ,326500         ,-5.97222e+06   ,-5.97222e+06   ,-              ,-              ,takeProfit     ,185185         
leave     ,2495      ,92614246157         ,327000         ,-1.79147e+07   ,-3.9537e+06    ,-              ,-              ,takeProfit     ,123457         
leave     ,2495      ,92705798690         ,327500         ,-1.58931e+07   ,-1.9321e+06    ,-              ,-              ,takeProfit     ,61728.4        
leave     ,2495      ,92705798690         ,328000         ,-1.38684e+07   ,92592.6        ,-              ,-              ,takeProfit     ,0              
enter     ,2495      ,103243077362        ,327500         ,-2.16226e+07   ,-9.90741e+06   ,SignalA        ,StrongGroup    ,-              ,305344         ,記憶體(G5/M1/R1)
leave     ,2495      ,103438253676        ,329500         ,-1.75843e+07   ,-7.89519e+06   ,-              ,-              ,takeProfit     ,244275         
leave     ,2495      ,103439723355        ,330000         ,-1.5569e+07    ,-5.87993e+06   ,-              ,-              ,takeProfit     ,183206         
leave     ,2495      ,120037956229        ,330500         ,-1.35507e+07   ,-3.86161e+06   ,-              ,-              ,takeProfit     ,122137         
leave     ,2495      ,120037983721        ,331000         ,-1.15293e+07   ,-1.84023e+06   ,-              ,-              ,takeProfit     ,61068.7        
leave     ,2495      ,120407305410        ,331500         ,-9.50488e+06   ,184196         ,-              ,-              ,takeProfit     ,0              
