Action    ,Symbol    ,Time                ,Price          ,Cash           ,SymbolCash     ,SignalType     ,EnterCause     ,LeaveCause     ,RemainingQty   ,GroupInfo
enter     ,3037      ,92132409206         ,2405000        ,-1e+07         ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,41580          ,ABF(G1/M1/R1)
leave     ,3037      ,92136031659         ,2410000        ,-7.99584e+06   ,-7.99584e+06   ,-              ,-              ,takeProfit     ,33264          
enter     ,5347      ,92745547251         ,1160000        ,-1.79958e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,86206.9        ,專業IC代工(G1/M1/R1)
enter     ,2495      ,93108576801         ,331500         ,-2.79958e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,301659         ,網路通訊(G9/M1/R2)
leave     ,5347      ,93134477498         ,1175000        ,-2.597e+07     ,-7.97414e+06   ,-              ,-              ,takeProfit     ,68965.5        
leave     ,5347      ,93134542210         ,1180000        ,-2.39355e+07   ,-5.93966e+06   ,-              ,-              ,takeProfit     ,51724.1        
enter     ,3693      ,93318384895         ,3730000        ,-3.39355e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,26809.7        ,機殼(G16/M1/R1)
leave     ,2495      ,93404975799         ,333500         ,-3.19234e+07   ,-7.98793e+06   ,-              ,-              ,takeProfit     ,241327         
leave     ,2495      ,93409770182         ,334000         ,-2.99083e+07   ,-5.97285e+06   ,-              ,-              ,takeProfit     ,180995         
leave     ,2495      ,93409804473         ,334500         ,-2.78902e+07   ,-3.95475e+06   ,-              ,-              ,takeProfit     ,120664         
leave     ,2495      ,93443097938         ,335000         ,-2.58691e+07   ,-1.93363e+06   ,-              ,-              ,takeProfit     ,60331.8        
leave     ,3037      ,93516242246         ,2370000        ,-1.79856e+07   ,-112266        ,-              ,-              ,stopLoss       ,0              
leave     ,2495      ,93530920077         ,335500         ,-1.59614e+07   ,90497.7        ,-              ,-              ,takeProfit     ,0              
leave     ,5347      ,93532193135         ,1185000        ,-1.39183e+07   ,-3.89655e+06   ,-              ,-              ,takeProfit     ,34482.8        
leave     ,3693      ,93540547094         ,3680000        ,-4.05237e+06   ,-134048        ,-              ,-              ,stopLoss       ,0              
enter     ,5483      ,93557248006         ,1195000        ,-1.40524e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,83682          ,太陽能(G1/M2/R2)
leave     ,5483      ,93557322621         ,1195000        ,-1.20524e+07   ,-8e+06         ,-              ,-              ,takeProfit     ,66945.6        
leave     ,5483      ,93700285328         ,1200000        ,-1.0044e+07    ,-5.99163e+06   ,-              ,-              ,takeProfit     ,50209.2        
enter     ,3037      ,93727254691         ,2405000        ,-2.0044e+07    ,-1.01123e+07   ,SignalA        ,StrongGroup    ,-              ,41580          ,ABF(G1/M1/R1)
leave     ,3037      ,93750987528         ,2410000        ,-1.80398e+07   ,-8.10811e+06   ,-              ,-              ,takeProfit     ,33264          
enter     ,3167      ,93912949479         ,2290000        ,-2.80398e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,43668.1        ,鑽孔(G7/M1/R2)
leave     ,3037      ,93913646102         ,2415000        ,-2.60315e+07   ,-6.09979e+06   ,-              ,-              ,takeProfit     ,24948          
leave     ,3037      ,93917503102         ,2420000        ,-2.40191e+07   ,-4.08732e+06   ,-              ,-              ,takeProfit     ,16632          
leave     ,5483      ,94010985052         ,1205000        ,-2.20023e+07   ,-3.9749e+06    ,-              ,-              ,takeProfit     ,33472.8        
leave     ,3037      ,94055808205         ,2425000        ,-1.99857e+07   ,-2.07069e+06   ,-              ,-              ,takeProfit     ,8316.01        
leave     ,3037      ,94127579918         ,2430000        ,-1.79649e+07   ,-49896         ,-              ,-              ,takeProfit     ,0              
enter     ,3491      ,94956036036         ,8190000        ,-2.79649e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,12210          ,低軌衛星(G1/M2/R3)
enter     ,6285      ,100247908085        ,1080000        ,-3.79649e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,92592.6        ,低軌衛星(G1/M2/R4)
leave     ,3167      ,100353730783        ,2315000        ,-3.59431e+07   ,-7.97817e+06   ,-              ,-              ,takeProfit     ,34934.5        
leave     ,6285      ,100356826013        ,1085000        ,-3.39338e+07   ,-7.99074e+06   ,-              ,-              ,takeProfit     ,74074.1        
