Action    ,Symbol    ,Time                ,Price          ,Cash           ,SymbolCash     ,SignalType     ,EnterCause     ,LeaveCause     ,RemainingQty   ,GroupInfo
enter     ,3167      ,92916304855         ,2410000        ,-1e+07         ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,41493.8        ,鑽孔(G5/M1/R1)
enter     ,8150      ,92946741751         ,620000         ,-2e+07         ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,161290         ,記憶體(G4/M2/R5)
leave     ,3167      ,92957965463         ,2415000        ,-1.79959e+07   ,-7.99585e+06   ,-              ,-              ,takeProfit     ,33195          
leave     ,3167      ,92958016240         ,2420000        ,-1.59876e+07   ,-5.98755e+06   ,-              ,-              ,takeProfit     ,24896.3        
enter     ,6739      ,93002636455         ,7490000        ,-2.59876e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,13351.1        ,設備儀器商(G5/M2/R3)
leave     ,3167      ,93004599193         ,2425000        ,-2.39751e+07   ,-3.9751e+06    ,-              ,-              ,takeProfit     ,16597.5        
leave     ,3167      ,93004622502         ,2430000        ,-2.19585e+07   ,-1.95851e+06   ,-              ,-              ,takeProfit     ,8298.76        
leave     ,3167      ,93008031151         ,2435000        ,-1.99378e+07   ,62240.7        ,-              ,-              ,takeProfit     ,0              
enter     ,6282      ,93056348739         ,509000         ,-2.99378e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,196464         ,電供(G11/M1/R1)
leave     ,6739      ,93420756864         ,7530000        ,-2.79271e+07   ,-7.98932e+06   ,-              ,-              ,takeProfit     ,10680.9        
leave     ,6739      ,93420801169         ,7540000        ,-2.59137e+07   ,-5.97597e+06   ,-              ,-              ,takeProfit     ,8010.68        
enter     ,3037      ,93457943012         ,2540000        ,-3.59137e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,39370.1        ,ABF(G4/M1/R1)
leave     ,8150      ,93538717886         ,611000         ,-2.60589e+07   ,-145161        ,-              ,-              ,stopLoss       ,0              
