Action    ,Symbol    ,Time                ,Price          ,Cash           ,SymbolCash     ,SignalType     ,EnterCause     ,LeaveCause     ,RemainingQty   ,GroupInfo
enter     ,1519      ,92906795068         ,8550000        ,-1e+07         ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,11695.9        ,重電(G1/M1/R1)
leave     ,1519      ,93050396271         ,8590000        ,-7.99064e+06   ,-7.99064e+06   ,-              ,-              ,takeProfit     ,9356.73        
leave     ,1519      ,93050430877         ,8600000        ,-5.97895e+06   ,-5.97895e+06   ,-              ,-              ,takeProfit     ,7017.54        
leave     ,1519      ,93051201539         ,8610000        ,-3.96491e+06   ,-3.96491e+06   ,-              ,-              ,takeProfit     ,4678.36        
enter     ,2345      ,93230882590         ,12200000       ,-1.39649e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,8196.72        ,網路通訊(G3/M1/R3)
leave     ,1519      ,93306116545         ,8620000        ,-1.19485e+07   ,-1.94854e+06   ,-              ,-              ,takeProfit     ,2339.18        
leave     ,1519      ,93306177624         ,8630000        ,-9.92982e+06   ,70175.4        ,-              ,-              ,takeProfit     ,0              
enter     ,2308      ,94427553922         ,10650000       ,-1.99298e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,9389.67        ,電供(G8/M1/R2)
leave     ,2308      ,94431675010         ,10650000       ,-1.59392e+07   ,-6.00939e+06   ,-              ,-              ,takeProfit     ,5633.8         
leave     ,2345      ,95141836108         ,12200000       ,-1.39392e+07   ,-8e+06         ,-              ,-              ,takeProfit     ,6557.38        
enter     ,1504      ,100325830188        ,874000         ,-2.39392e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,114286         ,重電(G1/M1/R2)
enter     ,6127      ,100451302711        ,416500         ,-3.39392e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,240096         ,被動元件(G1/M1/R4)
enter     ,3402      ,101337214359        ,1460000        ,-4.39392e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,68259.4        ,廠務(G9/M1/R3)
leave     ,3402      ,101441360592        ,1470000        ,-4.19324e+07   ,-7.99317e+06   ,-              ,-              ,takeProfit     ,54607.5        
leave     ,2308      ,101739106682        ,10700000       ,-3.9923e+07    ,-4e+06         ,-              ,-              ,takeProfit     ,3755.87        
leave     ,3402      ,102444062806        ,1475000        ,-3.79093e+07   ,-5.97952e+06   ,-              ,-              ,takeProfit     ,40955.6        
leave     ,3402      ,102444137740        ,1480000        ,-3.58889e+07   ,-3.95904e+06   ,-              ,-              ,takeProfit     ,27303.8        
leave     ,3402      ,102510850730        ,1485000        ,-3.38616e+07   ,-1.93174e+06   ,-              ,-              ,takeProfit     ,13651.9        
leave     ,3402      ,102536206475        ,1490000        ,-3.18274e+07   ,102389         ,-              ,-              ,takeProfit     ,0              
leave     ,6127      ,103425679438        ,411000         ,-2.19595e+07   ,-132053        ,-              ,-              ,stopLoss       ,0              
leave     ,2345      ,104012235317        ,12000000       ,-1.40906e+07   ,-131148        ,-              ,-              ,stopLoss       ,0              
leave     ,1504      ,114546949078        ,896000         ,-1.20426e+07   ,-7.952e+06     ,-              ,-              ,takeProfit     ,91428.6        
leave     ,1504      ,114553467775        ,897000         ,-9.99235e+06   ,-5.90171e+06   ,-              ,-              ,takeProfit     ,68571.4        
leave     ,1504      ,114553501376        ,898000         ,-7.93978e+06   ,-3.84914e+06   ,-              ,-              ,takeProfit     ,45714.3        
leave     ,1504      ,114555204599        ,899000         ,-5.88492e+06   ,-1.79429e+06   ,-              ,-              ,takeProfit     ,22857.1        
leave     ,1504      ,114612140693        ,900000         ,-3.82778e+06   ,262857         ,-              ,-              ,takeProfit     ,0              
enter     ,3707      ,121840505573        ,582000         ,-1.38278e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,171821         ,矽晶圓指標(G2/M1/R4)
leave     ,2308      ,132000014052        ,10600000       ,-9.86534e+06   ,-37558.7       ,-              ,-              ,timeExit       ,0              
leave     ,3707      ,132002705610        ,576000         ,14387.7        ,-120275        ,-              ,-              ,timeExit       ,0              
