Action    ,Symbol    ,Time                ,Price          ,Cash           ,SymbolCash     ,SignalType     ,EnterCause     ,LeaveCause     ,RemainingQty   ,GroupInfo
enter     ,3443      ,92035191891         ,25050000       ,-1e+07         ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,3992.02        ,設計IP(G6/M1/R1)
leave     ,3443      ,92035192494         ,25050000       ,-8e+06         ,-8e+06         ,-              ,-              ,takeProfit     ,3193.61        
leave     ,3443      ,92040512686         ,25100000       ,-5.99601e+06   ,-5.99601e+06   ,-              ,-              ,takeProfit     ,2395.21        
leave     ,3443      ,92052856442         ,25150000       ,-3.98802e+06   ,-3.98802e+06   ,-              ,-              ,takeProfit     ,1596.81        
enter     ,3189      ,92144903009         ,1755000        ,-1.3988e+07    ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,56980.1        ,ABF(G9/M1/R1)
leave     ,3443      ,92146625404         ,25200000       ,-1.1976e+07    ,-1.97605e+06   ,-              ,-              ,takeProfit     ,798.403        
leave     ,3443      ,92202420592         ,25250000       ,-9.96008e+06   ,39920.2        ,-              ,-              ,takeProfit     ,0              
leave     ,3189      ,92220349495         ,1765000        ,-7.94868e+06   ,-7.9886e+06    ,-              ,-              ,takeProfit     ,45584          
leave     ,3189      ,92423524658         ,1770000        ,-5.93159e+06   ,-5.97151e+06   ,-              ,-              ,takeProfit     ,34188          
leave     ,3189      ,92424820832         ,1775000        ,-3.9088e+06    ,-3.94872e+06   ,-              ,-              ,takeProfit     ,22792          
leave     ,3189      ,92434963028         ,1780000        ,-1.88031e+06   ,-1.92023e+06   ,-              ,-              ,takeProfit     ,11396          
enter     ,2455      ,92549524061         ,1660000        ,-1.18803e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,60241          ,砷化鎵(G7/M1/R1)
leave     ,2455      ,92549642708         ,1660000        ,-9.88031e+06   ,-8e+06         ,-              ,-              ,takeProfit     ,48192.8        
leave     ,2455      ,92550374227         ,1665000        ,-7.87428e+06   ,-5.99398e+06   ,-              ,-              ,takeProfit     ,36144.6        
leave     ,2455      ,92602827145         ,1670000        ,-5.86224e+06   ,-3.98193e+06   ,-              ,-              ,takeProfit     ,24096.4        
leave     ,3189      ,92719727331         ,1785000        ,-3.82805e+06   ,113960         ,-              ,-              ,takeProfit     ,0              
leave     ,2455      ,93107821041         ,1635000        ,111712         ,-42168.7       ,-              ,-              ,stopLoss       ,0              
enter     ,2313      ,93132049883         ,1410000        ,-9.88829e+06   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,70922          ,低軌衛星(G1/M1/R2)
enter     ,1605      ,93717633370         ,419000         ,-1.98883e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,238663         ,不鏽鋼(G4/M2/R2)
enter     ,8021      ,93926380065         ,2205000        ,-2.98883e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,45351.5        ,PCB上游(G2/M2/R4)
leave     ,8021      ,94013026126         ,2210000        ,-2.78838e+07   ,-7.99546e+06   ,-              ,-              ,takeProfit     ,36281.2        
leave     ,1605      ,94358426117         ,422500         ,-2.5867e+07    ,-7.98329e+06   ,-              ,-              ,takeProfit     ,190931         
leave     ,1605      ,94405969652         ,423000         ,-2.3848e+07    ,-5.9642e+06    ,-              ,-              ,takeProfit     ,143198         
leave     ,1605      ,94524360574         ,423500         ,-2.18265e+07   ,-3.94272e+06   ,-              ,-              ,takeProfit     ,95465.4        
leave     ,1605      ,94526728116         ,424000         ,-1.98026e+07   ,-1.91885e+06   ,-              ,-              ,takeProfit     ,47732.7        
leave     ,1605      ,94532324343         ,424500         ,-1.77764e+07   ,107399         ,-              ,-              ,takeProfit     ,0              
leave     ,8021      ,95001951370         ,2215000        ,-1.57673e+07   ,-5.98639e+06   ,-              ,-              ,takeProfit     ,27210.9        
leave     ,8021      ,95001979547         ,2220000        ,-1.37537e+07   ,-3.97279e+06   ,-              ,-              ,takeProfit     ,18140.6        
leave     ,8021      ,95005811205         ,2225000        ,-1.17355e+07   ,-1.95465e+06   ,-              ,-              ,takeProfit     ,9070.29        
leave     ,8021      ,100552192225        ,2170000        ,-9.76728e+06   ,13605.4        ,-              ,-              ,stopLoss       ,0              
enter     ,1802      ,101652561973        ,367000         ,-1.97673e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,272480         ,玻纖布(G1/M1/R2)
leave     ,1802      ,101710140613        ,368500         ,-1.77591e+07   ,-7.99183e+06   ,-              ,-              ,takeProfit     ,217984         
leave     ,1802      ,104647618551        ,361500         ,-9.879e+06     ,-111717        ,-              ,-              ,stopLoss       ,0              
leave     ,2313      ,105325848211        ,1385000        ,-56306         ,-177305        ,-              ,-              ,stopLoss       ,0              
enter     ,1605      ,105638426339        ,423500         ,-1.00563e+07   ,-9.8926e+06    ,SignalA        ,StrongGroup    ,-              ,236128         ,不鏽鋼(G3/M1/R1)
enter     ,1802      ,110700674415        ,367000         ,-2.00563e+07   ,-1.01117e+07   ,SignalA        ,StrongGroup    ,-              ,272480         ,玻纖布(G1/M1/R2)
leave     ,1802      ,111010370478        ,368500         ,-1.80481e+07   ,-8.10354e+06   ,-              ,-              ,takeProfit     ,217984         
leave     ,1802      ,111028246287        ,369000         ,-1.60372e+07   ,-6.09264e+06   ,-              ,-              ,takeProfit     ,163488         
leave     ,1605      ,111300553616        ,432500         ,-1.39947e+07   ,-7.8501e+06    ,-              ,-              ,takeProfit     ,188902         
leave     ,1605      ,111315344011        ,433000         ,-1.19499e+07   ,-5.80523e+06   ,-              ,-              ,takeProfit     ,141677         
leave     ,1605      ,111344280103        ,433500         ,-9.90264e+06   ,-3.75801e+06   ,-              ,-              ,takeProfit     ,94451          
leave     ,1605      ,111349684775        ,434000         ,-7.85305e+06   ,-1.70842e+06   ,-              ,-              ,takeProfit     ,47225.5        
leave     ,1605      ,111402022079        ,434500         ,-5.8011e+06    ,343526         ,-              ,-              ,takeProfit     ,0              
leave     ,1802      ,111718749616        ,369500         ,-3.78748e+06   ,-4.07902e+06   ,-              ,-              ,takeProfit     ,108992         
leave     ,1802      ,111718771674        ,370000         ,-1.77113e+06   ,-2.06267e+06   ,-              ,-              ,takeProfit     ,54495.9        
leave     ,1802      ,111734869061        ,370500         ,247941         ,-43596.7       ,-              ,-              ,takeProfit     ,0              
