Action    ,Symbol    ,Time                ,Price          ,Cash           ,SymbolCash     ,SignalType     ,EnterCause     ,LeaveCause     ,RemainingQty   ,GroupInfo
enter     ,1605      ,93717633370         ,419000         ,-1.98883e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,238663         ,不鏽鋼(G6/M1/R1)
leave     ,1605      ,94358426117         ,422500         ,-1.78716e+07   ,-7.98329e+06   ,-              ,-              ,takeProfit     ,190931         
leave     ,1605      ,94405969652         ,423000         ,-1.58525e+07   ,-5.9642e+06    ,-              ,-              ,takeProfit     ,143198         
leave     ,1605      ,94524360574         ,423500         ,-1.3831e+07    ,-3.94272e+06   ,-              ,-              ,takeProfit     ,95465.4        
leave     ,1605      ,94526728116         ,424000         ,-1.18071e+07   ,-1.91885e+06   ,-              ,-              ,takeProfit     ,47732.7        
leave     ,1605      ,94532324343         ,424500         ,-9.78089e+06   ,107399         ,-              ,-              ,takeProfit     ,0              
enter     ,1605      ,105638426339        ,423500         ,-9.95819e+06   ,-9.8926e+06    ,SignalA        ,StrongGroup    ,-              ,236128         ,不鏽鋼(G3/M1/R1)
leave     ,1605      ,111300553616        ,432500         ,-7.91569e+06   ,-7.8501e+06    ,-              ,-              ,takeProfit     ,188902         
leave     ,1605      ,111315344011        ,433000         ,-5.87083e+06   ,-5.80523e+06   ,-              ,-              ,takeProfit     ,141677         
leave     ,1605      ,111344280103        ,433500         ,-3.8236e+06    ,-3.75801e+06   ,-              ,-              ,takeProfit     ,94451          
leave     ,1605      ,111349684775        ,434000         ,-1.77402e+06   ,-1.70842e+06   ,-              ,-              ,takeProfit     ,47225.5        
leave     ,1605      ,111402022079        ,434500         ,277933         ,343526         ,-              ,-              ,takeProfit     ,0              
