Action    ,Symbol    ,Time                ,Price          ,Cash           ,SymbolCash     ,SignalType     ,EnterCause     ,LeaveCause     ,RemainingQty   ,GroupInfo
enter     ,3701      ,92418156399         ,614000         ,-1e+07         ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,162602         ,CPO(G3/M1/R1)
enter     ,5347      ,92637484679         ,1315000        ,-2e+07         ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,76045.6        ,專業IC代工(G4/M1/R1)
enter     ,2374      ,92728503668         ,827000         ,-3e+07         ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,120919         ,光學鏡頭指標(G3/M1/R1)
enter     ,6706      ,92900262977         ,1210000        ,-4e+07         ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,82644.6        ,設備儀器商(G15/M1/R1)
leave     ,6706      ,92911003063         ,1210000        ,-3.8e+07       ,-8e+06         ,-              ,-              ,takeProfit     ,66115.7        
leave     ,3701      ,92926782861         ,605000         ,-2.81626e+07   ,-162602        ,-              ,-              ,stopLoss       ,0              
leave     ,6706      ,93338204386         ,1190000        ,-2.02948e+07   ,-132231        ,-              ,-              ,stopLoss       ,0              
enter     ,3376      ,93749019170         ,2250000        ,-3.02948e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,44444.4        ,軸承(G5/M1/R1)
enter     ,8271      ,94007825243         ,1265000        ,-4.02948e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,79051.4        ,記憶體(G6/M1/R5)
leave     ,8271      ,94013582537         ,1270000        ,-3.82869e+07   ,-7.99209e+06   ,-              ,-              ,takeProfit     ,63241.1        
leave     ,8271      ,94019023277         ,1275000        ,-3.62711e+07   ,-5.97628e+06   ,-              ,-              ,takeProfit     ,47430.8        
leave     ,8271      ,94050893685         ,1280000        ,-3.42474e+07   ,-3.95257e+06   ,-              ,-              ,takeProfit     ,31620.6        
leave     ,8271      ,94116240112         ,1285000        ,-3.22158e+07   ,-1.92095e+06   ,-              ,-              ,takeProfit     ,15810.3        
leave     ,3376      ,94134167082         ,2260000        ,-3.02069e+07   ,-7.99111e+06   ,-              ,-              ,takeProfit     ,35555.6        
leave     ,2374      ,94200960704         ,832000         ,-2.81948e+07   ,-7.98791e+06   ,-              ,-              ,takeProfit     ,96735.2        
leave     ,3376      ,94211756250         ,2265000        ,-2.61815e+07   ,-5.97778e+06   ,-              ,-              ,takeProfit     ,26666.7        
leave     ,3376      ,94221390781         ,2270000        ,-2.41637e+07   ,-3.96e+06      ,-              ,-              ,takeProfit     ,17777.8        
leave     ,2374      ,94331561590         ,833000         ,-2.21492e+07   ,-5.9734e+06    ,-              ,-              ,takeProfit     ,72551.4        
leave     ,2374      ,94333210474         ,834000         ,-2.01323e+07   ,-3.95647e+06   ,-              ,-              ,takeProfit     ,48367.6        
leave     ,2374      ,94333243805         ,835000         ,-1.81129e+07   ,-1.93712e+06   ,-              ,-              ,takeProfit     ,24183.8        
leave     ,2374      ,94334584477         ,836000         ,-1.60911e+07   ,84643.3        ,-              ,-              ,takeProfit     ,0              
leave     ,8271      ,94513556609         ,1290000        ,-1.40516e+07   ,118577         ,-              ,-              ,takeProfit     ,0              
leave     ,5347      ,95105825972         ,1335000        ,-1.20212e+07   ,-7.96958e+06   ,-              ,-              ,takeProfit     ,60836.5        
leave     ,5347      ,95123691196         ,1340000        ,-9.98317e+06   ,-5.93156e+06   ,-              ,-              ,takeProfit     ,45627.4        
leave     ,5347      ,100125461211        ,1345000        ,-7.93754e+06   ,-3.88593e+06   ,-              ,-              ,takeProfit     ,30418.3        
leave     ,5347      ,100147762690        ,1350000        ,-5.88431e+06   ,-1.8327e+06    ,-              ,-              ,takeProfit     ,15209.1        
leave     ,5347      ,100712006266        ,1355000        ,-3.82348e+06   ,228137         ,-              ,-              ,takeProfit     ,0              
enter     ,2374      ,101344395724        ,832000         ,-1.38235e+07   ,-9.91536e+06   ,SignalA        ,StrongGroup    ,-              ,120192         ,光學鏡頭指標(G3/M1/R1)
leave     ,2374      ,101758216024        ,836000         ,-1.18139e+07   ,-7.90574e+06   ,-              ,-              ,takeProfit     ,96153.8        
leave     ,2374      ,101814951096        ,837000         ,-9.80184e+06   ,-5.89372e+06   ,-              ,-              ,takeProfit     ,72115.4        
leave     ,3376      ,101946176429        ,2220000        ,-5.85517e+06   ,-13333.3       ,-              ,-              ,stopLoss       ,0              
leave     ,2374      ,132000128683        ,826000         ,94344.7        ,55797.1        ,-              ,-              ,timeExit       ,0              
