Action    ,Symbol    ,Time                ,Price          ,Cash           ,SymbolCash     ,SignalType     ,EnterCause     ,LeaveCause     ,RemainingQty   ,GroupInfo
enter     ,6488      ,92004063980         ,4975000        ,-1e+07         ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,20100.5        ,矽晶圓指標(G6/M1/R1)
enter     ,1303      ,92051100880         ,766000         ,-2e+07         ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,130548         ,玻纖布(G1/M1/R4)
leave     ,1303      ,92141198736         ,777000         ,-1.79713e+07   ,-7.97128e+06   ,-              ,-              ,takeProfit     ,104439         
leave     ,1303      ,92142264857         ,778000         ,-1.59399e+07   ,-5.93995e+06   ,-              ,-              ,takeProfit     ,78329          
leave     ,1303      ,92157751785         ,779000         ,-1.3906e+07    ,-3.90601e+06   ,-              ,-              ,takeProfit     ,52219.3        
leave     ,1303      ,92201655057         ,780000         ,-1.18695e+07   ,-1.86945e+06   ,-              ,-              ,takeProfit     ,26109.7        
enter     ,3149      ,92723702730         ,466000         ,-2.18695e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,214592         ,TFT 面板(G3/M1/R1)
leave     ,6488      ,93140437184         ,4905000        ,-1.20102e+07   ,-140704        ,-              ,-              ,stopLoss       ,0              
enter     ,1815      ,93612063791         ,1040000        ,-2.20102e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,96153.8        ,玻纖布(G1/M1/R3)
leave     ,1303      ,94321349327         ,755000         ,-2.00389e+07   ,101828         ,-              ,-              ,stopLoss       ,0              
leave     ,1815      ,94538658039         ,1020000        ,-1.02312e+07   ,-192308        ,-              ,-              ,stopLoss       ,0              
enter     ,8271      ,95229672460         ,1390000        ,-2.02312e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,71942.4        ,記憶體(G1/M2/R10)
leave     ,3149      ,95333753522         ,472000         ,-1.82054e+07   ,-7.97425e+06   ,-              ,-              ,takeProfit     ,171674         
leave     ,3149      ,95346676776         ,472500         ,-1.61775e+07   ,-5.94635e+06   ,-              ,-              ,takeProfit     ,128755         
leave     ,3149      ,95346713602         ,473000         ,-1.41475e+07   ,-3.91631e+06   ,-              ,-              ,takeProfit     ,85836.9        
leave     ,3149      ,95350444498         ,473500         ,-1.21153e+07   ,-1.88412e+06   ,-              ,-              ,takeProfit     ,42918.5        
leave     ,3149      ,100410790893        ,474000         ,-1.0081e+07    ,150215         ,-              ,-              ,takeProfit     ,0              
leave     ,8271      ,100814665593        ,1365000        ,-260825        ,-179856        ,-              ,-              ,stopLoss       ,0              
enter     ,2312      ,101416523319        ,361000         ,-1.02608e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,277008         ,車用電子(G5/M1/R1)
enter     ,8074      ,105648673723        ,600000         ,-2.02608e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,166667         ,鑽孔(G9/M1/R1)
leave     ,2312      ,110056919783        ,355500         ,-1.04132e+07   ,-152355        ,-              ,-              ,stopLoss       ,0              
leave     ,8074      ,122428292950        ,591000         ,-563180        ,-150000        ,-              ,-              ,stopLoss       ,0              
