Action    ,Symbol    ,Time                ,Price          ,Cash           ,SymbolCash     ,SignalType     ,EnterCause     ,LeaveCause     ,RemainingQty   ,GroupInfo
enter     ,5347      ,92222834983         ,1480000        ,-1e+07         ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,67567.6        ,專業IC代工(G1/M2/R2)
enter     ,8422      ,92833528939         ,438000         ,-2e+07         ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,228311         ,回收焚化相關指標(G4/M1/R2)
enter     ,2467      ,92856411359         ,2595000        ,-3e+07         ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,38535.6        ,FOPLP(G3/M2/R2)
enter     ,5483      ,93510021266         ,1230000        ,-4e+07         ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,81300.8        ,矽晶圓指標(G1/M2/R4)
leave     ,5483      ,93651481482         ,1235000        ,-3.79919e+07   ,-7.99187e+06   ,-              ,-              ,takeProfit     ,65040.7        
leave     ,5347      ,93834014231         ,1505000        ,-3.59581e+07   ,-7.96622e+06   ,-              ,-              ,takeProfit     ,54054.1        
leave     ,5347      ,93843919585         ,1510000        ,-3.39175e+07   ,-5.92568e+06   ,-              ,-              ,takeProfit     ,40540.5        
leave     ,5347      ,94005313743         ,1515000        ,-3.18702e+07   ,-3.87838e+06   ,-              ,-              ,takeProfit     ,27027          
leave     ,5347      ,94031661500         ,1520000        ,-2.98162e+07   ,-1.82432e+06   ,-              ,-              ,takeProfit     ,13513.5        
leave     ,5347      ,94105898960         ,1525000        ,-2.77554e+07   ,236486         ,-              ,-              ,takeProfit     ,0              
leave     ,8422      ,94247425644         ,431500         ,-1.79038e+07   ,-148402        ,-              ,-              ,stopLoss       ,0              
leave     ,5483      ,94701417452         ,1240000        ,-1.58875e+07   ,-5.97561e+06   ,-              ,-              ,takeProfit     ,48780.5        
leave     ,5483      ,94720623022         ,1245000        ,-1.38631e+07   ,-3.95122e+06   ,-              ,-              ,takeProfit     ,32520.3        
leave     ,5483      ,94822771568         ,1250000        ,-1.18306e+07   ,-1.9187e+06    ,-              ,-              ,takeProfit     ,16260.2        
leave     ,5483      ,101322707338        ,1210000        ,-9.86313e+06   ,48780.5        ,-              ,-              ,stopLoss       ,0              
leave     ,2467      ,101659177360        ,2560000        ,1990.39        ,-134875        ,-              ,-              ,stopLoss       ,0              
enter     ,5347      ,102849184458        ,1510000        ,-9.99801e+06   ,-9.76351e+06   ,SignalA        ,StrongGroup    ,-              ,66225.2        ,專業IC代工(G1/M2/R2)
leave     ,5347      ,111257935270        ,1485000        ,-163573        ,70923.6        ,-              ,-              ,stopLoss       ,0              
enter     ,5371      ,121055101004        ,975000         ,-1.01636e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,102564         ,軍工(G2/M2/R4)
leave     ,5371      ,132000171127        ,967000         ,-245624        ,-82051.3       ,-              ,-              ,timeExit       ,0              
