Action    ,Symbol    ,Time                ,Price          ,Cash           ,SymbolCash     ,SignalType     ,EnterCause     ,LeaveCause     ,RemainingQty   ,GroupInfo
enter     ,6173      ,92121296092         ,785000         ,-1e+07         ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,127389         ,被動元件(G2/M2/R3)
enter     ,2301      ,92544193160         ,1745000        ,-2e+07         ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,57306.6        ,電供(G2/M2/R3)
leave     ,2301      ,92713522246         ,1760000        ,-1.79828e+07   ,-7.98281e+06   ,-              ,-              ,takeProfit     ,45845.3        
leave     ,2301      ,92757854519         ,1765000        ,-1.59599e+07   ,-5.95989e+06   ,-              ,-              ,takeProfit     ,34384          
enter     ,1504      ,93051123935         ,886000         ,-2.59599e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,112867         ,家電(G2/M1/R2)
leave     ,1504      ,93051124562         ,886000         ,-2.19621e+07   ,-6.00226e+06   ,-              ,-              ,takeProfit     ,67720.1        
leave     ,1504      ,93051559220         ,887000         ,-1.99599e+07   ,-4e+06         ,-              ,-              ,takeProfit     ,45146.7        
leave     ,1504      ,93052229164         ,888000         ,-1.79554e+07   ,-1.99549e+06   ,-              ,-              ,takeProfit     ,22573.4        
leave     ,1504      ,93053238024         ,889000         ,-1.59486e+07   ,11286.7        ,-              ,-              ,takeProfit     ,0              
leave     ,2301      ,93140414103         ,1770000        ,-1.39199e+07   ,-3.93123e+06   ,-              ,-              ,takeProfit     ,22922.6        
enter     ,2327      ,93406411153         ,2985000        ,-2.39199e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,33500.8        ,被動元件(G1/M2/R5)
leave     ,6173      ,94143256144         ,774000         ,-1.40601e+07   ,-140127        ,-              ,-              ,stopLoss       ,0              
enter     ,6488      ,100813796544        ,5280000        ,-2.40601e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,18939.4        ,矽晶圓指標(G1/M2/R4)
enter     ,1504      ,101018384054        ,904000         ,-3.40601e+07   ,-9.98871e+06   ,SignalA        ,StrongGroup    ,-              ,110619         ,家電(G1/M1/R1)
leave     ,6488      ,103349779374        ,5200000        ,-2.42116e+07   ,-151515        ,-              ,-              ,stopLoss       ,0              
leave     ,1504      ,104731863925        ,892000         ,-1.43443e+07   ,-121457        ,-              ,-              ,stopLoss       ,0              
leave     ,2327      ,111142119862        ,2995000        ,-1.23376e+07   ,-7.9933e+06    ,-              ,-              ,takeProfit     ,26800.7        
leave     ,2327      ,111232178643        ,3000000        ,-1.03276e+07   ,-5.98325e+06   ,-              ,-              ,takeProfit     ,20100.5        
leave     ,2327      ,132000078805        ,2975000        ,-4.35773e+06   ,-13400.3       ,-              ,-              ,timeExit       ,0              
leave     ,2301      ,132001109913        ,1770000        ,-300425        ,126074         ,-              ,-              ,timeExit       ,0              
