Action    ,Symbol    ,Time                ,Price          ,Cash           ,SymbolCash     ,SignalType     ,EnterCause     ,LeaveCause     ,RemainingQty   ,GroupInfo
enter     ,6125      ,92702279914         ,737000         ,-1e+07         ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,135685         ,設備儀器商(G9/M1/R1)
leave     ,6125      ,93008265243         ,744000         ,-7.981e+06     ,-7.981e+06     ,-              ,-              ,takeProfit     ,108548         
enter     ,1301      ,93322128082         ,468000         ,-1.7981e+07    ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,213447         ,塑膠(G1/M2/R2)
leave     ,1301      ,93518975349         ,476500         ,-1.59469e+07   ,-7.96585e+06   ,-              ,-              ,takeProfit     ,170758         
leave     ,1301      ,93519981010         ,477000         ,-1.39106e+07   ,-5.92956e+06   ,-              ,-              ,takeProfit     ,128068         
leave     ,1301      ,93545502240         ,477500         ,-1.18721e+07   ,-3.89114e+06   ,-              ,-              ,takeProfit     ,85378.9        
leave     ,6125      ,94035028708         ,745000         ,-9.85044e+06   ,-5.95929e+06   ,-              ,-              ,takeProfit     ,81411.1        
leave     ,6125      ,94035028719         ,746000         ,-7.82601e+06   ,-3.93487e+06   ,-              ,-              ,takeProfit     ,54274.1        
leave     ,6125      ,94035028829         ,747000         ,-5.79888e+06   ,-1.90773e+06   ,-              ,-              ,takeProfit     ,27137          
leave     ,6125      ,94035081219         ,748000         ,-3.76903e+06   ,122117         ,-              ,-              ,takeProfit     ,0              
leave     ,1301      ,94808754180         ,478000         ,-1.72847e+06   ,-1.85059e+06   ,-              ,-              ,takeProfit     ,42689.4        
leave     ,1301      ,94809978061         ,478500         ,314219         ,192102         ,-              ,-              ,takeProfit     ,0              
enter     ,3533      ,95451027620         ,15250000       ,-9.68578e+06   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,6557.38        ,連接器(G10/M1/R1)
leave     ,3533      ,101524911089        ,15000000       ,150285         ,-163934        ,-              ,-              ,stopLoss       ,0              
enter     ,2464      ,110943430033        ,729000         ,-9.84972e+06   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,137174         ,設備儀器商(G7/M1/R2)
leave     ,2464      ,112632857119        ,719000         ,-606.915       ,-150892        ,-              ,-              ,stopLoss       ,0              
