Action    ,Symbol    ,Time                ,Price          ,Cash           ,SymbolCash     ,SignalType     ,EnterCause     ,LeaveCause     ,RemainingQty   ,GroupInfo
enter     ,3081      ,92127263199         ,8540000        ,-1e+07         ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,11709.6        ,CPO(G2/M1/R3)
leave     ,3081      ,92144745510         ,8560000        ,-7.99532e+06   ,-7.99532e+06   ,-              ,-              ,takeProfit     ,9367.68        
leave     ,3081      ,92200572229         ,8570000        ,-5.98829e+06   ,-5.98829e+06   ,-              ,-              ,takeProfit     ,7025.76        
leave     ,3081      ,92200633881         ,8580000        ,-3.97892e+06   ,-3.97892e+06   ,-              ,-              ,takeProfit     ,4683.84        
leave     ,3081      ,92200665209         ,8590000        ,-1.96721e+06   ,-1.96721e+06   ,-              ,-              ,takeProfit     ,2341.92        
leave     ,3081      ,92204048378         ,8600000        ,46838.4        ,46838.4        ,-              ,-              ,takeProfit     ,0              
enter     ,2481      ,92622504229         ,946000         ,-9.95316e+06   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,105708         ,二極體(G2/M1/R1)
enter     ,3131      ,92655009547         ,18650000       ,-1.99532e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,5361.93        ,半導體設備(G8/M1/R1)
leave     ,3131      ,92655047994         ,18650000       ,-1.79532e+07   ,-8e+06         ,-              ,-              ,takeProfit     ,4289.54        
enter     ,6139      ,93254263362         ,5760000        ,-2.79532e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,17361.1        ,廠務(G10/M1/R1)
leave     ,3131      ,93304987114         ,18350000       ,-2.00818e+07   ,-128686        ,-              ,-              ,stopLoss       ,0              
leave     ,2481      ,93335206251         ,933000         ,-1.02193e+07   ,-137421        ,-              ,-              ,stopLoss       ,0              
leave     ,6139      ,93414315843         ,5790000        ,-8.20885e+06   ,-7.98958e+06   ,-              ,-              ,takeProfit     ,13888.9        
leave     ,6139      ,93414500109         ,5800000        ,-6.19496e+06   ,-5.97569e+06   ,-              ,-              ,takeProfit     ,10416.7        
leave     ,6139      ,93508190815         ,5810000        ,-4.1776e+06    ,-3.95833e+06   ,-              ,-              ,takeProfit     ,6944.44        
enter     ,4768      ,93605373782         ,4135000        ,-1.41776e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,24183.8        ,特化(G8/M1/R2)
leave     ,6139      ,93616316996         ,5820000        ,-1.21568e+07   ,-1.9375e+06    ,-              ,-              ,takeProfit     ,3472.22        
leave     ,6139      ,93737264520         ,5830000        ,-1.01325e+07   ,86805.6        ,-              ,-              ,takeProfit     ,0              
enter     ,1605      ,94956548981         ,420500         ,-2.01325e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,237812         ,不鏽鋼(G9/M1/R1)
leave     ,4768      ,95420953012         ,4150000        ,-1.81252e+07   ,-7.99274e+06   ,-              ,-              ,takeProfit     ,19347          
leave     ,1605      ,100138111869        ,425500         ,-1.61014e+07   ,-7.97622e+06   ,-              ,-              ,takeProfit     ,190250         
leave     ,1605      ,100138148773        ,426000         ,-1.40753e+07   ,-5.95006e+06   ,-              ,-              ,takeProfit     ,142687         
leave     ,1605      ,100209860359        ,426500         ,-1.20467e+07   ,-3.92152e+06   ,-              ,-              ,takeProfit     ,95124.9        
leave     ,1605      ,100210622342        ,427000         ,-1.00158e+07   ,-1.89061e+06   ,-              ,-              ,takeProfit     ,47562.4        
leave     ,1605      ,100215949865        ,427500         ,-7.98252e+06   ,142687         ,-              ,-              ,takeProfit     ,0              
leave     ,4768      ,115055255451        ,4075000        ,-98602.9       ,-108827        ,-              ,-              ,stopLoss       ,0              
