Action    ,Symbol    ,Time                ,Price          ,Cash           ,SymbolCash     ,SignalType     ,EnterCause     ,LeaveCause     ,RemainingQty   ,GroupInfo
enter     ,6139      ,92101830512         ,6070000        ,-1e+07         ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,16474.5        ,廠務(G7/M1/R1)
enter     ,6706      ,92122984097         ,1235000        ,-2e+07         ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,80971.7        ,CPO(G1/M1/R6)
enter     ,2313      ,92205551711         ,1870000        ,-3e+07         ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,53475.9        ,低軌衛星(G2/M1/R2)
leave     ,6706      ,92337983911         ,1215000        ,-2.02024e+07   ,-202429        ,-              ,-              ,stopLoss       ,0              
leave     ,6139      ,92416143732         ,5990000        ,-1.03342e+07   ,-131796        ,-              ,-              ,stopLoss       ,0              
enter     ,2027      ,92448064332         ,399500         ,-2.03342e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,250313         ,不鏽鋼(G4/M1/R1)
leave     ,2027      ,92448156144         ,400500         ,-1.83292e+07   ,-7.99499e+06   ,-              ,-              ,takeProfit     ,200250         
leave     ,2027      ,92511030972         ,401000         ,-1.63217e+07   ,-5.98748e+06   ,-              ,-              ,takeProfit     ,150188         
leave     ,2027      ,92536171880         ,401500         ,-1.43117e+07   ,-3.97747e+06   ,-              ,-              ,takeProfit     ,100125         
leave     ,2027      ,92536229634         ,402000         ,-1.22992e+07   ,-1.96496e+06   ,-              ,-              ,takeProfit     ,50062.6        
leave     ,2027      ,92548881820         ,402500         ,-1.02842e+07   ,50062.6        ,-              ,-              ,takeProfit     ,0              
enter     ,1326      ,92851717878         ,457500         ,-2.02842e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,218341         ,塑膠(G4/M1/R1)
enter     ,6753      ,93145503230         ,1485000        ,-3.02842e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,67340.1        ,軍工(G10/M1/R1)
leave     ,6753      ,93145515530         ,1485000        ,-2.62909e+07   ,-6.00673e+06   ,-              ,-              ,takeProfit     ,40404          
leave     ,6753      ,93217965944         ,1490000        ,-2.42842e+07   ,-4e+06         ,-              ,-              ,takeProfit     ,26936          
leave     ,6753      ,93225332098         ,1495000        ,-2.22707e+07   ,-1.98653e+06   ,-              ,-              ,takeProfit     ,13468          
leave     ,6753      ,93243437848         ,1500000        ,-2.02505e+07   ,33670          ,-              ,-              ,takeProfit     ,0              
leave     ,1326      ,93304094529         ,451000         ,-1.04033e+07   ,-152838        ,-              ,-              ,stopLoss       ,0              
leave     ,2313      ,94318300376         ,1840000        ,-563758        ,-160428        ,-              ,-              ,stopLoss       ,0              
enter     ,2027      ,101457828002        ,406000         ,-1.05638e+07   ,-9.94994e+06   ,SignalA        ,StrongGroup    ,-              ,246305         ,不鏽鋼(G2/M1/R1)
leave     ,2027      ,104547472594        ,400000         ,-711542        ,-97720.7       ,-              ,-              ,stopLoss       ,0              
