Action    ,Symbol    ,Time                ,Price          ,Cash           ,SymbolCash     ,SignalType     ,EnterCause     ,LeaveCause     ,RemainingQty   ,GroupInfo
enter     ,6409      ,92156810208         ,8740000        ,-1e+07         ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,11428.6        ,太陽能(G3/M2/R2)
enter     ,6443      ,94840082874         ,419000         ,-2e+07         ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,238379         ,低軌衛星(G1/M1/R1)
enter     ,3533      ,100221042846        ,14850000       ,-3e+07         ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,6734.01        ,連接器(G5/M2/R2)
leave     ,6409      ,100720380658        ,8790000        ,-2.79909e+07   ,-7.99086e+06   ,-              ,-              ,takeProfit     ,9142.86        
leave     ,6443      ,101010484251        ,413000         ,-1.81458e+07   ,-154946        ,-              ,-              ,stopLoss       ,0              
enter     ,6510      ,103200679555        ,33800000       ,-2.81458e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,2958.58        ,探針卡(G1/M1/R2)
leave     ,6510      ,103324634410        ,33900000       ,-2.61399e+07   ,-7.99408e+06   ,-              ,-              ,takeProfit     ,2366.86        
leave     ,6510      ,103324665483        ,33950000       ,-2.4131e+07    ,-5.98521e+06   ,-              ,-              ,takeProfit     ,1775.15        
leave     ,6510      ,103324696019        ,34000000       ,-2.21192e+07   ,-3.97337e+06   ,-              ,-              ,takeProfit     ,1183.43        
leave     ,6510      ,103324720993        ,34050000       ,-2.01044e+07   ,-1.95858e+06   ,-              ,-              ,takeProfit     ,591.716        
leave     ,6510      ,103324797571        ,34100000       ,-1.80866e+07   ,59171.6        ,-              ,-              ,takeProfit     ,0              
leave     ,6409      ,103654459291        ,8800000        ,-1.60752e+07   ,-5.97943e+06   ,-              ,-              ,takeProfit     ,6857.14        
leave     ,6409      ,103654513466        ,8820000        ,-1.20455e+07   ,-1.94971e+06   ,-              ,-              ,takeProfit     ,2285.71        
leave     ,6409      ,103656959959        ,8830000        ,-1.00272e+07   ,68571.4        ,-              ,-              ,takeProfit     ,0              
enter     ,6510      ,110200624611        ,34100000       ,-2.00272e+07   ,-9.94083e+06   ,SignalA        ,StrongGroup    ,-              ,2932.55        ,探針卡(G1/M1/R2)
enter     ,3324      ,112054410201        ,9430000        ,-3.00272e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,10604.5        ,散熱(G3/M1/R1)
leave     ,3533      ,114021762528        ,14600000       ,-2.01956e+07   ,-168350        ,-              ,-              ,stopLoss       ,0              
enter     ,3653      ,122212261274        ,29300000       ,-3.01956e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,3412.97        ,散熱(G3/M2/R2)
leave     ,6510      ,124904473047        ,34450000       ,-2.8175e+07    ,-7.9203e+06    ,-              ,-              ,takeProfit     ,2346.04        
leave     ,6510      ,124911078689        ,34500000       ,-2.61516e+07   ,-5.89684e+06   ,-              ,-              ,takeProfit     ,1759.53        
leave     ,6510      ,132000335366        ,34150000       ,-2.01516e+07   ,103160         ,-              ,-              ,timeExit       ,0              
leave     ,3324      ,132006051856        ,9380000        ,-1.02046e+07   ,-53022.3       ,-              ,-              ,timeExit       ,0              
leave     ,3653      ,132038441204        ,29600000       ,-119263        ,85324.2        ,-              ,-              ,timeExit       ,0              
