Action    ,Symbol    ,Time                ,Price          ,Cash           ,SymbolCash     ,SignalType     ,EnterCause     ,LeaveCause     ,RemainingQty   ,GroupInfo
enter     ,6443      ,92059643580         ,431500         ,-1e+07         ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,231750         ,低軌衛星(G1/M2/R3)
enter     ,6271      ,92234204124         ,1435000        ,-2e+07         ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,69686.4        ,IC封測(G13/M1/R1)
leave     ,6271      ,92332129384         ,1440000        ,-1.7993e+07    ,-7.99303e+06   ,-              ,-              ,takeProfit     ,55749.1        
leave     ,6271      ,92405052550         ,1445000        ,-1.59791e+07   ,-5.97909e+06   ,-              ,-              ,takeProfit     ,41811.8        
leave     ,6271      ,92419904947         ,1450000        ,-1.39582e+07   ,-3.95819e+06   ,-              ,-              ,takeProfit     ,27874.6        
leave     ,6443      ,92746944988         ,439000         ,-1.19234e+07   ,-7.96524e+06   ,-              ,-              ,takeProfit     ,185400         
leave     ,6443      ,92808236997         ,439500         ,-9.88635e+06   ,-5.92816e+06   ,-              ,-              ,takeProfit     ,139050         
enter     ,6182      ,92851413106         ,372500         ,-1.98863e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,268456         ,矽晶圓指標(G4/M1/R2)
leave     ,6271      ,93050285817         ,1455000        ,-1.78585e+07   ,-1.93031e+06   ,-              ,-              ,takeProfit     ,13937.3        
leave     ,6271      ,93053837408         ,1460000        ,-1.58236e+07   ,104530         ,-              ,-              ,takeProfit     ,0              
enter     ,1303      ,93554797842         ,742000         ,-2.58236e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,134771         ,玻纖布(G4/M1/R5)
leave     ,1303      ,93728273858         ,745000         ,-2.38155e+07   ,-7.99191e+06   ,-              ,-              ,takeProfit     ,107817         
leave     ,6182      ,94442850035         ,367000         ,-1.39766e+07   ,-161074        ,-              ,-              ,stopLoss       ,0              
enter     ,6215      ,94545031898         ,1145000        ,-2.39766e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,87336.2        ,設備儀器商(G7/M1/R4)
enter     ,6271      ,95216836199         ,1450000        ,-3.39766e+07   ,-9.89547e+06   ,SignalA        ,StrongGroup    ,-              ,68965.5        ,IC封測(G13/M1/R1)
leave     ,1303      ,95853278692         ,746000         ,-3.19658e+07   ,-5.98113e+06   ,-              ,-              ,takeProfit     ,80862.5        
leave     ,1303      ,95853298669         ,747000         ,-2.99524e+07   ,-3.96765e+06   ,-              ,-              ,takeProfit     ,53908.4        
leave     ,1303      ,95853311170         ,748000         ,-2.79362e+07   ,-1.95148e+06   ,-              ,-              ,takeProfit     ,26954.2        
leave     ,1303      ,95854574987         ,749000         ,-2.59173e+07   ,67385.4        ,-              ,-              ,takeProfit     ,0              
leave     ,6443      ,100000220294        ,425500         ,-2.00007e+07   ,-11587.5       ,-              ,-              ,stopLoss       ,0              
leave     ,6215      ,100544332508        ,1125000        ,-1.01754e+07   ,-174672        ,-              ,-              ,stopLoss       ,0              
leave     ,6271      ,101326777872        ,1425000        ,-347833        ,-67884.2       ,-              ,-              ,stopLoss       ,0              
enter     ,1815      ,101932906811        ,936000         ,-1.03478e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,106838         ,玻纖布(G2/M2/R3)
enter     ,3017      ,103241276005        ,15950000       ,-2.03478e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,6269.59        ,散熱(G1/M1/R1)
leave     ,1815      ,103501209268        ,923000         ,-1.04867e+07   ,-138889        ,-              ,-              ,stopLoss       ,0              
enter     ,6510      ,104558896213        ,37100000       ,-2.04867e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,2691.79        ,探針卡(G1/M2/R2)
