Action    ,Symbol    ,Time                ,Price          ,Cash           ,SymbolCash     ,SignalType     ,EnterCause     ,LeaveCause     ,RemainingQty   ,GroupInfo
enter     ,6271      ,92016131871         ,1525000        ,-1e+07         ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,65573.8        ,IC封測(G14/M1/R1)
enter     ,6282      ,92103638570         ,492500         ,-2e+07         ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,203046         ,電供(G5/M1/R2)
leave     ,6282      ,92153194770         ,493500         ,-1.79959e+07   ,-7.99594e+06   ,-              ,-              ,takeProfit     ,162437         
leave     ,6282      ,92204930393         ,494000         ,-1.59898e+07   ,-5.98985e+06   ,-              ,-              ,takeProfit     ,121827         
leave     ,6282      ,92247958190         ,494500         ,-1.39817e+07   ,-3.98173e+06   ,-              ,-              ,takeProfit     ,81218.3        
leave     ,6282      ,92248793162         ,495000         ,-1.19716e+07   ,-1.97157e+06   ,-              ,-              ,takeProfit     ,40609.1        
leave     ,6282      ,92248865793         ,495500         ,-9.95939e+06   ,40609.1        ,-              ,-              ,takeProfit     ,0              
enter     ,6116      ,92401394313         ,89700          ,-1.99594e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,1.11483e+06    ,TFT 面板(G1/M1/R3)
enter     ,3189      ,92542508202         ,2610000        ,-2.99594e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,38314.2        ,ABF(G6/M1/R1)
enter     ,2049      ,92623534225         ,2415000        ,-3.99594e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,41407.9        ,工具機(G3/M1/R2)
leave     ,3189      ,92648304547         ,2645000        ,-3.79326e+07   ,-7.97318e+06   ,-              ,-              ,takeProfit     ,30651.3        
leave     ,2049      ,92953835111         ,2435000        ,-3.5916e+07    ,-7.98344e+06   ,-              ,-              ,takeProfit     ,33126.3        
leave     ,3189      ,93202387518         ,2650000        ,-3.38854e+07   ,-5.94253e+06   ,-              ,-              ,takeProfit     ,22988.5        
leave     ,3189      ,93203701103         ,2655000        ,-3.18509e+07   ,-3.90805e+06   ,-              ,-              ,takeProfit     ,15325.7        
leave     ,3189      ,93203739703         ,2660000        ,-2.98126e+07   ,-1.86973e+06   ,-              ,-              ,takeProfit     ,7662.84        
leave     ,6271      ,93211734052         ,1545000        ,-2.77863e+07   ,-7.97377e+06   ,-              ,-              ,takeProfit     ,52459          
leave     ,2049      ,93628678795         ,2440000        ,-2.57656e+07   ,-5.96273e+06   ,-              ,-              ,takeProfit     ,24844.7        
leave     ,6116      ,93644186666         ,88400          ,-1.59106e+07   ,-144928        ,-              ,-              ,stopLoss       ,0              
leave     ,3189      ,93649947879         ,2665000        ,-1.38684e+07   ,172414         ,-              ,-              ,takeProfit     ,0              
enter     ,3715      ,93731574623         ,1505000        ,-2.38684e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,66445.2        ,印刷電路板(G6/M1/R6)
leave     ,2049      ,93942564577         ,2445000        ,-2.18436e+07   ,-3.93789e+06   ,-              ,-              ,takeProfit     ,16563.1        
leave     ,2049      ,93943262944         ,2450000        ,-1.98146e+07   ,-1.9089e+06    ,-              ,-              ,takeProfit     ,8281.57        
leave     ,2049      ,93943414469         ,2455000        ,-1.77815e+07   ,124224         ,-              ,-              ,takeProfit     ,0              
enter     ,3019      ,94128312841         ,1640000        ,-2.77815e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,60975.6        ,機器人(G9/M1/R2)
leave     ,3715      ,94144986666         ,1525000        ,-2.57549e+07   ,-7.97342e+06   ,-              ,-              ,takeProfit     ,53156.1        
leave     ,3715      ,94259514093         ,1530000        ,-2.37217e+07   ,-5.9402e+06    ,-              ,-              ,takeProfit     ,39867.1        
enter     ,6282      ,94342977265         ,496000         ,-3.37217e+07   ,-9.95939e+06   ,SignalA        ,StrongGroup    ,-              ,201613         ,電供(G5/M1/R2)
leave     ,3019      ,94552519389         ,1615000        ,-2.38741e+07   ,-152439        ,-              ,-              ,stopLoss       ,0              
leave     ,6282      ,94927531058         ,499000         ,-2.1862e+07    ,-7.94729e+06   ,-              ,-              ,takeProfit     ,161290         
leave     ,6282      ,95216231355         ,499500         ,-1.98479e+07   ,-5.93318e+06   ,-              ,-              ,takeProfit     ,120968         
leave     ,6282      ,95216305900         ,500000         ,-1.78318e+07   ,-3.91705e+06   ,-              ,-              ,takeProfit     ,80645.2        
leave     ,6282      ,95254569336         ,501000         ,-1.58116e+07   ,-1.89689e+06   ,-              ,-              ,takeProfit     ,40322.6        
leave     ,6282      ,95301117191         ,502000         ,-1.37874e+07   ,127303         ,-              ,-              ,takeProfit     ,0              
enter     ,6584      ,95718633109         ,3305000        ,-2.37874e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,30211.5        ,滑軌(G3/M1/R1)
leave     ,6271      ,95904590379         ,1550000        ,-2.17546e+07   ,-5.94098e+06   ,-              ,-              ,takeProfit     ,39344.3        
leave     ,6271      ,100013991627        ,1555000        ,-1.97153e+07   ,-3.90164e+06   ,-              ,-              ,takeProfit     ,26229.5        
leave     ,6271      ,100026288950        ,1560000        ,-1.76694e+07   ,-1.85574e+06   ,-              ,-              ,takeProfit     ,13114.8        
leave     ,6271      ,100132342901        ,1565000        ,-1.56169e+07   ,196721         ,-              ,-              ,takeProfit     ,0              
leave     ,3715      ,100402818885        ,1535000        ,-1.3577e+07    ,-3.90033e+06   ,-              ,-              ,takeProfit     ,26578.1        
leave     ,3715      ,100805619430        ,1540000        ,-1.15305e+07   ,-1.85382e+06   ,-              ,-              ,takeProfit     ,13289          
leave     ,3715      ,101055430414        ,1545000        ,-9.47737e+06   ,199336         ,-              ,-              ,takeProfit     ,0              
enter     ,4526      ,103743569397        ,331000         ,-1.94774e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,302115         ,工具機(G4/M1/R2)
