Action    ,Symbol    ,Time                ,Price          ,Cash           ,SymbolCash     ,SignalType     ,EnterCause     ,LeaveCause     ,RemainingQty   ,GroupInfo
enter     ,6282      ,92103638570         ,492500         ,-2e+07         ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,203046         ,電供(G5/M1/R2)
leave     ,6282      ,92153194770         ,493500         ,-1.79959e+07   ,-7.99594e+06   ,-              ,-              ,takeProfit     ,162437         
leave     ,6282      ,92204930393         ,494000         ,-1.59898e+07   ,-5.98985e+06   ,-              ,-              ,takeProfit     ,121827         
leave     ,6282      ,92247958190         ,494500         ,-1.39817e+07   ,-3.98173e+06   ,-              ,-              ,takeProfit     ,81218.3        
leave     ,6282      ,92248793162         ,495000         ,-1.19716e+07   ,-1.97157e+06   ,-              ,-              ,takeProfit     ,40609.1        
leave     ,6282      ,92248865793         ,495500         ,-9.95939e+06   ,40609.1        ,-              ,-              ,takeProfit     ,0              
enter     ,6282      ,94342977265         ,496000         ,-3.37217e+07   ,-9.95939e+06   ,SignalA        ,StrongGroup    ,-              ,201613         ,電供(G5/M1/R2)
leave     ,6282      ,94927531058         ,499000         ,-3.1862e+07    ,-7.94729e+06   ,-              ,-              ,takeProfit     ,161290         
leave     ,6282      ,95216231355         ,499500         ,-2.98479e+07   ,-5.93318e+06   ,-              ,-              ,takeProfit     ,120968         
leave     ,6282      ,95216305900         ,500000         ,-2.78318e+07   ,-3.91705e+06   ,-              ,-              ,takeProfit     ,80645.2        
leave     ,6282      ,95254569336         ,501000         ,-2.58116e+07   ,-1.89689e+06   ,-              ,-              ,takeProfit     ,40322.6        
leave     ,6282      ,95301117191         ,502000         ,-2.37874e+07   ,127303         ,-              ,-              ,takeProfit     ,0              
enter     ,6282      ,110348968071        ,498500         ,-2.32115e+07   ,-9.8727e+06    ,SignalA        ,StrongGroup    ,-              ,200401         ,電供(G5/M1/R2)
leave     ,6282      ,110647352537        ,502000         ,-2.11995e+07   ,-7.86067e+06   ,-              ,-              ,takeProfit     ,160321         
leave     ,6282      ,110729969965        ,503000         ,-1.91835e+07   ,-5.84464e+06   ,-              ,-              ,takeProfit     ,120240         
leave     ,6282      ,110811694262        ,504000         ,-1.71634e+07   ,-3.8246e+06    ,-              ,-              ,takeProfit     ,80160.3        
leave     ,6282      ,112143432679        ,505000         ,-5.32118e+06   ,-1.80055e+06   ,-              ,-              ,takeProfit     ,40080.2        
leave     ,6282      ,112144433902        ,506000         ,-3.29313e+06   ,227503         ,-              ,-              ,takeProfit     ,0              
