Action    ,Symbol    ,Time                ,Price          ,Cash           ,SymbolCash     ,SignalType     ,EnterCause     ,LeaveCause     ,RemainingQty   ,GroupInfo
enter     ,5309      ,92350704455         ,677000         ,-1e+07         ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,147710         ,車用電子(G16/M1/R2)
leave     ,5309      ,92400796877         ,684000         ,-7.97932e+06   ,-7.97932e+06   ,-              ,-              ,takeProfit     ,118168         
leave     ,5309      ,92400848077         ,685000         ,-5.95569e+06   ,-5.95569e+06   ,-              ,-              ,takeProfit     ,88626.3        
leave     ,5309      ,92407035082         ,686000         ,-3.9291e+06    ,-3.9291e+06    ,-              ,-              ,takeProfit     ,59084.2        
leave     ,5309      ,92407076346         ,687000         ,-1.89956e+06   ,-1.89956e+06   ,-              ,-              ,takeProfit     ,29542.1        
leave     ,5309      ,92407148299         ,688000         ,132939         ,132939         ,-              ,-              ,takeProfit     ,0              
enter     ,8074      ,92408742798         ,674000         ,-9.86706e+06   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,148368         ,PCB上游(G1/M2/R4)
enter     ,1301      ,92801024925         ,477500         ,-1.98671e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,209424         ,塑膠(G14/M1/R1)
enter     ,2374      ,93236235346         ,846000         ,-2.98671e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,118203         ,光電(G2/M1/R2)
leave     ,8074      ,93341119467         ,664000         ,-2.00154e+07   ,-148368        ,-              ,-              ,stopLoss       ,0              
enter     ,8210      ,94956726651         ,10550000       ,-3.00154e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,9478.67        ,機殼(G1/M1/R1)
leave     ,8210      ,95349410765         ,10700000       ,-2.7987e+07    ,-7.97156e+06   ,-              ,-              ,takeProfit     ,7582.94        
leave     ,2374      ,95652040340         ,834000         ,-1.81288e+07   ,-141844        ,-              ,-              ,stopLoss       ,0              
leave     ,8210      ,95845883106         ,10750000       ,-1.60909e+07   ,-5.93365e+06   ,-              ,-              ,takeProfit     ,5687.2         
leave     ,1301      ,100459086335        ,471000         ,-6.22705e+06   ,-136126        ,-              ,-              ,stopLoss       ,0              
enter     ,8261      ,101903590526        ,930000         ,-1.6227e+07    ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,107411         ,二極體(G2/M1/R1)
leave     ,8261      ,101907554509        ,938000         ,-1.4212e+07    ,-7.98496e+06   ,-              ,-              ,takeProfit     ,85929.1        
leave     ,8261      ,101907597937        ,939000         ,-1.21948e+07   ,-5.96778e+06   ,-              ,-              ,takeProfit     ,64446.8        
leave     ,8261      ,101907630042        ,940000         ,-1.01755e+07   ,-3.94844e+06   ,-              ,-              ,takeProfit     ,42964.6        
leave     ,8261      ,101907669449        ,941000         ,-8.15401e+06   ,-1.92696e+06   ,-              ,-              ,takeProfit     ,21482.3        
leave     ,8261      ,101923453519        ,942000         ,-6.13038e+06   ,96670.2        ,-              ,-              ,takeProfit     ,0              
enter     ,5309      ,102438577558        ,702000         ,-1.61304e+07   ,-9.86706e+06   ,SignalA        ,StrongGroup    ,-              ,142450         ,車用電子(G3/M1/R1)
leave     ,8210      ,102454079167        ,10800000       ,-1.4083e+07    ,-3.88626e+06   ,-              ,-              ,takeProfit     ,3791.47        
leave     ,8210      ,102454104543        ,10850000       ,-1.20261e+07   ,-1.82938e+06   ,-              ,-              ,takeProfit     ,1895.73        
leave     ,5309      ,103034996863        ,692000         ,-2.16856e+06   ,-9510.7        ,-              ,-              ,stopLoss       ,0              
leave     ,8210      ,132045086256        ,10850000       ,-111690        ,227488         ,-              ,-              ,timeExit       ,0              
