Action    ,Symbol    ,Time                ,Price          ,Cash           ,SymbolCash     ,SignalType     ,EnterCause     ,LeaveCause     ,RemainingQty   ,GroupInfo
enter     ,4722      ,92313246474         ,1735000        ,-1e+07         ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,57636.9        ,電子化工材料(G5/M2/R2)
leave     ,4722      ,92503500836         ,1710000        ,-144092        ,-144092        ,-              ,-              ,stopLoss       ,0              
enter     ,5340      ,92836964002         ,1005000        ,-1.01441e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,99502.5        ,玻纖布(G1/M2/R3)
leave     ,5340      ,92837157708         ,1005000        ,-8.14409e+06   ,-8e+06         ,-              ,-              ,takeProfit     ,79602          
leave     ,5340      ,93804625354         ,988000         ,-279416        ,-135323        ,-              ,-              ,stopLoss       ,0              
enter     ,1326      ,94102011052         ,425500         ,-1.02794e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,235018         ,塑膠(G2/M2/R2)
enter     ,6213      ,94841708067         ,1230000        ,-2.02794e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,81300.8        ,印刷電路板(G3/M1/R9)
leave     ,6213      ,94841743210         ,1230000        ,-1.62875e+07   ,-6.00813e+06   ,-              ,-              ,takeProfit     ,48780.5        
leave     ,6213      ,95237984300         ,1235000        ,-1.42794e+07   ,-4e+06         ,-              ,-              ,takeProfit     ,32520.3        
leave     ,6213      ,95311427137         ,1240000        ,-1.22632e+07   ,-1.98374e+06   ,-              ,-              ,takeProfit     ,16260.2        
leave     ,6213      ,95608601305         ,1245000        ,-1.02388e+07   ,40650.4        ,-              ,-              ,takeProfit     ,0              
enter     ,6753      ,100225440135        ,1470000        ,-2.02388e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,68027.2        ,軍工(G5/M2/R2)
leave     ,6753      ,102625885581        ,1445000        ,-1.04088e+07   ,-170068        ,-              ,-              ,stopLoss       ,0              
enter     ,6290      ,104153471818        ,1885000        ,-2.04088e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,53050.4        ,連接線材(G1/M1/R1)
leave     ,1326      ,105213941164        ,431500         ,-1.83806e+07   ,-7.9718e+06    ,-              ,-              ,takeProfit     ,188014         
leave     ,1326      ,105712218634        ,432000         ,-1.63501e+07   ,-5.94125e+06   ,-              ,-              ,takeProfit     ,141011         
leave     ,6290      ,114312031372        ,1890000        ,-1.43448e+07   ,-7.99469e+06   ,-              ,-              ,takeProfit     ,42440.3        
leave     ,1326      ,132000203876        ,422000         ,-8.39413e+06   ,9400.71        ,-              ,-              ,timeExit       ,0              
leave     ,6290      ,132009552063        ,1860000        ,-500228        ,-100796        ,-              ,-              ,timeExit       ,0              
