Action    ,Symbol    ,Time                ,Price          ,Cash           ,SymbolCash     ,SignalType     ,EnterCause     ,LeaveCause     ,RemainingQty   ,GroupInfo
enter     ,8043      ,92717307615         ,746000         ,-1e+07         ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,134048         ,被動元件(G1/M1/R4)
leave     ,8043      ,92726670839         ,748000         ,-7.99464e+06   ,-7.99464e+06   ,-              ,-              ,takeProfit     ,107239         
enter     ,2645      ,92857957148         ,1760000        ,-1.79946e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,56818.2        ,軍工(G3/M2/R3) M1=8033
enter     ,6176      ,93025556133         ,1355000        ,-2.79946e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,73800.7        ,光電(G15/M1/R1)
enter     ,2609      ,93117057334         ,555000         ,-3.79946e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,180180         ,海運(G1/M1/R2)
leave     ,2645      ,93340330271         ,1735000        ,-2.81367e+07   ,-142045        ,-              ,-              ,stopLoss       ,0              
enter     ,8074      ,93805592819         ,657000         ,-3.81367e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,152207         ,鑽孔(G1/M2/R2) M1=8021
leave     ,2609      ,95419411384         ,557000         ,-3.61295e+07   ,-7.99279e+06   ,-              ,-              ,takeProfit     ,144144         
leave     ,2609      ,95425726132         ,558000         ,-3.41187e+07   ,-5.98198e+06   ,-              ,-              ,takeProfit     ,108108         
leave     ,2609      ,100340764477        ,559000         ,-3.21043e+07   ,-3.96757e+06   ,-              ,-              ,takeProfit     ,72072.1        
leave     ,2609      ,100352197746        ,560000         ,-3.00862e+07   ,-1.94955e+06   ,-              ,-              ,takeProfit     ,36036          
enter     ,2313      ,100516044589        ,2015000        ,-4.00862e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,49627.8        ,低軌衛星(G7/M1/R1)
leave     ,2313      ,103205111002        ,2030000        ,-3.80713e+07   ,-7.98511e+06   ,-              ,-              ,takeProfit     ,39702.2        
leave     ,2313      ,103324402926        ,2035000        ,-3.60515e+07   ,-5.96526e+06   ,-              ,-              ,takeProfit     ,29776.7        
leave     ,2313      ,103333583731        ,2040000        ,-3.40267e+07   ,-3.94045e+06   ,-              ,-              ,takeProfit     ,19851.1        
leave     ,2313      ,103354344733        ,2045000        ,-3.19969e+07   ,-1.91067e+06   ,-              ,-              ,takeProfit     ,9925.56        
leave     ,2313      ,104023132161        ,2050000        ,-2.99622e+07   ,124069         ,-              ,-              ,takeProfit     ,0              
leave     ,8043      ,104835452581        ,749000         ,-2.79541e+07   ,-5.9866e+06    ,-              ,-              ,takeProfit     ,80429          
leave     ,8043      ,105042095404        ,750000         ,-2.59434e+07   ,-3.97587e+06   ,-              ,-              ,takeProfit     ,53619.3        
leave     ,8043      ,110702599665        ,751000         ,-2.393e+07     ,-1.96247e+06   ,-              ,-              ,takeProfit     ,26809.7        
leave     ,8043      ,110702632730        ,752000         ,-2.19139e+07   ,53619.3        ,-              ,-              ,takeProfit     ,0              
leave     ,6176      ,124613187974        ,1330000        ,-1.20984e+07   ,-184502        ,-              ,-              ,stopLoss       ,0              
leave     ,2609      ,132000644673        ,554000         ,-1.0102e+07    ,46846.8        ,-              ,-              ,timeExit       ,0              
leave     ,8074      ,132021382068        ,654000         ,-147674        ,-45662.1       ,-              ,-              ,timeExit       ,0              
