Action    ,Symbol    ,Time                ,Price          ,Cash           ,SymbolCash     ,SignalType     ,EnterCause     ,LeaveCause     ,RemainingQty   ,GroupInfo
enter     ,2645      ,92857957148         ,1760000        ,-1e+07         ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,56818.2        ,軍工(G4/M1/R2)
enter     ,6176      ,93025556133         ,1355000        ,-2e+07         ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,73800.7        ,光電(G15/M1/R1)
enter     ,2609      ,93117057334         ,555000         ,-3e+07         ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,180180         ,海運(G1/M1/R2)
leave     ,2645      ,93340330271         ,1735000        ,-2.0142e+07    ,-142045        ,-              ,-              ,stopLoss       ,0              
leave     ,2609      ,95419411384         ,557000         ,-1.81348e+07   ,-7.99279e+06   ,-              ,-              ,takeProfit     ,144144         
leave     ,2609      ,95425726132         ,558000         ,-1.6124e+07    ,-5.98198e+06   ,-              ,-              ,takeProfit     ,108108         
leave     ,2609      ,100340764477        ,559000         ,-1.41096e+07   ,-3.96757e+06   ,-              ,-              ,takeProfit     ,72072.1        
leave     ,2609      ,100352197746        ,560000         ,-1.20916e+07   ,-1.94955e+06   ,-              ,-              ,takeProfit     ,36036          
enter     ,2313      ,100516044589        ,2015000        ,-2.20916e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,49627.8        ,低軌衛星(G7/M1/R1)
leave     ,2313      ,103205111002        ,2030000        ,-2.00767e+07   ,-7.98511e+06   ,-              ,-              ,takeProfit     ,39702.2        
leave     ,2313      ,103324402926        ,2035000        ,-1.80569e+07   ,-5.96526e+06   ,-              ,-              ,takeProfit     ,29776.7        
leave     ,2313      ,103333583731        ,2040000        ,-1.6032e+07    ,-3.94045e+06   ,-              ,-              ,takeProfit     ,19851.1        
leave     ,2313      ,103354344733        ,2045000        ,-1.40023e+07   ,-1.91067e+06   ,-              ,-              ,takeProfit     ,9925.56        
leave     ,2313      ,104023132161        ,2050000        ,-1.19675e+07   ,124069         ,-              ,-              ,takeProfit     ,0              
leave     ,6176      ,124613187974        ,1330000        ,-2.15203e+06   ,-184502        ,-              ,-              ,stopLoss       ,0              
leave     ,2609      ,132000644673        ,554000         ,-155631        ,46846.8        ,-              ,-              ,timeExit       ,0              
