Action    ,Symbol    ,Time                ,Cash           ,SymbolCash     ,SignalType     ,EnterCause     ,LeaveCause     ,RemainingQty   
enter     ,5289      ,92019169876         ,-1e+07         ,-1e+07         ,SignalA        ,StrongSingle   ,-              ,13227.5        
enter     ,3374      ,92053323870         ,-2e+07         ,-1e+07         ,SignalA        ,StrongSingle   ,-              ,53763.4        
enter     ,2885      ,92315447587         ,-3e+07         ,-1e+07         ,SignalA        ,StrongSingle   ,-              ,213220         
leave     ,2885      ,92346417967         ,-2.79957e+07   ,-7.99574e+06   ,-              ,-              ,takeProfit     ,170576         
enter     ,2455      ,92354684436         ,-3.79957e+07   ,-1e+07         ,SignalA        ,StrongSingle   ,-              ,53475.9        
leave     ,2455      ,92411032298         ,-3.59904e+07   ,-7.99465e+06   ,-              ,-              ,takeProfit     ,42780.7        
leave     ,5289      ,92456709887         ,-3.39745e+07   ,-7.98413e+06   ,-              ,-              ,takeProfit     ,10582          
leave     ,5289      ,92457617931         ,-3.1956e+07    ,-5.96561e+06   ,-              ,-              ,takeProfit     ,7936.51        
leave     ,5289      ,92457653986         ,-2.99348e+07   ,-3.94444e+06   ,-              ,-              ,takeProfit     ,5291.01        
leave     ,3374      ,92508320282         ,-2.79187e+07   ,-7.98387e+06   ,-              ,-              ,takeProfit     ,43010.8        
leave     ,5289      ,92508888890         ,-2.58949e+07   ,-1.92063e+06   ,-              ,-              ,takeProfit     ,2645.5         
enter     ,8150      ,92514072599         ,-3.58949e+07   ,-1e+07         ,SignalA        ,StrongSingle   ,-              ,180832         
leave     ,2885      ,92532934883         ,-3.38885e+07   ,-5.98934e+06   ,-              ,-              ,takeProfit     ,127932         
leave     ,2885      ,92741379741         ,-3.188e+07     ,-3.98081e+06   ,-              ,-              ,takeProfit     ,85287.8        
leave     ,8150      ,92817346746         ,-2.19885e+07   ,-108499        ,-              ,-              ,stopLoss       ,0              
enter     ,2609      ,92834345958         ,-3.19885e+07   ,-1e+07         ,SignalA        ,StrongSingle   ,-              ,180505         
enter     ,2645      ,92838489229         ,-4.19885e+07   ,-1e+07         ,SignalA        ,StrongSingle   ,-              ,56980.1        
leave     ,2455      ,92844243915         ,-3.99778e+07   ,-5.98396e+06   ,-              ,-              ,takeProfit     ,32085.6        
leave     ,3374      ,92857825361         ,-3.19778e+07   ,16129          ,-              ,-              ,bailout        ,0              
enter     ,5314      ,92929746413         ,-4.19778e+07   ,-1e+07         ,SignalB        ,StrongSingle   ,-              ,106724         
leave     ,2455      ,92947108340         ,-3.99617e+07   ,-3.96791e+06   ,-              ,-              ,takeProfit     ,21390.4        
leave     ,2455      ,93003549793         ,-3.79403e+07   ,-1.94652e+06   ,-              ,-              ,takeProfit     ,10695.2        
enter     ,6176      ,93004921218         ,-4.79403e+07   ,-1e+07         ,SignalA        ,StrongSingle   ,-              ,74074.1        
leave     ,2455      ,93011688011         ,-4.59136e+07   ,80213.9        ,-              ,-              ,takeProfit     ,0              
enter     ,8021      ,93112520787         ,-5.59136e+07   ,-1e+07         ,SignalB        ,StrongSingle   ,-              ,45454.5        
leave     ,8021      ,93119541733         ,-5.39136e+07   ,-8e+06         ,-              ,-              ,takeProfit     ,36363.6        
leave     ,2885      ,93123714854         ,-5.19029e+07   ,-1.97015e+06   ,-              ,-              ,takeProfit     ,42643.9        
leave     ,8021      ,93123736280         ,-4.98984e+07   ,-5.99545e+06   ,-              ,-              ,takeProfit     ,27272.7        
leave     ,2885      ,93136599234         ,-4.78856e+07   ,42643.9        ,-              ,-              ,takeProfit     ,0              
leave     ,5314      ,93211469532         ,-3.7971e+07    ,-85378.9       ,-              ,-              ,stopLoss       ,0              
leave     ,2645      ,93340330271         ,-2.80849e+07   ,-113960        ,-              ,-              ,stopLoss       ,0              
