Action    ,Symbol    ,Time                ,Cash           ,SymbolCash     ,SignalType     ,EnterCause     ,LeaveCause     ,RemainingQty   
enter     ,4577      ,101237412308        ,-8.396e+07     ,-1e+07         ,SignalB        ,StrongGroup    ,-              ,155280         
leave     ,4577      ,101237453326        ,-8.196e+07     ,-8e+06         ,-              ,-              ,takeProfit     ,124224         
leave     ,4577      ,101237535306        ,-7.99569e+07   ,-5.99689e+06   ,-              ,-              ,takeProfit     ,93167.7        
leave     ,4577      ,101258926492        ,-7.20024e+07   ,-3.99068e+06   ,-              ,-              ,takeProfit     ,62111.8        
leave     ,4577      ,101258994116        ,-6.99931e+07   ,-1.98137e+06   ,-              ,-              ,takeProfit     ,31055.9        
leave     ,4577      ,101258994116        ,-6.79807e+07   ,31055.9        ,-              ,-              ,takeProfit     ,0              
enter     ,4577      ,101258994116        ,-7.79807e+07   ,-9.96894e+06   ,SignalB        ,StrongGroup    ,-              ,154321         
leave     ,4577      ,101258994116        ,-7.19807e+07   ,-3.96894e+06   ,-              ,-              ,takeProfit     ,61728.4        
leave     ,4577      ,101333582754        ,-6.99745e+07   ,-1.96277e+06   ,-              ,-              ,takeProfit     ,30864.2        
leave     ,4577      ,101333691964        ,-6.79652e+07   ,46488          ,-              ,-              ,takeProfit     ,0              
enter     ,4577      ,101333691964        ,-7.79652e+07   ,-9.95351e+06   ,SignalB        ,StrongGroup    ,-              ,153610         
leave     ,4577      ,101333717934        ,-7.39683e+07   ,-5.95658e+06   ,-              ,-              ,takeProfit     ,92165.9        
leave     ,4577      ,133000000000        ,-2.19338e+07   ,43415.8        ,-              ,-              ,timeExit       ,0              
