Action    ,Symbol    ,Time                ,Price          ,Cash           ,SymbolCash     ,SignalType     ,EnterCause     ,LeaveCause     ,RemainingQty   ,GroupInfo
enter     ,8358      ,92259040992         ,2885000        ,-1e+07         ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,34662          ,PCB上游(G1/M1/R3)
enter     ,1717      ,92334840277         ,618000         ,-2e+07         ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,161812         ,特化(G6/M1/R2)
enter     ,6443      ,92802158266         ,417000         ,-3e+07         ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,239521         ,太陽能(G1/M2/R4) M1=2406
enter     ,2455      ,92816386148         ,1925000        ,-4e+07         ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,51948.1        ,砷化鎵(G1/M2/R3) M1=8086
leave     ,2455      ,93356407356         ,1935000        ,-3.79896e+07   ,-7.98961e+06   ,-              ,-              ,takeProfit     ,41558.4        
leave     ,2455      ,93403526569         ,1940000        ,-3.5974e+07    ,-5.97403e+06   ,-              ,-              ,takeProfit     ,31168.8        
leave     ,2455      ,93412250175         ,1945000        ,-3.39532e+07   ,-3.95325e+06   ,-              ,-              ,takeProfit     ,20779.2        
leave     ,2455      ,93412255524         ,1950000        ,-3.19273e+07   ,-1.92727e+06   ,-              ,-              ,takeProfit     ,10389.6        
leave     ,2455      ,93412343525         ,1955000        ,-2.98961e+07   ,103896         ,-              ,-              ,takeProfit     ,0              
leave     ,1717      ,93553201048         ,610000         ,-2.00256e+07   ,-129450        ,-              ,-              ,stopLoss       ,0              
enter     ,8074      ,93814362418         ,686000         ,-3.00256e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,145560         ,PCB上游(G1/M2/R6) M1=8358
leave     ,8358      ,93832091173         ,2905000        ,-2.80117e+07   ,-7.98614e+06   ,-              ,-              ,takeProfit     ,27729.6        
leave     ,8358      ,93834756338         ,2910000        ,-2.59944e+07   ,-5.9688e+06    ,-              ,-              ,takeProfit     ,20797.2        
leave     ,8358      ,93906127351         ,2915000        ,-2.39736e+07   ,-3.94801e+06   ,-              ,-              ,takeProfit     ,13864.8        
enter     ,2406      ,93935160544         ,311000         ,-3.39736e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,321543         ,太陽能(G2/M1/R3)
enter     ,1303      ,94143374403         ,878000         ,-4.39736e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,113895         ,玻纖布(G1/M1/R4)
leave     ,8358      ,94228189208         ,2920000        ,-4.19493e+07   ,-1.92374e+06   ,-              ,-              ,takeProfit     ,6932.41        
leave     ,8358      ,94231252597         ,2925000        ,-3.99216e+07   ,103986         ,-              ,-              ,takeProfit     ,0              
leave     ,2406      ,94713199414         ,306500         ,-3.00663e+07   ,-144695        ,-              ,-              ,stopLoss       ,0              
leave     ,8074      ,95009019858         ,689000         ,-2.80604e+07   ,-7.99418e+06   ,-              ,-              ,takeProfit     ,116448         
leave     ,8074      ,95009922548         ,690000         ,-2.60517e+07   ,-5.98544e+06   ,-              ,-              ,takeProfit     ,87336.2        
leave     ,8074      ,95052474410         ,691000         ,-2.40401e+07   ,-3.9738e+06    ,-              ,-              ,takeProfit     ,58224.2        
leave     ,8074      ,95052701470         ,692000         ,-2.20255e+07   ,-1.95924e+06   ,-              ,-              ,takeProfit     ,29112.1        
leave     ,8074      ,95056814690         ,693000         ,-2.0008e+07    ,58224.2        ,-              ,-              ,takeProfit     ,0              
enter     ,2472      ,100758368850        ,1210000        ,-3.0008e+07    ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,82644.6        ,被動元件(G5/M1/R4)
leave     ,6443      ,102425627748        ,411000         ,-2.01637e+07   ,-155689        ,-              ,-              ,stopLoss       ,0              
leave     ,2472      ,103031134969        ,1190000        ,-1.0329e+07    ,-165289        ,-              ,-              ,stopLoss       ,0              
enter     ,2455      ,103838766518        ,1950000        ,-2.0329e+07    ,-9.8961e+06    ,SignalA        ,StrongGroup    ,-              ,51282.1        ,砷化鎵(G1/M2/R3) M1=8086
enter     ,3443      ,104758922454        ,24700000       ,-3.0329e+07    ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,4048.58        ,設計IP(G12/M1/R3)
leave     ,1303      ,105727609721        ,885000         ,-2.83131e+07   ,-7.98405e+06   ,-              ,-              ,takeProfit     ,91116.2        
enter     ,2308      ,105935804379        ,13700000       ,-3.83131e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,7299.27        ,電供(G12/M1/R1)
leave     ,2308      ,105939233629        ,13700000       ,-3.63131e+07   ,-8e+06         ,-              ,-              ,takeProfit     ,5839.42        
leave     ,1303      ,105942032222        ,886000         ,-3.42948e+07   ,-5.96583e+06   ,-              ,-              ,takeProfit     ,68337.1        
leave     ,1303      ,105942090492        ,887000         ,-3.22743e+07   ,-3.94533e+06   ,-              ,-              ,takeProfit     ,45558.1        
leave     ,1303      ,110000882091        ,888000         ,-3.02516e+07   ,-1.92255e+06   ,-              ,-              ,takeProfit     ,22779          
leave     ,1303      ,110204086038        ,889000         ,-2.82265e+07   ,102506         ,-              ,-              ,takeProfit     ,0              
leave     ,3443      ,111205346477        ,24350000       ,-1.83682e+07   ,-141700        ,-              ,-              ,stopLoss       ,0              
enter     ,6213      ,112609107024        ,1300000        ,-2.83682e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,76923.1        ,PCB上游(G2/M2/R4) M1=5498
leave     ,2308      ,113154364012        ,13750000       ,-2.63609e+07   ,-5.9927e+06    ,-              ,-              ,takeProfit     ,4379.56        
leave     ,2455      ,113315183419        ,1985000        ,-2.4325e+07    ,-7.86021e+06   ,-              ,-              ,takeProfit     ,41025.6        
leave     ,2455      ,113330611645        ,1990000        ,-2.2284e+07    ,-5.81918e+06   ,-              ,-              ,takeProfit     ,30769.2        
enter     ,5234      ,113721052976        ,4330000        ,-3.2284e+07    ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,23094.7        ,特化(G12/M1/R1)
leave     ,2455      ,114103480213        ,1995000        ,-3.02378e+07   ,-3.77303e+06   ,-              ,-              ,takeProfit     ,20512.8        
leave     ,6213      ,123154722830        ,1320000        ,-2.82071e+07   ,-7.96923e+06   ,-              ,-              ,takeProfit     ,61538.5        
leave     ,2455      ,124230591701        ,2000000        ,-2.61558e+07   ,-1.72174e+06   ,-              ,-              ,takeProfit     ,10256.4        
leave     ,2308      ,124353130122        ,13800000       ,-2.41412e+07   ,-3.9781e+06    ,-              ,-              ,takeProfit     ,2919.71        
leave     ,2455      ,125559743419        ,2005000        ,-2.20848e+07   ,334665         ,-              ,-              ,takeProfit     ,0              
leave     ,2308      ,125646851253        ,13850000       ,-2.00629e+07   ,-1.9562e+06    ,-              ,-              ,takeProfit     ,1459.85        
leave     ,5234      ,125920550195        ,4430000        ,-1.59728e+07   ,-5.90993e+06   ,-              ,-              ,takeProfit     ,13856.8        
leave     ,6213      ,130411991782        ,1325000        ,-1.39343e+07   ,-5.93077e+06   ,-              ,-              ,takeProfit     ,46153.8        
leave     ,5234      ,130433299006        ,4435000        ,-1.18858e+07   ,-3.86143e+06   ,-              ,-              ,takeProfit     ,9237.88        
leave     ,6213      ,131006638596        ,1330000        ,-9.83969e+06   ,-3.88462e+06   ,-              ,-              ,takeProfit     ,30769.2        
leave     ,6213      ,131417490916        ,1335000        ,-7.78585e+06   ,-1.83077e+06   ,-              ,-              ,takeProfit     ,15384.6        
leave     ,5234      ,132000352865        ,4410000        ,-3.71656e+06   ,207852         ,-              ,-              ,timeExit       ,0              
leave     ,2308      ,132000758926        ,13800000       ,-1.70926e+06   ,51094.9        ,-              ,-              ,timeExit       ,0              
leave     ,6213      ,132000966202        ,1335000        ,336890         ,215385         ,-              ,-              ,timeExit       ,0              
