Action    ,Symbol    ,Time                ,Price          ,Cash           ,SymbolCash     ,SignalType     ,EnterCause     ,LeaveCause     ,RemainingQty   ,GroupInfo
enter     ,2455      ,92816386148         ,1925000        ,-4e+07         ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,51948.1        ,砷化鎵(G1/M2/R3) M1=8086
leave     ,2455      ,93356407356         ,1935000        ,-3.79896e+07   ,-7.98961e+06   ,-              ,-              ,takeProfit     ,41558.4        
leave     ,2455      ,93403526569         ,1940000        ,-3.5974e+07    ,-5.97403e+06   ,-              ,-              ,takeProfit     ,31168.8        
leave     ,2455      ,93412250175         ,1945000        ,-3.39532e+07   ,-3.95325e+06   ,-              ,-              ,takeProfit     ,20779.2        
leave     ,2455      ,93412255524         ,1950000        ,-3.19273e+07   ,-1.92727e+06   ,-              ,-              ,takeProfit     ,10389.6        
leave     ,2455      ,93412343525         ,1955000        ,-2.98961e+07   ,103896         ,-              ,-              ,takeProfit     ,0              
enter     ,2455      ,103838766518        ,1950000        ,-2.0329e+07    ,-9.8961e+06    ,SignalA        ,StrongGroup    ,-              ,51282.1        ,砷化鎵(G1/M2/R3) M1=8086
leave     ,2455      ,113315183419        ,1985000        ,-2.4325e+07    ,-7.86021e+06   ,-              ,-              ,takeProfit     ,41025.6        
leave     ,2455      ,113330611645        ,1990000        ,-2.2284e+07    ,-5.81918e+06   ,-              ,-              ,takeProfit     ,30769.2        
leave     ,2455      ,114103480213        ,1995000        ,-3.02378e+07   ,-3.77303e+06   ,-              ,-              ,takeProfit     ,20512.8        
leave     ,2455      ,124230591701        ,2000000        ,-2.61558e+07   ,-1.72174e+06   ,-              ,-              ,takeProfit     ,10256.4        
leave     ,2455      ,125559743419        ,2005000        ,-2.20848e+07   ,334665         ,-              ,-              ,takeProfit     ,0              
