Action    ,Symbol    ,Time                ,Price          ,Cash           ,SymbolCash     ,SignalType     ,EnterCause     ,LeaveCause     ,RemainingQty   ,GroupInfo
enter     ,6640      ,92108336119         ,7760000        ,-1e+07         ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,12870          ,半導體設備(G9/M1/R2)
leave     ,6640      ,92230217993         ,7850000        ,-7.97941e+06   ,-7.97941e+06   ,-              ,-              ,takeProfit     ,10296          
leave     ,6640      ,92242799355         ,7860000        ,-5.95624e+06   ,-5.95624e+06   ,-              ,-              ,takeProfit     ,7722.01        
leave     ,6640      ,92243168272         ,7870000        ,-3.9305e+06    ,-3.9305e+06    ,-              ,-              ,takeProfit     ,5148.01        
leave     ,6640      ,92328871459         ,7880000        ,-1.90219e+06   ,-1.90219e+06   ,-              ,-              ,takeProfit     ,2574           
leave     ,6640      ,92328928758         ,7890000        ,128700         ,128700         ,-              ,-              ,takeProfit     ,0              
enter     ,4722      ,92738553378         ,2010000        ,-9.8713e+06    ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,49627.8        ,特化(G2/M1/R1)
enter     ,1326      ,92759678283         ,471500         ,-1.98713e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,212089         ,塑膠(G2/M1/R1)
enter     ,6510      ,93032344892         ,38400000       ,-2.98713e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,2597.4         ,探針卡(G15/M1/R1)
leave     ,1326      ,93154662247         ,478000         ,-2.78437e+07   ,-7.97243e+06   ,-              ,-              ,takeProfit     ,169671         
leave     ,1326      ,93154688472         ,478500         ,-2.5814e+07    ,-5.94274e+06   ,-              ,-              ,takeProfit     ,127253         
leave     ,1326      ,93237204445         ,479000         ,-2.37822e+07   ,-3.91092e+06   ,-              ,-              ,takeProfit     ,84835.6        
leave     ,1326      ,93237260387         ,479500         ,-2.17483e+07   ,-1.87699e+06   ,-              ,-              ,takeProfit     ,42417.8        
leave     ,1326      ,93237293428         ,480000         ,-1.97122e+07   ,159067         ,-              ,-              ,takeProfit     ,0              
enter     ,4768      ,93447586459         ,4345000        ,-2.97122e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,23015          ,特化(G2/M2/R2)
leave     ,4768      ,93531534260         ,4285000        ,-1.98503e+07   ,-138090        ,-              ,-              ,stopLoss       ,0              
leave     ,4722      ,94108023469         ,2045000        ,-1.78205e+07   ,-7.97022e+06   ,-              ,-              ,takeProfit     ,39702.2        
leave     ,4722      ,94110098975         ,2050000        ,-1.57858e+07   ,-5.93548e+06   ,-              ,-              ,takeProfit     ,29776.7        
leave     ,6510      ,94158065376         ,38600000       ,-1.1778e+07    ,-5.99221e+06   ,-              ,-              ,takeProfit     ,1558.44        
leave     ,6510      ,94207320021         ,38700000       ,-7.75983e+06   ,-1.97403e+06   ,-              ,-              ,takeProfit     ,519.481        
leave     ,6510      ,94243347084         ,38750000       ,-5.74685e+06   ,38961          ,-              ,-              ,takeProfit     ,0              
enter     ,8210      ,94556525707         ,8950000        ,-1.57468e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,11173.2        ,機殼(G3/M2/R2)
leave     ,8210      ,94600221703         ,8940000        ,-1.37491e+07   ,-8.00223e+06   ,-              ,-              ,takeProfit     ,8938.55        
leave     ,8210      ,94612410709         ,8950000        ,-1.17491e+07   ,-6.00223e+06   ,-              ,-              ,takeProfit     ,6703.91        
leave     ,8210      ,94618769244         ,8960000        ,-9.74685e+06   ,-4e+06         ,-              ,-              ,takeProfit     ,4469.27        
leave     ,8210      ,94633574405         ,8970000        ,-7.74238e+06   ,-1.99553e+06   ,-              ,-              ,takeProfit     ,2234.64        
enter     ,2317      ,94706204055         ,2420000        ,-1.77424e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,41322.3        ,ODM(G3/M2/R2)
leave     ,2317      ,95023562862         ,2425000        ,-1.57382e+07   ,-7.99587e+06   ,-              ,-              ,takeProfit     ,33057.9        
leave     ,4722      ,95953045054         ,2055000        ,-1.36985e+07   ,-3.89578e+06   ,-              ,-              ,takeProfit     ,19851.1        
leave     ,4722      ,95953078223         ,2060000        ,-1.16539e+07   ,-1.85112e+06   ,-              ,-              ,takeProfit     ,9925.56        
leave     ,4722      ,95953356247         ,2065000        ,-9.60425e+06   ,198511         ,-              ,-              ,takeProfit     ,0              
leave     ,2317      ,101443507827        ,2430000        ,-7.59598e+06   ,-5.9876e+06    ,-              ,-              ,takeProfit     ,24793.4        
enter     ,6640      ,103547484601        ,7990000        ,-1.7596e+07    ,-9.8713e+06    ,SignalA        ,StrongGroup    ,-              ,12500          ,半導體設備(G9/M1/R2)
leave     ,8210      ,104652047609        ,8980000        ,-1.55893e+07   ,11173.2        ,-              ,-              ,takeProfit     ,0              
leave     ,2317      ,104815369085        ,2435000        ,-1.35769e+07   ,-3.97521e+06   ,-              ,-              ,takeProfit     ,16528.9        
leave     ,2317      ,105252587992        ,2440000        ,-1.15604e+07   ,-1.95868e+06   ,-              ,-              ,takeProfit     ,8264.46        
leave     ,2317      ,105725611744        ,2445000        ,-9.53969e+06   ,61983.5        ,-              ,-              ,takeProfit     ,0              
leave     ,6640      ,110712865612        ,7850000        ,260306         ,-71299.9       ,-              ,-              ,stopLoss       ,0              
