Action    ,Symbol    ,Time                ,Price          ,Cash           ,SymbolCash     ,SignalType     ,EnterCause     ,LeaveCause     ,RemainingQty   ,GroupInfo
enter     ,8086      ,92213535803         ,1260000        ,-1e+07         ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,79365.1        ,砷化鎵(G1/M2/R3) M1=3105
enter     ,2329      ,92219934651         ,586000         ,-2e+07         ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,170648         ,IC封測(G11/M1/R1)
leave     ,8086      ,92443147985         ,1240000        ,-1.01587e+07   ,-158730        ,-              ,-              ,stopLoss       ,0              
enter     ,2436      ,92454085699         ,626000         ,-2.01587e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,159744         ,車用電子(G10/M1/R1)
leave     ,2329      ,92616591491         ,597000         ,-1.81212e+07   ,-7.96246e+06   ,-              ,-              ,takeProfit     ,136519         
leave     ,2329      ,92616637231         ,598000         ,-1.60802e+07   ,-5.9215e+06    ,-              ,-              ,takeProfit     ,102389         
enter     ,3131      ,92625430917         ,17200000       ,-2.60802e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,5813.95        ,半導體設備(G4/M2/R3) M1=2467
enter     ,8086      ,92629352858         ,1260000        ,-3.60802e+07   ,-1.01587e+07   ,SignalA        ,StrongGroup    ,-              ,79365.1        ,砷化鎵(G1/M2/R3) M1=3105
leave     ,8086      ,92755371177         ,1240000        ,-2.6239e+07    ,-317460        ,-              ,-              ,stopLoss       ,0              
leave     ,3131      ,92933052074         ,17300000       ,-2.42273e+07   ,-7.98837e+06   ,-              ,-              ,takeProfit     ,4651.16        
leave     ,2436      ,92936633406         ,629000         ,-2.22177e+07   ,-7.99042e+06   ,-              ,-              ,takeProfit     ,127796         
leave     ,2436      ,92942652930         ,630000         ,-2.0205e+07    ,-5.97764e+06   ,-              ,-              ,takeProfit     ,95846.6        
leave     ,2436      ,93006217277         ,631000         ,-1.8189e+07    ,-3.96166e+06   ,-              ,-              ,takeProfit     ,63897.8        
leave     ,2436      ,93006262081         ,632000         ,-1.61698e+07   ,-1.94249e+06   ,-              ,-              ,takeProfit     ,31948.9        
leave     ,2436      ,93008642670         ,633000         ,-1.41475e+07   ,79872.2        ,-              ,-              ,takeProfit     ,0              
leave     ,3131      ,93019937776         ,17350000       ,-1.213e+07     ,-5.97093e+06   ,-              ,-              ,takeProfit     ,3488.37        
leave     ,3131      ,93140717153         ,17400000       ,-1.01068e+07   ,-3.94767e+06   ,-              ,-              ,takeProfit     ,2325.58        
leave     ,3131      ,93140845106         ,17450000       ,-8.07769e+06   ,-1.9186e+06    ,-              ,-              ,takeProfit     ,1162.79        
leave     ,3131      ,93154576756         ,17500000       ,-6.04281e+06   ,116279         ,-              ,-              ,takeProfit     ,0              
enter     ,6788      ,94224046885         ,3425000        ,-1.60428e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,29197.1        ,半導體設備(G3/M2/R5) M1=3131
enter     ,6223      ,94359945708         ,27600000       ,-2.60428e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,3616.64        ,探針卡(G6/M1/R1)
leave     ,6788      ,94737402874         ,3475000        ,-2.40136e+07   ,-7.9708e+06    ,-              ,-              ,takeProfit     ,23357.7        
leave     ,6788      ,94737402874         ,3480000        ,-2.19815e+07   ,-5.93869e+06   ,-              ,-              ,takeProfit     ,17518.2        
leave     ,6788      ,94737479846         ,3485000        ,-1.99465e+07   ,-3.90365e+06   ,-              ,-              ,takeProfit     ,11678.8        
leave     ,6788      ,94740882201         ,3490000        ,-1.79085e+07   ,-1.86569e+06   ,-              ,-              ,takeProfit     ,5839.42        
leave     ,6788      ,94744520240         ,3495000        ,-1.58676e+07   ,175182         ,-              ,-              ,takeProfit     ,0              
leave     ,6223      ,94843151240         ,27850000       ,-1.38532e+07   ,-7.98553e+06   ,-              ,-              ,takeProfit     ,2893.31        
leave     ,6223      ,94843293794         ,27900000       ,-1.18351e+07   ,-5.96745e+06   ,-              ,-              ,takeProfit     ,2169.98        
leave     ,6223      ,100531061283        ,27950000       ,-9.81338e+06   ,-3.94575e+06   ,-              ,-              ,takeProfit     ,1446.65        
leave     ,6223      ,100538835803        ,28000000       ,-7.78806e+06   ,-1.92043e+06   ,-              ,-              ,takeProfit     ,723.327        
leave     ,6223      ,100546389873        ,28050000       ,-5.75913e+06   ,108499         ,-              ,-              ,takeProfit     ,0              
leave     ,2329      ,105659427013        ,599000         ,-3.71476e+06   ,-3.87713e+06   ,-              ,-              ,takeProfit     ,68259.4        
leave     ,2329      ,105705716604        ,600000         ,-1.66698e+06   ,-1.82935e+06   ,-              ,-              ,takeProfit     ,34129.7        
enter     ,6788      ,120756357983        ,3510000        ,-1.1667e+07    ,-9.82482e+06   ,SignalA        ,StrongGroup    ,-              ,28490          ,半導體設備(G2/M2/R5) M1=3131
leave     ,2329      ,132002500746        ,585000         ,-9.6738e+06    ,163823         ,-              ,-              ,timeExit       ,0              
leave     ,6788      ,132013251653        ,3540000        ,411665         ,260653         ,-              ,-              ,timeExit       ,0              
