Action    ,Symbol    ,Time                ,Price          ,Cash           ,SymbolCash     ,SignalType     ,EnterCause     ,LeaveCause     ,RemainingQty   ,GroupInfo
enter     ,4989      ,92359710072         ,675000         ,-1e+07         ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,147929         ,CCL(G18/M1/R1)
leave     ,4989      ,94347420158         ,693000         ,-7.9497e+06    ,-7.9497e+06    ,-              ,-              ,takeProfit     ,118343         
leave     ,4989      ,94354680728         ,694000         ,-5.89645e+06   ,-5.89645e+06   ,-              ,-              ,takeProfit     ,88757.4        
leave     ,4989      ,94354686885         ,695000         ,-3.84024e+06   ,-3.84024e+06   ,-              ,-              ,takeProfit     ,59171.6        
leave     ,4989      ,94354716613         ,696000         ,-1.78107e+06   ,-1.78107e+06   ,-              ,-              ,takeProfit     ,29585.8        
leave     ,4989      ,94354717001         ,697000         ,281065         ,281065         ,-              ,-              ,takeProfit     ,0              
enter     ,3037      ,95032159548         ,4945000        ,-9.71893e+06   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,20222.4        ,ABF(G5/M1/R1)
leave     ,3037      ,101409806485        ,4875000        ,139508         ,-141557        ,-              ,-              ,stopLoss       ,0              
enter     ,3701      ,111834635523        ,609000         ,-9.86049e+06   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,163934         ,CPO(G2/M1/R6)
leave     ,3701      ,114504502672        ,626000         ,-7.80803e+06   ,-7.94754e+06   ,-              ,-              ,takeProfit     ,131148         
leave     ,3701      ,114505266594        ,627000         ,-5.7523e+06    ,-5.8918e+06    ,-              ,-              ,takeProfit     ,98360.7        
leave     ,3701      ,114508700960        ,628000         ,-3.69328e+06   ,-3.83279e+06   ,-              ,-              ,takeProfit     ,65573.8        
leave     ,3701      ,114521030353        ,629000         ,-1.63098e+06   ,-1.77049e+06   ,-              ,-              ,takeProfit     ,32786.9        
leave     ,3701      ,114521030353        ,630000         ,434590         ,295082         ,-              ,-              ,takeProfit     ,0              
