Action    ,Symbol    ,Time                ,Price          ,Cash           ,SymbolCash     ,SignalType     ,EnterCause     ,LeaveCause     ,RemainingQty   ,GroupInfo
enter     ,6706      ,92003616503         ,1410000        ,-1e+07         ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,70922          ,CPO(G2/M2/R6) M1=3450
enter     ,6271      ,92059039384         ,1760000        ,-2e+07         ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,56818.2        ,IC封測(G12/M1/R2)
leave     ,6271      ,92257893472         ,1765000        ,-1.79943e+07   ,-7.99432e+06   ,-              ,-              ,takeProfit     ,45454.5        
leave     ,6271      ,92307647166         ,1770000        ,-1.5983e+07    ,-5.98295e+06   ,-              ,-              ,takeProfit     ,34090.9        
leave     ,6271      ,92319396597         ,1775000        ,-1.39659e+07   ,-3.96591e+06   ,-              ,-              ,takeProfit     ,22727.3        
leave     ,6271      ,92334675888         ,1780000        ,-1.19432e+07   ,-1.94318e+06   ,-              ,-              ,takeProfit     ,11363.6        
leave     ,6706      ,92701539383         ,1390000        ,-2.08503e+06   ,-141844        ,-              ,-              ,stopLoss       ,0              
leave     ,6271      ,92950438263         ,1730000        ,-119117        ,22727.3        ,-              ,-              ,stopLoss       ,0              
enter     ,2615      ,93127745786         ,840000         ,-1.01191e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,119048         ,海運(G2/M2/R3) M1=2609
leave     ,2615      ,94156922164         ,849000         ,-8.09769e+06   ,-7.97857e+06   ,-              ,-              ,takeProfit     ,95238.1        
leave     ,2615      ,100547058072        ,829000         ,-202450        ,-83333.3       ,-              ,-              ,stopLoss       ,0              
enter     ,2609      ,101132535798        ,642000         ,-1.02025e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,155763         ,海運(G1/M1/R2)
enter     ,2615      ,101400233732        ,842000         ,-2.02025e+07   ,-1.00833e+07   ,SignalA        ,StrongGroup    ,-              ,118765         ,海運(G1/M2/R3) M1=2609
leave     ,2609      ,101435418131        ,646000         ,-1.819e+07     ,-7.98754e+06   ,-              ,-              ,takeProfit     ,124611         
leave     ,2609      ,101530783027        ,647000         ,-1.61744e+07   ,-5.97196e+06   ,-              ,-              ,takeProfit     ,93457.9        
leave     ,2609      ,104829415037        ,648000         ,-1.41557e+07   ,-3.95327e+06   ,-              ,-              ,takeProfit     ,62305.3        
leave     ,2615      ,111639592836        ,849000         ,-1.21391e+07   ,-8.06671e+06   ,-              ,-              ,takeProfit     ,95011.9        
leave     ,2615      ,111729828015        ,850000         ,-1.01201e+07   ,-6.0477e+06    ,-              ,-              ,takeProfit     ,71258.9        
leave     ,2609      ,111824566192        ,649000         ,-8.09828e+06   ,-1.93146e+06   ,-              ,-              ,takeProfit     ,31152.6        
leave     ,2615      ,113631092194        ,851000         ,-6.07691e+06   ,-4.02633e+06   ,-              ,-              ,takeProfit     ,47505.9        
leave     ,2615      ,113633870873        ,852000         ,-4.05315e+06   ,-2.00257e+06   ,-              ,-              ,takeProfit     ,23753          
leave     ,2615      ,113645981007        ,853000         ,-2.02703e+06   ,23555          ,-              ,-              ,takeProfit     ,0              
leave     ,2609      ,113833055425        ,650000         ,-2103.73       ,93457.9        ,-              ,-              ,takeProfit     ,0              
