Action    ,Symbol    ,Time                ,Cash           ,SymbolCash     ,SignalType     ,EnterCause     ,LeaveCause     ,RemainingQty   
enter     ,4722      ,92245182256         ,-1e+07         ,-1e+07         ,SignalA        ,Both           ,-              ,57803.5        
leave     ,4722      ,92503500836         ,-115607        ,-115607        ,-              ,-              ,stopLoss       ,0              
enter     ,3374      ,92530066336         ,-1.01156e+07   ,-1e+07         ,SignalB        ,StrongSingle   ,-              ,56980.1        
enter     ,2409      ,92532887704         ,-2.01156e+07   ,-1e+07         ,SignalA        ,Both           ,-              ,647249         
enter     ,3481      ,92533782572         ,-3.01156e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,457666         
leave     ,3374      ,92536442151         ,-2.81156e+07   ,-8e+06         ,-              ,-              ,takeProfit     ,45584          
leave     ,3374      ,92845409150         ,-2.61099e+07   ,-5.9943e+06    ,-              ,-              ,takeProfit     ,34188          
enter     ,3529      ,93011398029         ,-3.61099e+07   ,-1e+07         ,SignalA        ,StrongSingle   ,-              ,5305.04        
enter     ,2337      ,93020321427         ,-4.61099e+07   ,-1e+07         ,SignalB        ,Both           ,-              ,103199         
leave     ,3374      ,93150543459         ,-4.01441e+07   ,-28490         ,-              ,-              ,bailout        ,0              
leave     ,3529      ,93208274517         ,-3.81282e+07   ,-7.98408e+06   ,-              ,-              ,takeProfit     ,4244.03        
leave     ,3529      ,93253686382         ,-3.6107e+07    ,-5.96286e+06   ,-              ,-              ,takeProfit     ,3183.02        
leave     ,2409      ,93527647201         ,-3.40875e+07   ,-7.98058e+06   ,-              ,-              ,takeProfit     ,517799         
leave     ,2409      ,93549236420         ,-3.20617e+07   ,-5.95469e+06   ,-              ,-              ,takeProfit     ,388350         
leave     ,3529      ,93554353453         ,-2.60617e+07   ,37135.3        ,-              ,-              ,bailout        ,0              
leave     ,2337      ,93600428217         ,-1.61442e+07   ,-82559.3       ,-              ,-              ,stopLoss       ,0              
leave     ,2409      ,93625317259         ,-1.01248e+07   ,64724.9        ,-              ,-              ,bailout        ,0              
enter     ,2344      ,94037116792         ,-2.01248e+07   ,-1e+07         ,SignalA        ,StrongSingle   ,-              ,93457.9        
leave     ,3481      ,94333937708         ,-1.02392e+07   ,-114416        ,-              ,-              ,stopLoss       ,0              
enter     ,5439      ,94444762315         ,-2.02392e+07   ,-1e+07         ,SignalA        ,StrongSingle   ,-              ,30627.9        
leave     ,2344      ,94822069430         ,-1.03794e+07   ,-140187        ,-              ,-              ,stopLoss       ,0              
leave     ,5439      ,95039245229         ,-486597        ,-107198        ,-              ,-              ,stopLoss       ,0              
enter     ,1504      ,95046483903         ,-1.04866e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,125786         
enter     ,8033      ,95446019902         ,-2.04866e+07   ,-1e+07         ,SignalA        ,StrongSingle   ,-              ,68965.5        
enter     ,3529      ,95507364021         ,-3.04866e+07   ,-9.96286e+06   ,SignalA        ,Both           ,-              ,5305.04        
enter     ,2409      ,95556658601         ,-4.04866e+07   ,-9.93528e+06   ,SignalA        ,StrongGroup    ,-              ,645161         
enter     ,3374      ,95611744175         ,-5.04866e+07   ,-1.00285e+07   ,SignalA        ,StrongSingle   ,-              ,57306.6        
enter     ,1326      ,95632238706         ,-6.04866e+07   ,-1e+07         ,SignalA        ,StrongSingle   ,-              ,235294         
leave     ,2409      ,95918557670         ,-5.84737e+07   ,-7.92237e+06   ,-              ,-              ,takeProfit     ,516129         
leave     ,2409      ,95947149071         ,-5.64543e+07   ,-5.90302e+06   ,-              ,-              ,takeProfit     ,387097         
leave     ,2409      ,100013381772        ,-5.44285e+07   ,-3.87721e+06   ,-              ,-              ,takeProfit     ,258065         
enter     ,6290      ,100027134944        ,-6.44285e+07   ,-1e+07         ,SignalA        ,Both           ,-              ,53191.5        
leave     ,2409      ,100038555686        ,-6.23963e+07   ,-1.84495e+06   ,-              ,-              ,takeProfit     ,129032         
leave     ,2409      ,100038700690        ,-6.03576e+07   ,193757         ,-              ,-              ,takeProfit     ,0              
enter     ,2489      ,100148051068        ,-7.03576e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,383142         
leave     ,8033      ,100148472699        ,-6.83438e+07   ,-7.98621e+06   ,-              ,-              ,takeProfit     ,55172.4        
leave     ,8033      ,100205308947        ,-6.63231e+07   ,-5.96552e+06   ,-              ,-              ,takeProfit     ,41379.3        
leave     ,8033      ,100236918964        ,-6.42955e+07   ,-3.93793e+06   ,-              ,-              ,takeProfit     ,27586.2        
enter     ,2515      ,100248546864        ,-7.42955e+07   ,-1e+07         ,SignalA        ,StrongSingle   ,-              ,645161         
enter     ,2337      ,100258406596        ,-8.42955e+07   ,-1.00826e+07   ,SignalA        ,Both           ,-              ,104932         
leave     ,8033      ,100303336265        ,-8.2261e+07    ,-1.90345e+06   ,-              ,-              ,takeProfit     ,13793.1        
leave     ,8033      ,100438014227        ,-8.0261e+07    ,96551.7        ,-              ,-              ,bailout        ,0              
enter     ,8081      ,100513153883        ,-9.0261e+07    ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,42283.3        
enter     ,3663      ,100647646653        ,-1.00261e+08   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,143885         
leave     ,3374      ,100704259435        ,-9.82496e+07   ,-8.01703e+06   ,-              ,-              ,takeProfit     ,45845.3        
enter     ,8046      ,100728990177        ,-1.0825e+08    ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,23809.5        
enter     ,8033      ,101051327197        ,-1.1825e+08    ,-9.90345e+06   ,SignalA        ,Both           ,-              ,68728.5        
enter     ,3481      ,101422868682        ,-1.2825e+08    ,-1.01144e+07   ,SignalA        ,StrongGroup    ,-              ,457666         
enter     ,6415      ,101429834703        ,-1.3825e+08    ,-1e+07         ,SignalA        ,StrongSingle   ,-              ,35026.3        
leave     ,3374      ,101502161382        ,-1.3025e+08    ,-17028.7       ,-              ,-              ,bailout        ,0              
leave     ,2515      ,101943702750        ,-1.20379e+08   ,-129032        ,-              ,-              ,stopLoss       ,0              
leave     ,6290      ,102057385958        ,-1.10485e+08   ,-106383        ,-              ,-              ,stopLoss       ,0              
leave     ,3481      ,102208898438        ,-1.00599e+08   ,-228833        ,-              ,-              ,stopLoss       ,0              
leave     ,8033      ,102858177945        ,-9.07025e+07   ,-6541.06       ,-              ,-              ,stopLoss       ,0              
enter     ,2409      ,102949541274        ,-1.00702e+08   ,-9.80624e+06   ,SignalA        ,StrongGroup    ,-              ,641026         
leave     ,2409      ,102949705818        ,-9.07345e+07   ,161706         ,-              ,-              ,bailout        ,0              
enter     ,2409      ,103018537140        ,-1.00735e+08   ,-9.83829e+06   ,SignalA        ,StrongGroup    ,-              ,641026         
enter     ,6290      ,103131178227        ,-1.10735e+08   ,-1.01064e+07   ,SignalA        ,Both           ,-              ,53191.5        
leave     ,2409      ,104242955126        ,-1.08702e+08   ,-7.80624e+06   ,-              ,-              ,takeProfit     ,512821         
leave     ,2409      ,104331143282        ,-1.00626e+08   ,270680         ,-              ,-              ,bailout        ,0              
leave     ,3529      ,105200118640        ,-9.86096e+07   ,-7.94695e+06   ,-              ,-              ,takeProfit     ,4244.03        
leave     ,3529      ,105200179269        ,-9.65884e+07   ,-5.92573e+06   ,-              ,-              ,takeProfit     ,3183.02        
leave     ,3529      ,105201427024        ,-9.45619e+07   ,-3.8992e+06    ,-              ,-              ,takeProfit     ,2122.02        
leave     ,1326      ,105213941164        ,-9.25313e+07   ,-7.96941e+06   ,-              ,-              ,takeProfit     ,188235         
leave     ,3529      ,105306577937        ,-9.04995e+07   ,-1.86737e+06   ,-              ,-              ,takeProfit     ,1061.01        
leave     ,3529      ,105327926741        ,-8.84623e+07   ,169761         ,-              ,-              ,takeProfit     ,0              
leave     ,2337      ,105504593830        ,-8.64078e+07   ,-8.02799e+06   ,-              ,-              ,takeProfit     ,83945.4        
leave     ,2337      ,105516538573        ,-8.43511e+07   ,-5.97133e+06   ,-              ,-              ,takeProfit     ,62959.1        
leave     ,3663      ,105628633376        ,-7.44662e+07   ,-115108        ,-              ,-              ,stopLoss       ,0              
leave     ,1326      ,105712218634        ,-7.24333e+07   ,-5.93647e+06   ,-              ,-              ,takeProfit     ,141176         
enter     ,2345      ,105909823229        ,-8.24333e+07   ,-1e+07         ,SignalB        ,StrongSingle   ,-              ,6920.42        
leave     ,2345      ,105909986630        ,-8.04333e+07   ,-8e+06         ,-              ,-              ,takeProfit     ,5536.33        
leave     ,2337      ,105924744525        ,-7.83745e+07   ,-3.91257e+06   ,-              ,-              ,takeProfit     ,41972.7        
leave     ,2337      ,105927367387        ,-7.63137e+07   ,-1.85171e+06   ,-              ,-              ,takeProfit     ,20986.4        
leave     ,2337      ,105933909945        ,-7.42507e+07   ,211250         ,-              ,-              ,takeProfit     ,0              
leave     ,1326      ,110151589301        ,-6.82013e+07   ,112941         ,-              ,-              ,bailout        ,0              
enter     ,8069      ,110749484039        ,-7.82013e+07   ,-1e+07         ,SignalA        ,StrongSingle   ,-              ,52493.4        
leave     ,2345      ,111115490715        ,-7.02566e+07   ,-55363.3       ,-              ,-              ,bailout        ,0              
leave     ,8046      ,111748020991        ,-6.03638e+07   ,-107143        ,-              ,-              ,stopLoss       ,0              
leave     ,8069      ,112054607646        ,-5.04688e+07   ,-104987        ,-              ,-              ,stopLoss       ,0              
leave     ,2489      ,113605396102        ,-4.835e+07     ,-7.88123e+06   ,-              ,-              ,takeProfit     ,306513         
leave     ,2489      ,113605474727        ,-4.62274e+07   ,-5.75862e+06   ,-              ,-              ,takeProfit     ,229885         
leave     ,8081      ,114206169066        ,-4.42105e+07   ,-7.98309e+06   ,-              ,-              ,takeProfit     ,33826.6        
leave     ,6290      ,114312031372        ,-4.21998e+07   ,-8.09574e+06   ,-              ,-              ,takeProfit     ,42553.2        
leave     ,8081      ,114540620071        ,-4.01787e+07   ,-5.96195e+06   ,-              ,-              ,takeProfit     ,25370          
leave     ,2489      ,114838575081        ,-3.38684e+07   ,551724         ,-              ,-              ,bailout        ,0              
leave     ,8081      ,114852678316        ,-3.1843e+07    ,-3.93658e+06   ,-              ,-              ,takeProfit     ,16913.3        
leave     ,8081      ,115129153203        ,-2.98134e+07   ,-1.90698e+06   ,-              ,-              ,takeProfit     ,8456.66        
leave     ,8081      ,115226757550        ,-2.77796e+07   ,126850         ,-              ,-              ,takeProfit     ,0              
leave     ,6290      ,121132088656        ,-1.98008e+07   ,-117021        ,-              ,-              ,bailout        ,0              
leave     ,1504      ,123924057868        ,-1.77883e+07   ,-7.98742e+06   ,-              ,-              ,takeProfit     ,100629         
leave     ,1504      ,123925583860        ,-1.57732e+07   ,-5.97233e+06   ,-              ,-              ,takeProfit     ,75471.7        
leave     ,1504      ,133000000000        ,-9.75053e+06   ,50314.5        ,-              ,-              ,timeExit       ,0              
leave     ,6415      ,133000000000        ,56827.8        ,-192644        ,-              ,-              ,stopLoss       ,0              
